Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,"1,020 B",(319 B),701 B,34.49
12M 2009,(385 B),(296 B),(681 B),-28.27
12M 2010,"11,654 B",(367 B),"11,287 B",468.59
12M 2011,"(9,553 B)",(262 B),"(9,815 B)",-407.46
12M 2012,"(9,465 B)",(508 B),"(9,972 B)",-414.00
12M 2013,"8,360 B",(601 B),"7,759 B",322.11
12M 2014,"(8,295 B)",(339 B),"(8,634 B)",-358.42
12M 2015,"5,629 B",(324 B),"5,305 B",220.24
12M 2016,530 B,(185 B),345 B,14.32
12M 2017,"(7,087 B)",(96 B),"(7,183 B)",-298.20
12M 2018,"(11,144 B)",(144 B),"(11,289 B)",-468.66
12M 2019,"1,665 B",(895 B),770 B,31.98
12M 2020,"27,896 B",(352 B),"27,544 B",1143.50
12M 2021,"3,030 B",(312 B),"2,718 B",112.83
12M 2022,(190 B),(337 B),(528 B),-21.90
12M 2023,"3,871 B",(302 B),"3,570 B",148.19
12M 2024,"19,022 B",(438 B),"18,583 B",771.49
