Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Bonus,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Keuntungan Penjualan Efek-Efek,Pendapatan Underwriting,Provisi Dan Komisi Lainnya,Keuntungan Transaksi Mata Uang Asing,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Bagian Atas Hasil Bersih Entitas Asosiasi,Pemulihan Kerugian Atas Aset Produktif,Pemulihan Kerugian Atas Aset Non-Produktif,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Beban Umum Dan Administrasi,Kerugian Transaksi Mata Uang Asing,Beban Pemasaran,Beban Tenaga Kerja,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Non-Operasional,Beban Non-Operasional,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,6011625000000.000000,5800149000000.000000,211476000000.000000,6011625000000.000000,-3451922000000.000000,-3361476000000.000000,-15352000000.000000,-75094000000.000000,-3451922000000.000000,2559703000000.000000,-1438077000000.000000,,-266201000000.000000,206531000000.000000,79866000000.000000,141136000000.000000,165151000000.000000,3990000000.000000,-486370000000.000000,37731000000.000000,255644000000.000000,137478000000.000000,,-6668000000.000000,-856527000000.000000,,,-451605000000.000000,-260755000000.000000,-1575555000000.000000,-1438077000000.000000,1121626000000.000000,31742000000.000000,,,31742000000.000000,31742000000.000000,1153368000000.000000,-355360000000.000000,-267518000000.000000,-87842000000.000000,-355360000000.000000,798008000000.000000,-96647000000.000000,701361000000.000000,,,,,701361000000.000000,798008000000.000000,-96647000000.000000,701361000000.000000,,,,
12M 2009,7375667000000.000000,7158372000000.000000,217295000000.000000,7375667000000.000000,-4150677000000.000000,-4029752000000.000000,-11193000000.000000,-109732000000.000000,-4150677000000.000000,3224990000000.000000,-1883969000000.000000,,223227000000.000000,216937000000.000000,53528000000.000000,175627000000.000000,4697000000.000000,43511000000.000000,-914031000000.000000,-92141000000.000000,232543000000.000000,-56102000000.000000,,-5506000000.000000,-967017000000.000000,,,-533832000000.000000,-321512000000.000000,-1827867000000.000000,-1883969000000.000000,1341021000000.000000,65124000000.000000,,,65124000000.000000,65124000000.000000,1406145000000.000000,-371620000000.000000,-385157000000.000000,13537000000.000000,-371620000000.000000,1034525000000.000000,-119227000000.000000,915298000000.000000,,,,,915298000000.000000,1034525000000.000000,-119227000000.000000,915298000000.000000,,,,
12M 2010,8183967000000.000000,7965031000000.000000,218936000000.000000,8183967000000.000000,-3981493000000.000000,-3843861000000.000000,-12907000000.000000,-124725000000.000000,-3981493000000.000000,4202474000000.000000,-2392800000000.000000,,325393000000.000000,245602000000.000000,52482000000.000000,217548000000.000000,1913000000.000000,69986000000.000000,-1198296000000.000000,-18928000000.000000,448822000000.000000,144522000000.000000,,-45863000000.000000,-1381499000000.000000,,,-705290000000.000000,-404670000000.000000,-2537322000000.000000,-2392800000000.000000,1809674000000.000000,87937000000.000000,,,87937000000.000000,87937000000.000000,1897611000000.000000,-483335000000.000000,-470753000000.000000,-12582000000.000000,-483335000000.000000,1414276000000.000000,-156351000000.000000,1257925000000.000000,,,,,1257925000000.000000,1414276000000.000000,-156351000000.000000,1257925000000.000000,,,,
12M 2011,9945650000000.000000,9611181000000.000000,334469000000.000000,9945650000000.000000,-4982909000000.000000,-4708193000000.000000,-67261000000.000000,-207455000000.000000,-4982909000000.000000,4962741000000.000000,-2334678000000.000000,,185714000000.000000,278231000000.000000,36340000000.000000,287348000000.000000,49851000000.000000,58569000000.000000,-998356000000.000000,36489000000.000000,1214238000000.000000,1148424000000.000000,,,-2078973000000.000000,,,-874835000000.000000,-529294000000.000000,-3483102000000.000000,-2334678000000.000000,2628063000000.000000,108303000000.000000,,,108303000000.000000,108303000000.000000,2736366000000.000000,-683251000000.000000,-673579000000.000000,-9672000000.000000,-683251000000.000000,2053115000000.000000,,2053115000000.000000,-14846000000.000000,-14846000000.000000,-14846000000.000000,2038269000000.000000,2053115000000.000000,1830331000000.000000,222784000000.000000,2053115000000.000000,2038269000000.000000,1823770000000.000000,214499000000.000000,2038269000000.000000
12M 2012,11498857000000.000000,11112581000000.000000,386276000000.000000,11498857000000.000000,-6024990000000.000000,-4797363000000.000000,-896102000000.000000,-331525000000.000000,-6024990000000.000000,5473867000000.000000,-2507822000000.000000,,242733000000.000000,301061000000.000000,69092000000.000000,158564000000.000000,-45562000000.000000,68144000000.000000,-884050000000.000000,42341000000.000000,1034578000000.000000,986901000000.000000,,,-1584945000000.000000,,,-1099771000000.000000,-810007000000.000000,-3494723000000.000000,-2507822000000.000000,2966045000000.000000,76419000000.000000,,,76419000000.000000,76419000000.000000,3042464000000.000000,-764129000000.000000,-823157000000.000000,59028000000.000000,-764129000000.000000,2278335000000.000000,,2278335000000.000000,45639000000.000000,45639000000.000000,45639000000.000000,2323974000000.000000,2278335000000.000000,2107543000000.000000,170792000000.000000,2278335000000.000000,2323974000000.000000,2146238000000.000000,177736000000.000000,2323974000000.000000
12M 2013,12982201000000.000000,12745393000000.000000,236808000000.000000,12982201000000.000000,-7120070000000.000000,-6867493000000.000000,,-252577000000.000000,-7120070000000.000000,5862131000000.000000,-2658249000000.000000,,109326000000.000000,,73731000000.000000,303191000000.000000,-145867000000.000000,56466000000.000000,-571463000000.000000,32952000000.000000,955529000000.000000,813865000000.000000,,,-1556353000000.000000,,,-1376420000000.000000,-539341000000.000000,-3472114000000.000000,-2658249000000.000000,3203882000000.000000,48281000000.000000,,,48281000000.000000,48281000000.000000,3252163000000.000000,-797688000000.000000,-872105000000.000000,74417000000.000000,-797688000000.000000,2454475000000.000000,,2454475000000.000000,-112788000000.000000,-112788000000.000000,-112788000000.000000,2341687000000.000000,2454475000000.000000,2259929000000.000000,194546000000.000000,2454475000000.000000,2341687000000.000000,2145639000000.000000,196048000000.000000,2341687000000.000000
12M 2014,15491547000000.000000,15130197000000.000000,361350000000.000000,15491547000000.000000,-9284606000000.000000,-9284606000000.000000,,,-9284606000000.000000,6206941000000.000000,-2849421000000.000000,,91405000000.000000,,71346000000.000000,103932000000.000000,111393000000.000000,104901000000.000000,-437265000000.000000,-1357000000.000000,1395145000000.000000,1439500000000.000000,,,-1843473000000.000000,,,-1597772000000.000000,-847676000000.000000,-4288921000000.000000,-2849421000000.000000,3357520000000.000000,119551000000.000000,,,119551000000.000000,119551000000.000000,3477071000000.000000,-894444000000.000000,-904362000000.000000,9918000000.000000,-894444000000.000000,2582627000000.000000,,2582627000000.000000,112870000000.000000,112870000000.000000,112870000000.000000,2695497000000.000000,2582627000000.000000,2355772000000.000000,226855000000.000000,2582627000000.000000,2695497000000.000000,2469139000000.000000,226358000000.000000,2695497000000.000000
12M 2015,16914828000000.000000,16442162000000.000000,472666000000.000000,16914828000000.000000,-9713532000000.000000,-9713532000000.000000,,,-9713532000000.000000,7201296000000.000000,-4775800000000.000000,,56687000000.000000,,87600000000.000000,139152000000.000000,-48859000000.000000,19587000000.000000,-1344809000000.000000,-17648000000.000000,763751000000.000000,-344539000000.000000,,,-1848004000000.000000,,,-1736244000000.000000,-847013000000.000000,-4431261000000.000000,-4775800000000.000000,2425496000000.000000,32188000000.000000,,,32188000000.000000,32188000000.000000,2457684000000.000000,-889839000000.000000,,,-889839000000.000000,1567845000000.000000,,1567845000000.000000,6176195000000.000000,6176195000000.000000,6176195000000.000000,7744040000000.000000,1567845000000.000000,1406891000000.000000,160954000000.000000,1567845000000.000000,7744040000000.000000,7549015000000.000000,195025000000.000000,7744040000000.000000
12M 2016,17447007000000.000000,16914404000000.000000,532603000000.000000,17447007000000.000000,-9004039000000.000000,-9004039000000.000000,,,-9004039000000.000000,8442968000000.000000,-5235805000000.000000,,184836000000.000000,,122188000000.000000,112488000000.000000,44199000000.000000,74987000000.000000,-1845230000000.000000,-162012000000.000000,756582000000.000000,-711962000000.000000,,,-1771323000000.000000,,,-1827366000000.000000,-925154000000.000000,-4523843000000.000000,-5235805000000.000000,3207163000000.000000,99020000000.000000,,,99020000000.000000,99020000000.000000,3306183000000.000000,-788135000000.000000,,,-788135000000.000000,2518048000000.000000,,2518048000000.000000,870131000000.000000,870131000000.000000,870131000000.000000,3388179000000.000000,2518048000000.000000,2405293000000.000000,112755000000.000000,2518048000000.000000,3388179000000.000000,3263905000000.000000,124274000000.000000,3388179000000.000000
12M 2017,17482548000000.000000,17028525000000.000000,454023000000.000000,17482548000000.000000,-8831594000000.000000,-8831594000000.000000,,,-8831594000000.000000,8650954000000.000000,-5752183000000.000000,,134938000000.000000,,141895000000.000000,93855000000.000000,46019000000.000000,54548000000.000000,-2520458000000.000000,-41930000000.000000,1075136000000.000000,-1015997000000.000000,,,-1755686000000.000000,,,-2042903000000.000000,-937597000000.000000,-4736186000000.000000,-5752183000000.000000,2898771000000.000000,64682000000.000000,,,64682000000.000000,64682000000.000000,2963453000000.000000,-955016000000.000000,,,-955016000000.000000,2008437000000.000000,,2008437000000.000000,-58131000000.000000,-58131000000.000000,-58131000000.000000,1950306000000.000000,2008437000000.000000,2412458000000.000000,-404021000000.000000,2008437000000.000000,1950306000000.000000,2344261000000.000000,-393955000000.000000,1950306000000.000000
12M 2018,17212026000000.000000,16725592000000.000000,486434000000.000000,17212026000000.000000,-8247532000000.000000,-8247532000000.000000,,,-8247532000000.000000,8964494000000.000000,-4589401000000.000000,,58940000000.000000,,147702000000.000000,139630000000.000000,-123303000000.000000,26047000000.000000,-1877126000000.000000,-71185000000.000000,2158179000000.000000,458884000000.000000,,,-1870513000000.000000,,,-2116689000000.000000,-1061083000000.000000,-5048285000000.000000,-4589401000000.000000,4375093000000.000000,197686000000.000000,,,197686000000.000000,197686000000.000000,4572779000000.000000,-1385622000000.000000,,,-1385622000000.000000,3187157000000.000000,,3187157000000.000000,749500000000.000000,749500000000.000000,749500000000.000000,3936657000000.000000,3187157000000.000000,3112580000000.000000,74577000000.000000,3187157000000.000000,3936657000000.000000,3853458000000.000000,83199000000.000000,3936657000000.000000
12M 2019,17724694000000.000000,17210167000000.000000,514527000000.000000,17724694000000.000000,-8755818000000.000000,-8755818000000.000000,,,-8755818000000.000000,8968876000000.000000,-4552684000000.000000,,114226000000.000000,,130696000000.000000,117448000000.000000,75629000000.000000,38291000000.000000,-1549399000000.000000,-49101000000.000000,1435454000000.000000,313244000000.000000,,,-1876414000000.000000,,,-2110021000000.000000,-879493000000.000000,-4865928000000.000000,-4552684000000.000000,4416192000000.000000,179425000000.000000,,,179425000000.000000,179425000000.000000,4595617000000.000000,-1097318000000.000000,,,-1097318000000.000000,3498299000000.000000,,3498299000000.000000,346069000000.000000,346069000000.000000,346069000000.000000,3844368000000.000000,3498299000000.000000,3316841000000.000000,181458000000.000000,3498299000000.000000,3844368000000.000000,3658429000000.000000,185939000000.000000,3844368000000.000000
12M 2020,16185399000000.000000,15795662000000.000000,389737000000.000000,16185399000000.000000,-7378410000000.000000,-7378410000000.000000,,,-7378410000000.000000,8806989000000.000000,-4881120000000.000000,,1784165000000.000000,,98872000000.000000,213055000000.000000,45835000000.000000,24995000000.000000,-2685422000000.000000,2888000000.000000,1110295000000.000000,594683000000.000000,,,-1838128000000.000000,,,-2062513000000.000000,-1575162000000.000000,-5475803000000.000000,-4881120000000.000000,3925869000000.000000,145923000000.000000,,,145923000000.000000,145923000000.000000,4071792000000.000000,-947587000000.000000,,,-947587000000.000000,3124205000000.000000,,3124205000000.000000,1820954000000.000000,1820954000000.000000,1820954000000.000000,4945159000000.000000,3124205000000.000000,3103248000000.000000,20957000000.000000,3124205000000.000000,4945159000000.000000,4949689000000.000000,-4530000000.000000,4945159000000.000000
12M 2021,14347292000000.000000,13851827000000.000000,495465000000.000000,14347292000000.000000,-4792084000000.000000,-4792084000000.000000,,,-4792084000000.000000,9555208000000.000000,-7105665000000.000000,,1283060000000.000000,,106795000000.000000,115511000000.000000,-64062000000.000000,42038000000.000000,-5248624000000.000000,-101323000000.000000,1626987000000.000000,-2239618000000.000000,,,-1909096000000.000000,,,-2075356000000.000000,-881595000000.000000,-4866047000000.000000,-7105665000000.000000,2449543000000.000000,64793000000.000000,,,64793000000.000000,64793000000.000000,2514336000000.000000,-697360000000.000000,-760278000000.000000,62918000000.000000,-697360000000.000000,1816976000000.000000,,1816976000000.000000,-831364000000.000000,-831364000000.000000,-831364000000.000000,985612000000.000000,1816976000000.000000,2063473000000.000000,-246497000000.000000,1816976000000.000000,985612000000.000000,1223202000000.000000,-237590000000.000000,985612000000.000000
12M 2022,13906210000000.000000,13367323000000.000000,538887000000.000000,13906210000000.000000,-3957460000000.000000,-3957460000000.000000,,,-3957460000000.000000,9948750000000.000000,-5875817000000.000000,,202790000000.000000,,137302000000.000000,115096000000.000000,-142850000000.000000,87579000000.000000,-2819053000000.000000,28501000000.000000,1595654000000.000000,-794981000000.000000,,,-2067137000000.000000,,,-2274770000000.000000,-738929000000.000000,-5080836000000.000000,-5875817000000.000000,4072933000000.000000,15960000000.000000,,,15960000000.000000,15960000000.000000,4088893000000.000000,-815883000000.000000,-802758000000.000000,-13125000000.000000,-815883000000.000000,3273010000000.000000,,3273010000000.000000,-623032000000.000000,-623032000000.000000,-623032000000.000000,2649978000000.000000,3273010000000.000000,3041676000000.000000,231334000000.000000,3273010000000.000000,2649978000000.000000,2436934000000.000000,213044000000.000000,2649978000000.000000
12M 2023,14588381000000.000000,14136964000000.000000,451417000000.000000,14588381000000.000000,-5381905000000.000000,-5381905000000.000000,,,-5381905000000.000000,9206476000000.000000,-5527128000000.000000,,142973000000.000000,,150059000000.000000,124581000000.000000,38955000000.000000,53149000000.000000,-2769587000000.000000,11681000000.000000,2066572000000.000000,-181617000000.000000,,,-1979148000000.000000,,,-2435356000000.000000,-931007000000.000000,-5345511000000.000000,-5527128000000.000000,3679348000000.000000,96378000000.000000,,,96378000000.000000,96378000000.000000,3775726000000.000000,-770190000000.000000,-770190000000.000000,,-770190000000.000000,3005536000000.000000,,3005536000000.000000,-215835000000.000000,-215835000000.000000,-215835000000.000000,2789701000000.000000,3005536000000.000000,2531895000000.000000,473641000000.000000,3005536000000.000000,2789701000000.000000,2303920000000.000000,485781000000.000000,2789701000000.000000
12M 2024,15453970000000.000000,15017082000000.000000,436888000000.000000,15453970000000.000000,-6545430000000.000000,-6545430000000.000000,,,-6545430000000.000000,8908540000000.000000,-5205558000000.000000,,161215000000.000000,,144658000000.000000,129609000000.000000,-100906000000.000000,32283000000.000000,-1682728000000.000000,6756000000.000000,1820266000000.000000,511153000000.000000,,,-2167244000000.000000,,,-2559147000000.000000,-990320000000.000000,-5716711000000.000000,-5205558000000.000000,3702982000000.000000,-48088000000.000000,,,-48088000000.000000,-48088000000.000000,3654894000000.000000,-788131000000.000000,-788131000000.000000,,-788131000000.000000,2866763000000.000000,,2866763000000.000000,-109632000000.000000,-109632000000.000000,-109632000000.000000,2757131000000.000000,2866763000000.000000,2738143000000.000000,128620000000.000000,2866763000000.000000,2757131000000.000000,2619534000000.000000,137597000000.000000,2757131000000.000000
