Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,47.52,,0.2,,,0.0
12M 2009,,,,,,,,,114.14,114.31,0.31,0.29,,,0.0
12M 2010,,,,,,,,,104.17,102.0,0.3,0.29,,,0.0
12M 2011,,,,,,,,,118.26,123.41,0.35,0.33,,,0.0
12M 2012,,,,,,,,,76.24,75.2,0.22,0.22,,,0.0
12M 2013,,,,,,,,,100.28,108.9,0.25,0.22,,,0.0
12M 2014,,,,,,,,,123.29,118.96,0.24,0.23,,,0.0
12M 2015,,,,,,,,,68.6,46.57,0.24,0.22,,,0.0
12M 2016,,,,,,,,,28.3,20.39,0.21,0.19,,,0.0
12M 2017,,,,,,,,,21.08,20.91,0.19,0.19,,,0.0
12M 2018,,,,,,,,,18.02,18.24,0.15,0.15,,,0.0
12M 2019,,,,,,,,,18.97,19.2,0.15,0.15,,,0.0
12M 2020,,,,,,,,,11.91,12.02,0.09,0.09,,,0.0
12M 2021,,,,,,,,,11.28,11.41,0.08,0.08,,,0.0
12M 2022,,,,,,,,,11.72,11.77,0.09,0.09,,,0.0
12M 2023,,,,,,,,,2.73,2.73,0.11,0.11,,,0.0
12M 2024,,,,,,,,,1.36,1.38,0.06,0.06,,,0.0
