Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.46,179.21,0.46,179.21,,,,,
12M 2009,0.71,199.48,0.71,199.48,,,,,
12M 2010,0.90,234.41,0.90,234.41,,,,,
12M 2011,0.45,256.70,0.45,256.70,,,,,
12M 2012,0.46,295.97,0.46,295.97,,,,,
12M 2013,0.50,393.48,0.50,393.48,,,,,
12M 2014,0.74,403.65,0.76,392.11,,,,,
12M 2015,0.43,430.45,0.44,419.72,,,,,
12M 2016,0.30,576.29,0.30,566.37,,,,,
12M 2017,0.40,623.02,0.40,613.91,,,,,
12M 2018,0.39,680.56,0.40,672.21,,,,,
12M 2019,0.41,745.06,0.41,737.26,,,,,
12M 2020,0.31,802.22,0.31,794.97,,,,,
12M 2021,0.21,831.40,0.21,824.70,,,,,
12M 2022,0.41,868.47,0.42,862.31,,,,,
12M 2023,0.30,870.04,0.31,853.73,,,,,
12M 2024,0.47,919.72,0.48,901.09,,,,,
