Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,,,,,,0.0
12M 2009,,,,,,,,,72.42,73.07,0.15,0.14,,,0.0
12M 2010,,,,,,,,,109.31,115.71,0.18,0.17,,,0.0
12M 2011,1.62,,,,,,,,268.11,307.26,0.27,0.25,,,0.0
12M 2012,1.84,,,,,,,,258.45,233.56,0.2,0.19,,,0.0
12M 2013,,,,,,,,,279.91,272.2,0.23,0.2,,,0.0
12M 2014,,,,,,,,,233.86,217.02,0.2,0.19,,,0.0
12M 2015,,,,,,,,,211.97,221.35,0.19,0.18,,,0.0
12M 2016,,,,,,,,,38.61,21.29,0.16,0.14,,,0.0
12M 2017,,,,,,,,,24.53,24.22,0.16,0.15,,,0.0
12M 2018,,,,,,,,,22.91,23.31,0.14,0.14,,,0.0
12M 2019,,,,,,,,,23.69,24.11,0.13,0.13,,,0.0
12M 2020,,,,,,,,,14.4,14.58,0.08,0.08,,,0.0
12M 2021,,,,,,,,,12.94,13.15,0.07,0.07,,,0.0
12M 2022,,,,,,,,,11.3,11.36,0.06,0.06,,,0.0
12M 2023,,,,,,,,,2.78,2.78,0.11,0.11,,,0.0
12M 2024,,,,,,,,,1.35,1.36,0.06,0.05,,,0.0
