Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(434 B),(11 B),(445 B),-18.52
12M 2009,94 B,(3 B),91 B,3.79
12M 2010,(52 B),(2 B),(54 B),-2.26
12M 2011,735 B,(1 B),735 B,26.21
12M 2012,(42 B),(5 B),(48 B),-1.70
12M 2013,(248 B),(7 B),(256 B),-9.05
12M 2014,963 B,(8 B),955 B,29.83
12M 2015,(734 B),(6 B),(740 B),-23.11
12M 2016,(199 B),(4 B),(203 B),-6.33
12M 2017,(436 B),(14 B),(450 B),-14.05
12M 2018,41 B,(2 B),38 B,1.20
12M 2019,(250 B),(2 B),(252 B),-7.87
12M 2020,51 B,(2 B),49 B,1.52
12M 2021,(56 B),(4 B),(59 B),-1.86
12M 2022,(256 B),(16 B),(271 B),-8.47
12M 2023,"6,050 B",(165 B),"5,886 B",183.80
12M 2024,"4,978 B",(325 B),"4,653 B",145.31
