Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Adjustment,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Karyawan,Beban Penjualan,Beban Umum Dan Administrasi,Adjustment,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Penyusutan,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Laba (Rugi) Atas Penjualan Aset Tetap,Adjustment,Others,Total Beban Penyusutan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjusment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,158486228458.000000,158486228458.000000,158486228458.000000,-45445389166.000000,,-26380676921.000000,-26380676921.000000,,-19064712245.000000,-45445389166.000000,113040839292.000000,-41199427009.000000,-11588281967.000000,-4279565038.000000,-3438588496.000000,,-21892991508.000000,-41199427009.000000,71841412283.000000,-38850109611.000000,-9607811510.000000,-6399374451.000000,658008305.000000,-262740868.000000,,,,,,-152775467.000000,-23238191087.000000,-38850109611.000000,32991302672.000000,-6166271250.000000,-8026135013.000000,1859863763.000000,-6166271250.000000,26825031422.000000,-6372845755.000000,20452185667.000000,,,,,20452185667.000000,26825031422.000000,-6372845755.000000,,20452185667.000000,,,,
12M 2009,188605097009.000000,188605097009.000000,188605097009.000000,-51534569974.000000,,-31143079335.000000,-31143079335.000000,,-20391490639.000000,-51534569974.000000,137070527035.000000,-44483386262.000000,-14325356732.000000,-4832844983.000000,-3446384094.000000,,-21878800453.000000,-44483386262.000000,92587140773.000000,-39063273271.000000,-11088076174.000000,-9774308811.000000,1518996487.000000,-722348868.000000,,,,,,-58544531.000000,-18997535905.000000,-39063273271.000000,53523867502.000000,-10349259913.000000,-10822799286.000000,473539373.000000,-10349259913.000000,43174607589.000000,-11129700111.000000,32044907478.000000,,,,,32044907478.000000,43174607589.000000,-11129700111.000000,,32044907478.000000,,,,
12M 2010,203430832742.000000,203430832742.000000,203430832742.000000,-57360219068.000000,,-34682489354.000000,-34682489354.000000,,-22677729714.000000,-57360219068.000000,146070613674.000000,-53060038687.000000,-15090316799.000000,-6295612569.000000,-4034036582.000000,,-27640072737.000000,-53060038687.000000,93010574987.000000,-42594867480.000000,-11941939388.000000,-7544111351.000000,1749535697.000000,-709145082.000000,,,,,,-147690012.000000,-24149207356.000000,-42594867480.000000,50415707507.000000,-9983694113.000000,-10568016424.000000,584322311.000000,-9983694113.000000,40432013394.000000,-10500318599.000000,29931694795.000000,,,,,29931694795.000000,40432013394.000000,-10500318599.000000,,29931694795.000000,,,,
12M 2011,238883852860.000000,238883852860.000000,238883852860.000000,-73001267078.000000,,-49939230749.000000,-49939230749.000000,,-23062036329.000000,-73001267078.000000,165882585782.000000,-61780640070.000000,-18386040158.000000,-5351257985.000000,-6681592183.000000,,-31361749744.000000,-61780640070.000000,104101945712.000000,-45971893122.000000,-14735021199.000000,-8714392727.000000,1403044213.000000,-474164076.000000,,,,,,-431639645.000000,-23451359333.000000,-45971893122.000000,58130052590.000000,-13884527449.000000,-15552933914.000000,1668406465.000000,-13884527449.000000,44245525141.000000,,44245525141.000000,,,,44245525141.000000,44245525141.000000,33702688904.000000,10542836237.000000,,44245525141.000000,44245525141.000000,33702688904.000000,10542836237.000000,44245525141.000000
12M 2012,250244389879.000000,250244389879.000000,250244389879.000000,-78580733261.000000,,-51320417522.000000,-51320417522.000000,,-27260315739.000000,-78580733261.000000,171663656618.000000,-65334850013.000000,-21328935811.000000,-6097063027.000000,-6722354193.000000,,-31186496982.000000,-65334850013.000000,106328806605.000000,-50074658254.000000,-16319528318.000000,-6834554024.000000,1239973020.000000,226070968.000000,,,,,,-431252950.000000,-28386619900.000000,-50074658254.000000,56254148351.000000,-14876178177.000000,,,-14876178177.000000,41377970174.000000,,41377970174.000000,,,,41377970174.000000,41377970174.000000,32740503530.000000,8637466644.000000,,41377970174.000000,41377970174.000000,32740503530.000000,8637466644.000000,41377970174.000000
12M 2013,259470301834.000000,259470301834.000000,259470301834.000000,-83656137199.000000,,-52666472675.000000,-52666472675.000000,,-30989664524.000000,-83656137199.000000,175814164635.000000,-69203308311.000000,-23822757943.000000,-5601554222.000000,-6168973395.000000,,-33610022751.000000,-69203308311.000000,106610856324.000000,-45446192980.000000,-16560187579.000000,-5068944763.000000,599128705.000000,1770676117.000000,,,,,,-23450473.000000,-26186865460.000000,-45446192980.000000,61164663344.000000,-13962683450.000000,,,-13962683450.000000,47201979894.000000,,47201979894.000000,,,,47201979894.000000,47201979894.000000,35547434533.000000,11654545361.000000,,47201979894.000000,47201979894.000000,35547434533.000000,11654545361.000000,47201979894.000000
12M 2014,245972844463.000000,245972844463.000000,245972844463.000000,-85281441908.000000,,-50757009656.000000,-50757009656.000000,,-34524432252.000000,-85281441908.000000,160691402555.000000,-72074305143.000000,-25095855376.000000,-5809472322.000000,-6979136043.000000,,-34189841402.000000,-72074305143.000000,88617097412.000000,-49312237960.000000,-16227581985.000000,-11161585961.000000,1003828006.000000,-769577563.000000,,,,,,-18055104.000000,-22157320457.000000,-49312237960.000000,39304859452.000000,-9608866846.000000,,,-9608866846.000000,29695992606.000000,,29695992606.000000,,,,29695992606.000000,29695992606.000000,20107932419.000000,9588060187.000000,,29695992606.000000,29695992606.000000,20107932419.000000,9588060187.000000,29695992606.000000
12M 2015,225844557011.000000,225844557011.000000,225844557011.000000,-86266624820.000000,,-49417327017.000000,-49417327017.000000,,-36849297803.000000,-86266624820.000000,139577932191.000000,-69214683647.000000,-24204160790.000000,-5492742455.000000,-7784184857.000000,,-31733595545.000000,-69214683647.000000,70363248544.000000,-46791824748.000000,-15140031832.000000,-9047956453.000000,955833393.000000,-6151282.000000,,,,,,-17936791.000000,-23553518574.000000,-46791824748.000000,23571423796.000000,-7852470057.000000,-6663222261.000000,-1189247796.000000,-7852470057.000000,15718953739.000000,,15718953739.000000,771639977.000000,771639977.000000,771639977.000000,16490593716.000000,15718953739.000000,8354829881.000000,7364123858.000000,,15718953739.000000,16490593716.000000,8193015526.000000,8297578190.000000,16490593716.000000
12M 2016,224829147655.000000,224829147655.000000,224829147655.000000,-90342823866.000000,,-52349493844.000000,-52349493844.000000,,-37993330022.000000,-90342823866.000000,134486323789.000000,-69537661091.000000,-24977272863.000000,-5198322469.000000,-9622113369.000000,,-29739952390.000000,-69537661091.000000,64948662698.000000,-62209131234.000000,-16530504307.000000,-16536732161.000000,675720647.000000,-658437464.000000,,,,,,-34808792.000000,-29159177949.000000,-62209131234.000000,2739531464.000000,-3394613077.000000,-2442878879.000000,-951734198.000000,-3394613077.000000,-655081613.000000,,-655081613.000000,-3012022167.000000,-3012022167.000000,-3012022167.000000,-3667103780.000000,-655081613.000000,-2313859545.000000,1658777932.000000,,-655081613.000000,-3667103781.000000,-4363062231.000000,695958450.000000,-3667103781.000000
12M 2017,224070107624.000000,224070107624.000000,224070107624.000000,-91035425950.000000,,-52624919393.000000,-52624919393.000000,,-38410506557.000000,-91035425950.000000,133034681674.000000,-67944281441.000000,-27464493365.000000,-4093778977.000000,-7852845002.000000,,-28533164097.000000,-67944281441.000000,65090400233.000000,-35974374067.000000,-19499893704.000000,-14904162822.000000,401168626.000000,-43629165.000000,6207590720.000000,,6207590720.000000,,-846328678.000000,-846328678.000000,-8135447722.000000,-35974374067.000000,29116026166.000000,-1387333038.000000,-2250785218.000000,863452180.000000,-1387333038.000000,27728693128.000000,,27728693128.000000,-4932171582.000000,-4932171582.000000,-4932171582.000000,22796521546.000000,27728693128.000000,17220189336.000000,10508503792.000000,,27728693128.000000,22796521546.000000,13770455639.000000,9026065907.000000,22796521546.000000
