Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Penyusutan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Adjustment,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Others,Total Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Adjustment,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,3750956369361.000000,3750956369361.000000,3750956369361.000000,-3968767722547.000000,-217811353186.000000,-1898649105338.000000,-156673495103.000000,-143732630590.000000,-1614244053210.000000,16001073565.000000,-1898649105338.000000,-2116460458524.000000,-72229025185.000000,555812235.000000,-47163560518.000000,70000000.000000,-11001054330.000000,,-14690222572.000000,-72229025185.000000,,-2188689483709.000000,68013023512.000000,,68013023512.000000,68013023512.000000,,-2120676460197.000000,,,,-2120676460197.000000,,,,,,,-2120676460197.000000,-2120676460197.000000,,,-2120676460197.000000,,,,,
12M 2009,3520488172261.000000,3520488172261.000000,3520488172261.000000,-3564390044865.000000,-43901872604.000000,1284272434556.000000,-130747813522.000000,-139647835091.000000,1541915584260.000000,12752498909.000000,1284272434556.000000,1240370561952.000000,-126471782308.000000,568006669.000000,-57522896336.000000,,-1433964902.000000,,-68082927739.000000,-126471782308.000000,,1113898779644.000000,68889175344.000000,,68889175344.000000,68889175344.000000,,1182787954988.000000,,,,1182787954988.000000,,,,,,,1182787954988.000000,1182787954988.000000,,,1182787954988.000000,,,,,
12M 2010,4461605599646.000000,4461605599646.000000,4461605599646.000000,-4130212671366.000000,331392928280.000000,82675889454.000000,-152628533572.000000,-164568310006.000000,391404862775.000000,8467870257.000000,82675889454.000000,414068817734.000000,-135233119192.000000,239465297.000000,-52566314691.000000,763636367.000000,,,-83669906165.000000,-135233119192.000000,,278835698542.000000,56141151381.000000,,56141151381.000000,56141151381.000000,,334976849923.000000,,,,334976849923.000000,,,,,,,334976849923.000000,334976849923.000000,,,334976849923.000000,,,,,
12M 2011,5581897121591.000000,5581897121591.000000,5581897121591.000000,-5191343118311.000000,390554003280.000000,-361803440114.000000,-120468271917.000000,-164956335861.000000,-83939034346.000000,7560202010.000000,-361803440114.000000,28750563166.000000,-142618575240.000000,185188989.000000,-142803764229.000000,,,,,-142618575240.000000,,-113868012074.000000,59286095421.000000,,59286095421.000000,59286095421.000000,,-54581916653.000000,664895288892.000000,664895288892.000000,664895288892.000000,610313372239.000000,-157090308.000000,,-157090308.000000,-157090308.000000,,610156281931.000000,610313372239.000000,609369397980.000000,943974259.000000,,610313372239.000000,610156281931.000000,609212307672.000000,943974259.000000,,610156281931.000000
12M 2012,600531751.000000,600531751.000000,600531751.000000,-606514179.000000,-5982428.000000,-17532078.000000,-14052194.000000,-17843646.000000,11816164.000000,2547598.000000,-17532078.000000,-23514506.000000,-18245491.000000,,-18245491.000000,,,,,-18245491.000000,,-41759997.000000,9641186.000000,,9641186.000000,9641186.000000,,-32118811.000000,,,,-32118811.000000,,,,,,-32118811.000000,-32118811.000000,-32118811.000000,,,-32118811.000000,-32118811.000000,-32118811.000000,,,-32118811.000000
12M 2013,571747275.000000,571747275.000000,571747275.000000,-592318437.000000,-20571162.000000,722105.000000,-13466915.000000,-18004104.000000,31414704.000000,778420.000000,722105.000000,-19849057.000000,-16616447.000000,,-16616447.000000,,,,,-16616447.000000,,-36465504.000000,6403573.000000,,6403573.000000,6403573.000000,,-30061931.000000,,,,-30061931.000000,,,,,,-30061931.000000,-30061931.000000,-30061931.000000,,,-30061931.000000,-30061931.000000,-30061931.000000,,,-30061931.000000
12M 2014,497981661.000000,497981661.000000,497981661.000000,-511808609.000000,-13826948.000000,-18728359.000000,-12325493.000000,-15197963.000000,4959108.000000,3835989.000000,-18728359.000000,-32555307.000000,-49115647.000000,,-14848320.000000,,,,-34267327.000000,-49115647.000000,,-81670954.000000,1734736.000000,,1734736.000000,1734736.000000,,-79936218.000000,,,,-79936218.000000,,,,,,-79936218.000000,-79936218.000000,-79936218.000000,,,-79936218.000000,-79936218.000000,-79936218.000000,,,-79936218.000000
12M 2015,390055996.000000,390055996.000000,390055996.000000,-381902793.000000,8153203.000000,-11936700.000000,-10786487.000000,-14399308.000000,11236898.000000,2012197.000000,-11936700.000000,-3783497.000000,-7863850.000000,,-7863850.000000,,,,,-7863850.000000,,-11647347.000000,-6139325.000000,-1566830.000000,-4572495.000000,-6139325.000000,,-17786672.000000,,,,-17786672.000000,1403917.000000,,1403917.000000,1403917.000000,,-16382755.000000,-17786672.000000,-17786672.000000,,,-17786672.000000,-16382755.000000,-16382755.000000,,,-16382755.000000
12M 2016,360480752.000000,360480752.000000,360480752.000000,-342580203.000000,17900549.000000,-20456811.000000,-7999603.000000,-15386149.000000,-3884345.000000,6813286.000000,-20456811.000000,-2556262.000000,-4422479.000000,,-4451148.000000,28669.000000,,,,-4422479.000000,,-6978741.000000,-4889628.000000,-883641.000000,-4005987.000000,-4889628.000000,,-11868369.000000,,,,-11868369.000000,-291067.000000,,-291067.000000,-291067.000000,,-12159436.000000,-11868369.000000,-11868369.000000,,,-11868369.000000,-12159436.000000,-12159436.000000,,,-12159436.000000
12M 2017,399776871.000000,399776871.000000,399776871.000000,-371785957.000000,27990914.000000,-25491464.000000,-8416514.000000,-16498407.000000,-2540416.000000,1963873.000000,-25491464.000000,2499450.000000,-3483290.000000,,-3483290.000000,,,,,-3483290.000000,,-983840.000000,-3424724.000000,-7236.000000,-3417488.000000,-3424724.000000,,-4408564.000000,,,,-4408564.000000,-1266247.000000,,-1266247.000000,-1266247.000000,,-5674811.000000,-4408564.000000,-4408564.000000,,,-4408564.000000,-5674811.000000,-5674811.000000,,,-5674811.000000
12M 2018,479184685.000000,479184685.000000,479184685.000000,-438245764.000000,40938921.000000,-20359073.000000,-9026565.000000,-18121041.000000,5329995.000000,1458538.000000,-20359073.000000,20579848.000000,-5324031.000000,,-5322308.000000,-1723.000000,,,,-5324031.000000,,15255817.000000,-2423557.000000,589532.000000,-3013089.000000,-2423557.000000,,12832260.000000,,,,12832260.000000,983101.000000,,983101.000000,983101.000000,,13815361.000000,12832260.000000,12832260.000000,,,12832260.000000,13815361.000000,13815361.000000,,,13815361.000000
12M 2019,400534862.000000,400534862.000000,400534862.000000,-372989834.000000,27545028.000000,-31127198.000000,-8590525.000000,-18042767.000000,-5906706.000000,1412800.000000,-31127198.000000,-3582170.000000,-5853696.000000,,-5836349.000000,,,,-17347.000000,-5853696.000000,,-9435866.000000,-2479040.000000,,-2479040.000000,-2479040.000000,,-11914906.000000,,,,-11914906.000000,-5379.000000,,-5379.000000,-5379.000000,,-11920285.000000,-11914906.000000,-11914906.000000,,,-11914906.000000,-11920285.000000,-11920285.000000,,,-11920285.000000
12M 2020,260960780.000000,260960780.000000,260960780.000000,-250459815.000000,10500965.000000,-24902347.000000,-8022988.000000,-15040880.000000,-1891541.000000,53062.000000,-24902347.000000,-14401382.000000,-5720589.000000,,-5720589.000000,,,,,-5720589.000000,,-20121971.000000,-427379.000000,,-427379.000000,-427379.000000,,-20549350.000000,,,,-20549350.000000,409547.000000,,409547.000000,409547.000000,,-20139803.000000,-20549350.000000,-20549350.000000,,,-20549350.000000,-20139803.000000,-20139803.000000,,,-20139803.000000
12M 2021,372973845.000000,372973845.000000,372973845.000000,-336380343.000000,36593502.000000,-26576461.000000,-15021361.000000,-17399144.000000,5982637.000000,-138593.000000,-26576461.000000,10017041.000000,-5827380.000000,,-5827380.000000,,,,,-5827380.000000,,4189661.000000,-2503845.000000,,-2503845.000000,-2503845.000000,,1685816.000000,,,,1685816.000000,226572.000000,,226572.000000,226572.000000,,1912388.000000,1685816.000000,1685816.000000,,,1685816.000000,1912388.000000,1912388.000000,,,1912388.000000
12M 2022,396980964.000000,396980964.000000,396980964.000000,-364044477.000000,32936487.000000,-14394307.000000,-11868600.000000,-16965375.000000,15253680.000000,-814012.000000,-14394307.000000,18542180.000000,-5797621.000000,,-5891420.000000,67069.000000,,,26730.000000,-5797621.000000,,12744559.000000,-430780.000000,,-430780.000000,-430780.000000,,12313779.000000,,,,12313779.000000,218547.000000,,218547.000000,218547.000000,,12532326.000000,12313779.000000,12313779.000000,,,12313779.000000,12532326.000000,12532326.000000,,,12532326.000000
12M 2023,291198704.000000,291198704.000000,291198704.000000,-288984249.000000,2214455.000000,-23442341.000000,-5588964.000000,-15523819.000000,-2255260.000000,-74298.000000,-23442341.000000,-21227886.000000,-1258813.000000,,-4806494.000000,3547101.000000,,,580.000000,-1258813.000000,,-22486699.000000,-11273292.000000,,-11273292.000000,-11273292.000000,,-33759991.000000,,,,-33759991.000000,478188.000000,,478188.000000,478188.000000,,-33281803.000000,-33759991.000000,11213407.000000,,-44973398.000000,-33759991.000000,-33281803.000000,10735219.000000,,-44017022.000000,-33281803.000000
12M 2024,191999590.000000,191999590.000000,191999590.000000,-193495347.000000,-1495757.000000,-44395240.000000,-3839754.000000,-10249295.000000,8473719.000000,-38779910.000000,-44395240.000000,-45890997.000000,-1937023.000000,,-2661286.000000,713174.000000,,,11089.000000,-1937023.000000,,-47828020.000000,-672614.000000,,-672614.000000,-672614.000000,,-48500634.000000,,,,-48500634.000000,608510.000000,,608510.000000,608510.000000,,-47892124.000000,-48500634.000000,-48500634.000000,,,-48500634.000000,-47892124.000000,-47892124.000000,,,-47892124.000000
