Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pencairan Deposito Berjangka.,Pengembalian Pajak,Pembayaran Pajak Penghasilan,Pembayaran Kepada Karyawan,Penerimaan Atas Pendapatan Bunga,Pembayaran Bunga,Penerimaan Restitusi Pajak Penghasilan Badan,Pembayaran Kepada Pihak Ketiga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Pencairan Deposito Berjangka,Penempatan Deposito Berjangka,Divestasi Pada Entitas Anak Kepada Pihak Ketiga,Pembayaran Untuk Pengembangan Usaha,Hasil Penjualan Investasi Pada Entitas Anak,Pembayaran Uang Muka Investasi,Penempatan Bank Garansi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Bank,Penerimaan Utang Bank,Penerimaan Fasilitas Senior Loan,Pembayaran Kepada Pihak Berelasi,Pembayaran Pinjaman Kepada Pihak Ketiga,Utang Dari Pihak Ketiga,Penerimaan Dari Pihak Berelasi,Penerimaan Dari Pinjaman Pemegang Saham,Pembayaran Pinjaman Kepada Pemegang Saham,"Penerimaan Pinjaman Dari Knight Investment Pte, Ltd","Pembayaran Pinjaman Kepada Knight Investment Pte, Ltd",Penerimaan Pinjaman Dari Penawaran Umum Perdana Saham,Pembayaran Biaya Penawaran Umum Perdana Saham,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Pengaruh Akuisisi Entitas Anak,Kas Dan Setara Kas Yang Terkait Dengan Aset Yang Dimiliki Untuk Dijual,Kas Dan Setara Kas Akhir Periode
12M 2015,-26644645000.000000,584164346000.000000,,,-27082096000.000000,-60264241000.000000,,-81713103000.000000,,-441749551000.000000,-26644645000.000000,-232114781000.000000,,-196328781000.000000,,,,21000000000.000000,,,-56786000000.000000,,-232114781000.000000,185198359000.000000,-89796750000.000000,,207000000000.000000,-131298352000.000000,,,57303882000.000000,31629579000.000000,,110360000000.000000,,,,,,185198359000.000000,-73561067000.000000,287681410000.000000,9860130000.000000,,,223980473000.000000
12M 2016,114680819000.000000,1168387407000.000000,,,-82108393000.000000,-77698402000.000000,,-96687456000.000000,,-797212337000.000000,114680819000.000000,-93569118000.000000,604551000.000000,-83277322000.000000,-4178347000.000000,,,,,,-6718000000.000000,,-93569118000.000000,-14128034000.000000,-168380712000.000000,160872856000.000000,,,,,,,,26360000000.000000,-27692000000.000000,,,,-5288178000.000000,-14128034000.000000,6983667000.000000,223980473000.000000,-1255863000.000000,45454622000.000000,,275162899000.000000
12M 2017,129665432000.000000,1217537666000.000000,,,-140807915000.000000,-92152410000.000000,,-51874559000.000000,,-803037350000.000000,129665432000.000000,-116438640000.000000,3621218000.000000,-103428707000.000000,-3887146000.000000,,,-5694457000.000000,,,-7049548000.000000,,-116438640000.000000,-134161147000.000000,-809194127000.000000,838785247000.000000,,-162860377000.000000,,,,,-218639553000.000000,53704000000.000000,-133190000000.000000,308619084000.000000,-5543995000.000000,,-5841426000.000000,-134161147000.000000,-120934355000.000000,275162899000.000000,391801000.000000,,,154620345000.000000
12M 2018,38830710000.000000,1195169067000.000000,,,-86941147000.000000,-113673269000.000000,,-71284419000.000000,,-884439522000.000000,38830710000.000000,-108298393000.000000,13603912000.000000,-136768601000.000000,-6024000.000000,7747320000.000000,,,,,7125000000.000000,,-108298393000.000000,145008673000.000000,-150013258000.000000,223173927000.000000,,8400593000.000000,,,,,,71250000000.000000,-7125000000.000000,,,,-677589000.000000,145008673000.000000,75540990000.000000,154620345000.000000,475926000.000000,,,230637261000.000000
12M 2019,23764203000.000000,1506770384000.000000,,,-77207605000.000000,-189979304000.000000,,-70984886000.000000,198400000.000000,-1145032786000.000000,23764203000.000000,-103454284000.000000,10959583000.000000,-117482360000.000000,-6691000.000000,3075184000.000000,,,,,,,-103454284000.000000,21145432000.000000,-357611758000.000000,268025207000.000000,,,,,,,,245195448000.000000,-134062970000.000000,,,,-400495000.000000,21145432000.000000,-58544649000.000000,230637261000.000000,-3988794000.000000,,,168103818000.000000
12M 2020,321112150000.000000,1197035922000.000000,,,-45999368000.000000,-181008801000.000000,,-68944073000.000000,22464304000.000000,-602435834000.000000,321112150000.000000,14583898000.000000,18143902000.000000,-13465855000.000000,-2584000.000000,9908435000.000000,,,,,,,14583898000.000000,-290842905000.000000,-240529833000.000000,42933793000.000000,,,,,,,,,-8878363000.000000,,,,-84368502000.000000,-290842905000.000000,44853143000.000000,168103818000.000000,1308934000.000000,,,214265895000.000000
12M 2021,348361071000.000000,1333195783000.000000,,,-42834323000.000000,-185621160000.000000,,-71857305000.000000,25488243000.000000,-710010167000.000000,348361071000.000000,7382473000.000000,19025505000.000000,-12146311000.000000,-3186000.000000,506465000.000000,,,,,,,7382473000.000000,-412954606000.000000,-515514893000.000000,383510175000.000000,,,,,,,,,-175677775000.000000,,,,-105272113000.000000,-412954606000.000000,-57211062000.000000,214265895000.000000,188268000.000000,,,157243101000.000000
12M 2022,318563211000.000000,1309016306000.000000,,,-38817961000.000000,-193230734000.000000,,-50324040000.000000,11479917000.000000,-719560277000.000000,318563211000.000000,45094659000.000000,70309564000.000000,-20110348000.000000,-10363000.000000,-5094194000.000000,,,,,,,45094659000.000000,-219128243000.000000,-68090526000.000000,,,,,,,,,,-7265735000.000000,,,,-143771982000.000000,-219128243000.000000,144529627000.000000,157243101000.000000,3134668000.000000,,,304907396000.000000
12M 2023,247453820000.000000,1136642090000.000000,,,-50198099000.000000,-173953968000.000000,4044500000.000000,-49617412000.000000,5658061000.000000,-625121352000.000000,247453820000.000000,-42378105000.000000,92076000.000000,-8539089000.000000,,15650908000.000000,-50000000000.000000,,,418000000.000000,,,-42378105000.000000,-264636982000.000000,-66000000000.000000,,,,,,,,,,-62924000000.000000,,,-133346369000.000000,-2366613000.000000,-264636982000.000000,-59561267000.000000,304907396000.000000,-358498000.000000,,-19985008000.000000,225002623000.000000
12M 2024,267197114000.000000,1270910168000.000000,50000000000.000000,,-52725300000.000000,-187420792000.000000,6030314000.000000,-79093921000.000000,10373170000.000000,-750876525000.000000,267197114000.000000,-4197497000.000000,272830000.000000,-7720927000.000000,,,,,,3250600000.000000,,,-4197497000.000000,-169089476000.000000,-72000000000.000000,,,,,,,,,,,,,-94346778000.000000,-2742698000.000000,-169089476000.000000,93910141000.000000,225002623000.000000,130231000.000000,,,319042995000.000000
