Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2013,0.00 B,493040.36,0.00,0.00,,5.18%,19.36%,22.86%,2.67
12M 2014,0.00 B,983279.23,0.00,0.00,,9.36%,32.11%,17.00%,4.65
12M 2015,14.48 B,74.01,0.00,0.00,,7.72%,23.04%,15.24%,5.30
12M 2016,16.09 B,85.90,14.96,2.82,,8.09%,17.03%,10.10%,2.46
12M 2017,16.09 B,89.30,14.56,2.76,,8.01%,16.56%,12.97%,9.52
12M 2018,16.09 B,69.88,12.74,1.75,"2,949.42 B",5.93%,12.12%,12.13%,5.47
12M 2019,16.09 B,99.83,10.02,1.93,"3,148.31 B",8.72%,17.51%,12.91%,5.51
12M 2020,16.09 B,67.73,10.48,1.68,"2,667.16 B",5.75%,11.52%,10.41%,4.38
12M 2021,16.09 B,80.46,7.64,1.34,"2,872.20 B",6.67%,12.98%,11.27%,4.97
12M 2022,16.09 B,67.07,9.84,1.30,"2,820.97 B",5.08%,9.89%,10.19%,4.59
12M 2023,16.09 B,72.99,9.73,1.37,"2,787.47 B",5.74%,10.80%,9.52%,4.50
12M 2024,16.09 B,74.23,9.36,1.29,"2,702.46 B",5.53%,10.44%,8.76%,4.14
