Period,Total Pendapatan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Karyawan,Beban Umum Dan Administrasi,Beban Pemasaran,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Laba Dari Ventura Bersama,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,42171102043.000000,42171102043.000000,42171102043.000000,-29743699739.000000,-29743699739.000000,-29743699739.000000,12427402304.000000,-2861297522.000000,-1489696544.000000,-1254873134.000000,,-116727844.000000,-2861297522.000000,9566104782.000000,3970411957.000000,,,-400000000.000000,4168352592.000000,202059365.000000,3970411957.000000,13536516739.000000,-1534741848.000000,,,,-1534741848.000000,12001774891.000000,,,,12001774891.000000,12001774892.000000,12001624843.000000,150049.000000,12001774892.000000,12001774892.000000,12001624843.000000,150049.000000,12001774892.000000
12M 2014,554971556685.000000,554971556685.000000,554971556685.000000,-395085493053.000000,-395085493053.000000,-395085493053.000000,159886063632.000000,-21576711370.000000,-12622795039.000000,-8510971849.000000,,-442944482.000000,-21576711370.000000,138309352262.000000,-7268921545.000000,,,-12746804548.000000,1809397559.000000,3668485444.000000,-7268921545.000000,131040430717.000000,-24919865994.000000,,,,-24919865994.000000,106120564723.000000,,,,106120564723.000000,106120564723.000000,106120859740.000000,-295017.000000,106120564723.000000,106120564723.000000,106120859740.000000,-295017.000000,106120564723.000000
12M 2015,1505172315341.000000,1505172315341.000000,1505172315341.000000,-1057349699089.000000,-1057349699089.000000,-1057349699089.000000,447822616252.000000,-62322690295.000000,-29973534020.000000,-31410563524.000000,-470631562.000000,-467961189.000000,-62322690295.000000,385499925957.000000,-12762013984.000000,,,-33843840140.000000,1085676811.000000,19996149345.000000,-12762013984.000000,372737911973.000000,-72409324214.000000,-71670645964.000000,,-738678250.000000,-72409324214.000000,300328587759.000000,335332922914.000000,335332922914.000000,335332922914.000000,635661510673.000000,300328587759.000000,300325022955.000000,3564804.000000,300328587759.000000,635661510673.000000,635657945869.000000,3564804.000000,635661510673.000000
12M 2016,2150061072104.000000,2150061072104.000000,2150061072104.000000,-1564157282532.000000,-1564157282532.000000,-1564157282532.000000,585903789572.000000,-78631197540.000000,-38698331790.000000,-38345060462.000000,-269907187.000000,-1317898101.000000,-78631197540.000000,507272592032.000000,-46659910967.000000,,,-56973268553.000000,-2416242051.000000,12729599637.000000,-46659910967.000000,460612681065.000000,-95238361920.000000,-92390141420.000000,,-2848220500.000000,-95238361920.000000,365374319145.000000,-16683745.000000,-16683745.000000,-16683745.000000,365357635400.000000,365374319145.000000,365382830425.000000,-8511280.000000,365374319145.000000,365357635400.000000,365366146680.000000,-8511280.000000,365357635400.000000
12M 2017,2708881065095.000000,2708881065095.000000,2708881065095.000000,-2059293428854.000000,-2059293428854.000000,-2059293428854.000000,649587636241.000000,-85892362022.000000,-44292809388.000000,-39646553905.000000,-469245690.000000,-1483753039.000000,-85892362022.000000,563695274219.000000,-25104695967.000000,,,-64950480888.000000,6077995312.000000,33767789609.000000,-25104695967.000000,538590578252.000000,-78947741839.000000,-75281326339.000000,,-3666415500.000000,-78947741839.000000,459642836413.000000,40013151258.000000,40013151258.000000,40013151258.000000,499655987671.000000,459642836413.000000,444679955378.000000,14962881035.000000,459642836413.000000,499655987671.000000,484619731263.000000,15036256408.000000,499655987671.000000
12M 2018,2556174514577.000000,,2556174514577.000000,-1893598010855.000000,,-1893598010855.000000,662576503722.000000,-147956459324.000000,,,,,-147956459324.000000,514620044398.000000,51147829850.000000,98849505105.000000,,-63006500105.000000,3684448008.000000,11620376842.000000,51147829850.000000,565767874248.000000,-68984377428.000000,-64543621658.000000,,-4440755770.000000,-68984377428.000000,496783496820.000000,107986799557.000000,107986799557.000000,107986799557.000000,604770296377.000000,496783496821.000000,471257608301.000000,25525888520.000000,496783496821.000000,604770296377.000000,579177654944.000000,25592641433.000000,604770296377.000000
12M 2019,2510417039278.000000,,2510417039278.000000,-1929478428787.000000,,-1929478428787.000000,580938610491.000000,-76423480075.000000,,,,,-76423480075.000000,504515130416.000000,-78563897197.000000,,,-73631592000.000000,-14619741139.000000,9687435942.000000,-78563897197.000000,425951233219.000000,-65055897179.000000,-64248753018.000000,,-807144161.000000,-65055897179.000000,360895336040.000000,26866515428.000000,26866515428.000000,26866515428.000000,387761851468.000000,360895336040.000000,342695217449.000000,18200118591.000000,360895336040.000000,387761851468.000000,369357728504.000000,18404122964.000000,387761851468.000000
12M 2020,2075242421357.000000,,2075242421357.000000,-1747594089122.000000,,-1747594089122.000000,327648332235.000000,-57495202502.000000,,,,,-57495202502.000000,270153129733.000000,-109999185630.000000,,,-99785526000.000000,-11337914928.000000,1124255298.000000,-109999185630.000000,160153944103.000000,-53776886525.000000,-52621018435.000000,,-1155868090.000000,-53776886525.000000,106377057578.000000,12114997661.000000,12114997661.000000,12114997661.000000,118492055239.000000,106377057578.000000,89048789047.000000,17328268531.000000,106377057578.000000,118492055239.000000,101057707422.000000,17434347817.000000,118492055239.000000
12M 2021,862464587830.000000,,862464587830.000000,-766019821079.000000,,-766019821079.000000,96444766751.000000,-56417681215.000000,,,,,-56417681215.000000,40027085536.000000,4720313272.000000,,,-135552203283.000000,-681282407.000000,140953798962.000000,4720313272.000000,44747398808.000000,-23727500881.000000,-22021978289.000000,,-1705522592.000000,-23727500881.000000,21019897927.000000,25054231705.000000,25054231705.000000,25054231705.000000,46074129632.000000,21019897927.000000,20357606631.000000,662291296.000000,21019897927.000000,46074129632.000000,45142859788.000000,931269844.000000,46074129632.000000
12M 2022,1704677634556.000000,,1704677634556.000000,-1460964172241.000000,,-1460964172241.000000,243713462315.000000,-54506710882.000000,,,,,-54506710882.000000,189206751433.000000,-122575269862.000000,,,-121724480882.000000,383937708.000000,-1234726688.000000,-122575269862.000000,66631481571.000000,-42357066705.000000,-41321439585.000000,,-1035627120.000000,-42357066705.000000,24274414866.000000,6154881774.000000,6154881774.000000,6154881774.000000,30429296640.000000,24274414866.000000,19941728409.000000,4332686457.000000,24274414866.000000,30429296640.000000,26096621196.000000,4332675444.000000,30429296640.000000
