Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.59 B,-25.19,-4.76,0.17,,-2.67%,-12.91%,16.60%,1.03
12M 2009,0.59 B,-61.59,-1.93,0.43,,-8.61%,-46.11%,-2.52%,-0.22
12M 2010,0.59 B,0.52,178.85,0.19,,0.07%,0.23%,7.65%,1.02
12M 2011,0.59 B,2.30,57.39,0.23,,0.28%,0.97%,8.35%,1.36
12M 2012,0.59 B,26.47,9.63,0.48,,2.70%,5.55%,7.53%,1.66
12M 2013,0.70 B,18.82,9.83,0.41,,1.66%,3.25%,7.36%,1.97
12M 2014,0.70 B,16.18,12.61,0.32,,0.88%,1.65%,6.74%,1.59
12M 2015,0.70 B,9.18,13.62,0.19,,0.42%,0.89%,5.08%,1.26
12M 2016,0.70 B,-3.84,-44.27,0.32,,-0.17%,-0.39%,5.39%,1.09
12M 2017,0.70 B,-4.60,-47.83,0.44,,-0.21%,-0.48%,3.72%,0.75
12M 2018,0.70 B,9.07,19.51,0.22,95.07 B,0.39%,0.92%,7.14%,1.17
12M 2019,0.70 B,-62.23,-2.19,0.28,31.92 B,-2.63%,-6.76%,-0.32%,-0.04
12M 2020,0.70 B,-7.06,-17.28,0.28,44.65 B,-0.30%,-0.95%,0.71%,0.41
12M 2021,0.70 B,-1.01,-251.49,0.68,38.35 B,-0.04%,-0.15%,0.22%,0.09
12M 2022,0.70 B,-129.26,-1.18,1.16,12.22 B,-5.75%,-24.20%,-1.78%,-1.63
