Period,Total Pendapatan,Total Beban Pokok Penjualan,Others,Total
12M 2013,997986700079.0,-395980250495.0,-395980250495.0,
12M 2014,1101043712612.0,-464067245695.0,-464067245695.0,
12M 2015,1197727222012.0,-511193688103.0,-511193688103.0,
12M 2016,1358664085976.0,-565284016959.0,-565284016959.0,
12M 2017,1466017000000.000000,-612487000000.000000,,
12M 2018,1599757000000.000000,-656946000000.000000,,
12M 2019,1744271000000.000000,-703260000000.000000,,
12M 2020,1873375000000.000000,-827152000000.000000,,
12M 2021,2652257000000.000000,-1019556000000.000000,,
12M 2022,2181642000000.000000,-854535000000.000000,,
12M 2023,2222466000000.000000,-903247000000.000000,,
12M 2024,2252194000000.000000,-900167000000.000000,,
