Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2007,0.00,0.00,0.00,0.00,,,,,
12M 2008,4.13,194.70,4.13,194.70,2 B,,2 B,(0 B),4 B
12M 2009,4.65,173.06,4.65,173.06,3 B,2 B,5 B,4 B,5 B
12M 2010,14.66,131.32,14.66,131.32,2 B,2 B,4 B,4 B,4 B
12M 2011,22.27,86.45,22.27,86.45,1 B,3 B,4 B,(1 B),4 B
12M 2012,1.58,3171.82,1.81,2768.93,151 B,"1,346 B","1,497 B","1,414 B",(39 B)
12M 2013,0.67,3610.60,0.78,0.00,555 B,"3,880 B","4,434 B","4,108 B",(116 B)
12M 2014,0.93,580.11,1.07,506.06,"1,250 B","3,425 B","4,675 B","4,534 B","(1,369 B)"
12M 2015,1.93,708.09,2.19,625.98,"2,075 B","2,536 B","4,610 B","4,525 B","(2,274 B)"
12M 2016,1.64,149.01,1.83,133.01,"1,252 B","3,038 B","4,289 B","4,113 B","(1,242 B)"
12M 2017,1.15,155.72,1.28,139.59,"1,515 B","3,988 B","5,504 B","5,075 B",(537 B)
12M 2018,1.15,175.06,1.28,157.82,"1,713 B","3,954 B","5,667 B",(213 B),(722 B)
12M 2019,1.65,157.65,1.84,141.10,"3,497 B","3,915 B","7,411 B","7,320 B","(1,927 B)"
12M 2020,1.59,166.00,1.76,150.11,"2,503 B","5,523 B","8,026 B","6,100 B","(1,372 B)"
12M 2021,0.79,175.35,0.82,169.93,"1,650 B","3,683 B","5,332 B",(93 B),"(1,037 B)"
12M 2022,0.60,177.68,0.62,171.75,"2,503 B","2,025 B","4,528 B","4,431 B","(1,844 B)"
12M 2023,0.52,170.87,0.53,165.01,715 B,"2,376 B","3,092 B",(119 B),"(1,343 B)"
12M 2024,1.26,185.57,1.30,179.43,"1,189 B","1,026 B","2,215 B","1,838 B",(535 B)
