Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2013,11.60,290.51,11.60,290.51,,,,(4 B),7 B
12M 2014,22.96,174.18,22.96,174.18,56 B,28 B,85 B,74 B,(88 B)
12M 2015,38.17,113.02,38.17,113.02,60 B,30 B,90 B,80 B,(164 B)
12M 2016,18.55,190.81,18.55,190.81,310 B,155 B,465 B,457 B,(164 B)
12M 2017,1.20,41.79,1.20,41.79,,,,(10 B),31 B
12M 2018,1.25,39.87,1.25,39.87,,,,(12 B),15 B
12M 2019,1.30,38.48,1.30,38.48,9 B,4 B,13 B,(4 B),34 B
12M 2020,1.40,35.67,1.40,35.67,9 B,4 B,13 B,4 B,(19 B)
12M 2021,1.45,34.53,1.45,34.53,7 B,4 B,11 B,3 B,(19 B)
12M 2022,1.95,33.90,1.95,33.90,9 B,4 B,13 B,2 B,(14 B)
12M 2023,1.52,32.86,1.52,32.86,9 B,4 B,13 B,6 B,(18 B)
12M 2024,0.99,32.20,0.99,32.20,9 B,4 B,13 B,6 B,(18 B)
