Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,3.98,1735.20,3.98,1735.20,,,,"(3,042 B)","3,597 B"
12M 2009,6.97,2474.41,6.97,2474.41,14 B,,14 B,"(4,696 B)","5,402 B"
12M 2010,8.31,2763.18,8.31,2763.18,13 B,,13 B,"(5,041 B)","5,498 B"
12M 2011,4.94,3510.33,4.94,3510.33,18 B,,18 B,"(6,773 B)","6,947 B"
12M 2012,4.13,3653.92,4.13,3653.92,35 B,10 B,45 B,"(5,872 B)","6,948 B"
12M 2013,3.16,3227.85,3.16,3227.85,78 B,,78 B,"(3,266 B)","4,219 B"
12M 2014,3.37,3712.29,3.37,3712.29,"1,294 B",962 B,"2,255 B","(4,039 B)","3,843 B"
12M 2015,1.14,3981.85,1.15,3937.54,"1,352 B",670 B,"2,022 B","(1,093 B)","2,676 B"
12M 2016,2.76,4522.89,2.79,4478.59,"1,618 B",751 B,"2,369 B","(1,306 B)","3,307 B"
12M 2017,2.08,1181.19,2.10,1172.33,441 B,533 B,974 B,"(2,582 B)","6,605 B"
12M 2018,3.09,1390.13,3.24,1327.18,372 B,460 B,832 B,"(5,469 B)","6,804 B"
12M 2019,1.68,1584.83,1.74,1529.11,322 B,309 B,631 B,"(4,126 B)","6,989 B"
12M 2020,1.93,1455.07,2.00,1407.97,532 B,400 B,932 B,"(3,409 B)","4,492 B"
12M 2021,1.30,2088.39,1.34,2021.66,421 B,626 B,"1,047 B","(3,347 B)","10,711 B"
12M 2022,1.48,2491.62,1.53,2411.99,592 B,771 B,"1,362 B","(5,668 B)","13,730 B"
12M 2023,1.31,1860.53,1.39,1755.62,558 B,744 B,"1,302 B","(2,837 B)","5,180 B"
12M 2024,1.41,1953.47,1.49,1844.21,"1,883 B",368 B,"2,251 B","(1,882 B)","3,259 B"
