Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,3.66,3.35,0.0,1.53,0.0,0.0,-0.76,0.0,0.51
12M 2009,4.91,4.62,0.0,1.42,0.0,0.0,-0.82,0.0,0.4
12M 2010,5.79,5.42,0.0,1.37,0.0,0.0,-0.79,0.0,0.36
12M 2011,4.63,4.3,0.0,1.42,0.0,0.0,-0.84,0.0,0.41
12M 2012,4.92,4.49,0.01,1.51,0.0,0.0,-0.7,0.0,0.5
12M 2013,2.87,2.47,0.01,1.57,0.0,0.0,-0.44,0.01,0.55
12M 2014,2.08,1.79,0.26,1.73,0.0,0.0,-0.21,0.15,0.72
12M 2015,1.54,1.29,0.22,1.84,0.0,0.0,-0.12,0.12,0.83
12M 2016,1.66,1.44,0.23,1.78,0.0,0.0,-0.13,0.13,0.77
12M 2017,2.46,2.21,0.07,1.62,0.0,0.0,-0.19,0.04,0.6
12M 2018,2.38,2.06,0.05,1.51,0.0,0.0,-0.34,0.03,0.49
12M 2019,2.49,2.19,0.03,1.43,0.0,0.0,-0.23,0.02,0.42
12M 2020,2.16,1.95,0.06,1.44,0.0,0.0,-0.2,0.04,0.42
12M 2021,2.43,2.27,0.04,1.5,0.0,0.0,-0.14,0.03,0.49
12M 2022,2.28,1.92,0.05,1.58,0.0,0.0,-0.2,0.03,0.57
12M 2023,1.52,0.97,0.06,1.81,0.0,0.0,-0.13,0.03,0.8
12M 2024,1.27,0.87,0.1,1.86,0.0,0.0,-0.08,0.05,0.85
