Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,2.30 B,744.15,9.27,2.20,,28.08%,42.89%,104.93%,
12M 2009,2.30 B,1184.54,14.56,4.44,,33.78%,47.87%,61.97%,
12M 2010,2.30 B,867.54,26.45,6.69,,22.92%,31.40%,32.29%,
12M 2011,2.30 B,1339.26,12.95,3.78,,26.82%,38.15%,42.69%,
12M 2012,2.30 B,1258.66,12.00,3.00,,22.78%,34.45%,34.97%,985.60
12M 2013,2.30 B,792.55,12.87,2.10,,15.64%,24.55%,21.13%,345.84
12M 2014,2.30 B,875.02,14.29,2.20,,13.61%,23.57%,22.37%,47.44
12M 2015,2.30 B,883.59,5.12,0.76,,12.05%,22.19%,20.81%,15.35
12M 2016,2.30 B,870.69,14.36,2.05,,10.80%,19.25%,19.85%,17.00
12M 2017,11.52 B,388.56,6.33,1.46,,20.36%,32.90%,38.04%,56.94
12M 2018,11.52 B,436.08,9.86,2.34,"7,000.82 B",20.78%,31.37%,34.23%,60.68
12M 2019,11.52 B,352.14,7.55,1.41,"5,797.89 B",15.54%,22.22%,24.67%,39.28
12M 2020,11.52 B,207.18,13.56,1.87,"3,551.40 B",9.92%,14.24%,12.12%,19.02
12M 2021,11.52 B,686.52,3.95,1.07,"11,069.91 B",21.89%,32.87%,40.81%,62.86
12M 2022,11.52 B,1090.87,3.38,1.00,"16,687.41 B",27.71%,43.78%,47.87%,75.65
12M 2023,11.52 B,529.99,4.60,0.73,"9,034.26 B",15.75%,28.49%,22.70%,35.30
12M 2024,11.52 B,443.01,6.21,0.74,"7,441.57 B",12.21%,22.68%,19.29%,19.92
