Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Adjustment,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Beban Akrual,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Utang Dari Pihak Berelasi,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Dari Pihak Berelasi,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2010,,,6566060.000000,4679172.000000,,,4679172.000000,317717.000000,317717.000000,,317717.000000,290126.000000,,6219046.000000,18072121.000000,,35870649.000000,,,,,,504922.000000,1125055.000000,37500626.000000,55572747.000000,,,,13486161.000000,2224806.000000,8004357.000000,,,,,634434.000000,,634434.000000,,,,2440456.000000,2440456.000000,182108.000000,13486161.000000,10825890.000000,,10409657.000000,10409657.000000,,,,,,416233.000000,10825890.000000,24312051.000000,,5910000.000000,,13351050.000000,210000.000000,13141050.000000,13351050.000000,,11999646.000000,31260696.000000,55572747.000000,550165300.000000
12M 2011,,,5738373.000000,4708478.000000,,,4708478.000000,121992.000000,121992.000000,,121992.000000,788454.000000,,6163585.000000,17520882.000000,,41990710.000000,,,,,324280.000000,431183.000000,,42746173.000000,60267055.000000,,,,8775517.000000,2393762.000000,2137304.000000,,,,,244451.000000,,244451.000000,,,,4000000.000000,4000000.000000,,8775517.000000,9064349.000000,,8543333.000000,8543333.000000,,,,,,521016.000000,9064349.000000,17839866.000000,,7081921.000000,9305850.000000,15498534.000000,310000.000000,15188534.000000,15498534.000000,3855.000000,10537029.000000,42427189.000000,60267055.000000,550165300.000000
12M 2012,,,2939980.000000,6508016.000000,,,6508016.000000,5854.000000,5854.000000,,5854.000000,669370.000000,,9338528.000000,19461748.000000,,56521269.000000,,1031457.000000,1031457.000000,1031457.000000,324280.000000,437351.000000,433232.000000,58747589.000000,78209337.000000,,,,15073893.000000,2603633.000000,3889254.000000,,,,,,487079.000000,487079.000000,,,,8093927.000000,8093927.000000,,15073893.000000,16731951.000000,,16177287.000000,16177287.000000,,,,,,554664.000000,16731951.000000,31805844.000000,,7081921.000000,9305850.000000,19366978.000000,310000.000000,19056978.000000,19366978.000000,2584.000000,10646160.000000,46403493.000000,78209337.000000,550165300.000000
12M 2013,,,3373246.000000,3508457.000000,,,3508457.000000,94819.000000,94819.000000,,94819.000000,633276.000000,,6042811.000000,13652609.000000,,60456527.000000,,853495.000000,853495.000000,853495.000000,324280.000000,349422.000000,201106.000000,62184830.000000,75837439.000000,,,,21755628.000000,1644798.000000,2185842.000000,,,,,,348672.000000,348672.000000,,,,17576316.000000,17576316.000000,,21755628.000000,5041928.000000,,4497268.000000,4497268.000000,,,,,,544660.000000,5041928.000000,26797556.000000,,7081921.000000,9305850.000000,22688230.000000,310000.000000,22378230.000000,22688230.000000,2844.000000,9961038.000000,49039883.000000,75837439.000000,550165300.000000
12M 2014,,,401462.000000,2291430.000000,,,2291430.000000,50480.000000,50480.000000,,50480.000000,457956.000000,,6277561.000000,9478889.000000,,56095190.000000,,921582.000000,921582.000000,921582.000000,324280.000000,364057.000000,459394.000000,58164503.000000,67643392.000000,,,,15788063.000000,2479390.000000,1766332.000000,,1788897.000000,428156.000000,2217053.000000,,509528.000000,509528.000000,,,,8753324.000000,8753324.000000,62436.000000,15788063.000000,8836863.000000,,8280342.000000,8280342.000000,,,,,,556521.000000,8836863.000000,24624926.000000,,7081921.000000,9305850.000000,18254240.000000,310000.000000,17944240.000000,18254240.000000,2409.000000,8374045.000000,43018465.000000,67643391.000000,550165300.000000
12M 2015,,,274551.000000,3490233.000000,2875960.000000,614273.000000,3490233.000000,62283.000000,62283.000000,,62283.000000,127843.000000,,1541135.000000,5496045.000000,,51777970.000000,,501248.000000,501248.000000,501248.000000,324280.000000,291712.000000,597131.000000,53492341.000000,58988386.000000,,,,17710130.000000,2225287.000000,1825523.000000,,941179.000000,1506038.000000,2447217.000000,,550893.000000,550893.000000,5000000.000000,,,5661210.000000,5661210.000000,,17710130.000000,11022499.000000,,10529657.000000,10529657.000000,,,,,,492842.000000,11022499.000000,28732629.000000,,7081921.000000,9305850.000000,6260397.000000,310000.000000,5950397.000000,6260397.000000,2309.000000,7605280.000000,30255757.000000,58988386.000000,550165300.000000
12M 2016,,,525995.000000,3103086.000000,2393754.000000,709332.000000,3103086.000000,72615.000000,72615.000000,,72615.000000,204553.000000,,1547280.000000,5453529.000000,,37567978.000000,,283994.000000,283994.000000,283994.000000,324280.000000,348457.000000,400000.000000,38924709.000000,44378238.000000,,,,19925638.000000,1490090.000000,1928192.000000,,973255.000000,,973255.000000,,376728.000000,376728.000000,,,,15157373.000000,15157373.000000,,19925638.000000,7792627.000000,,,,2271038.000000,,5000000.000000,,5000000.000000,521589.000000,7792627.000000,27718265.000000,,7081921.000000,9305850.000000,269832.000000,310000.000000,-40168.000000,269832.000000,2370.000000,,16659973.000000,44378238.000000,550165300.000000
12M 2017,,,437955.000000,1194596.000000,1194596.000000,,1194596.000000,88136.000000,88136.000000,,88136.000000,106052.000000,,2077204.000000,3903943.000000,,34976224.000000,,188311.000000,188311.000000,188311.000000,324280.000000,145315.000000,400000.000000,36034130.000000,39938073.000000,,,,7876891.000000,964562.000000,1356352.000000,,788579.000000,,788579.000000,,3471.000000,3471.000000,,,,4763927.000000,4763927.000000,,7876891.000000,15805493.000000,,6182970.000000,6182970.000000,4071706.000000,,5000000.000000,,5000000.000000,550817.000000,15805493.000000,23682384.000000,,7081921.000000,9357214.000000,-1807377.000000,310000.000000,-2117377.000000,-1807377.000000,2364.000000,1621567.000000,16255689.000000,39938073.000000,550165300.000000
12M 2018,,,589671.000000,1354679.000000,1354679.000000,,1354679.000000,104986.000000,104986.000000,,104986.000000,206948.000000,,2072603.000000,4328887.000000,,32568633.000000,,212545.000000,212545.000000,212545.000000,324280.000000,80102.000000,400000.000000,33585560.000000,37914447.000000,,,,5951747.000000,869130.000000,994883.000000,,,33209.000000,33209.000000,,4104.000000,4104.000000,,,,4050421.000000,4050421.000000,,5951747.000000,15551480.000000,,3702363.000000,3702363.000000,6351706.000000,,5000000.000000,,5000000.000000,497411.000000,15551480.000000,21503227.000000,,7081921.000000,9357214.000000,-1652045.000000,310000.000000,-1962045.000000,-1652045.000000,2563.000000,1621567.000000,16411220.000000,37914447.000000,550165300.000000
12M 2019,,,589360.000000,2152984.000000,2152984.000000,,2152984.000000,869373.000000,869373.000000,,869373.000000,139267.000000,,1564410.000000,5315394.000000,,30206184.000000,,184136.000000,184136.000000,184136.000000,324280.000000,41684.000000,43252.000000,30799536.000000,36114930.000000,,,,5516652.000000,916570.000000,735168.000000,,,33209.000000,33209.000000,,29136.000000,29136.000000,,,,3802569.000000,3802569.000000,,5516652.000000,13979697.000000,,,,8391706.000000,,5000000.000000,,5000000.000000,587991.000000,13979697.000000,19496349.000000,,7081921.000000,9357214.000000,-1444890.000000,310000.000000,-1754890.000000,-1444890.000000,2769.000000,1621567.000000,16618581.000000,36114930.000000,550165300.000000
12M 2020,,,314404.000000,3328000.000000,3328000.000000,,3328000.000000,1594743.000000,1594743.000000,,1594743.000000,132175.000000,,1419834.000000,6789156.000000,,27819190.000000,,182044.000000,182044.000000,182044.000000,324280.000000,37898.000000,188662.000000,28552074.000000,35341230.000000,,,,2586545.000000,755807.000000,235631.000000,,125503.000000,,125503.000000,13354.000000,,13354.000000,,1456250.000000,,,,,2586545.000000,16115760.000000,,,,10484899.000000,,5000000.000000,,5000000.000000,630861.000000,16115760.000000,18702305.000000,,7081921.000000,9357214.000000,-1424722.000000,310000.000000,-1734722.000000,-1424722.000000,2945.000000,1621567.000000,16638925.000000,35341230.000000,550165300.000000
12M 2021,,,1131630.000000,1833846.000000,1833846.000000,,1833846.000000,2997203.000000,2997203.000000,,2997203.000000,229272.000000,,2033827.000000,8225778.000000,,27944755.000000,,188369.000000,188369.000000,188369.000000,324280.000000,108095.000000,63643.000000,28629142.000000,36854920.000000,,,,2292700.000000,1026427.000000,307085.000000,,322965.000000,,322965.000000,21509.000000,,21509.000000,,614714.000000,,,,,2292700.000000,17741345.000000,,,,12230687.000000,,4950000.000000,,4950000.000000,560658.000000,17741345.000000,20034045.000000,,7081921.000000,9357214.000000,-1249493.000000,310000.000000,-1559493.000000,-1249493.000000,9666.000000,1621567.000000,16820875.000000,36854920.000000,550165300.000000
12M 2022,,,891336.000000,5318127.000000,5318127.000000,,5318127.000000,958472.000000,958472.000000,,958472.000000,145245.000000,,2136642.000000,9449822.000000,,31186533.000000,457021.000000,112622.000000,112622.000000,112622.000000,324280.000000,40936.000000,132365.000000,32253757.000000,41703579.000000,,,,2128909.000000,590415.000000,248707.000000,,913920.000000,,913920.000000,5155.000000,,5155.000000,,370712.000000,,,,,2128909.000000,20016875.000000,,,,4820000.000000,,14760041.000000,48421.000000,14808462.000000,388413.000000,20016875.000000,22145784.000000,,7081921.000000,9357214.000000,-620380.000000,310000.000000,-930380.000000,-620380.000000,17287.000000,3721753.000000,19557795.000000,41703579.000000,550165300.000000
12M 2023,,,2399712.000000,5326895.000000,5326895.000000,,5326895.000000,42637.000000,42637.000000,,42637.000000,764216.000000,,2631508.000000,11164968.000000,,24895196.000000,457021.000000,111099.000000,111099.000000,111099.000000,324280.000000,709745.000000,84879.000000,26582220.000000,37747188.000000,,,,3640233.000000,825561.000000,130178.000000,,1610337.000000,,1610337.000000,1074157.000000,,1074157.000000,,,,,,,3640233.000000,13446681.000000,,,,,,12340426.000000,811776.000000,13152202.000000,294479.000000,13446681.000000,17086914.000000,,7081921.000000,9357214.000000,1375729.000000,310000.000000,1065729.000000,1375729.000000,6869.000000,2838541.000000,20660274.000000,37747188.000000,550165300.000000
12M 2024,,,492666.000000,4888606.000000,826084.000000,4062522.000000,4888606.000000,2387400.000000,2614.000000,2384786.000000,2387400.000000,438316.000000,,1436693.000000,9643681.000000,,21747241.000000,457021.000000,95202.000000,95202.000000,95202.000000,324280.000000,491491.000000,125417.000000,23240652.000000,32884333.000000,,,,3000233.000000,479224.000000,59252.000000,,1282089.000000,,1282089.000000,1179668.000000,,1179668.000000,,,,,,,3000233.000000,9065369.000000,,,,,,8600000.000000,210647.000000,8810647.000000,254722.000000,9065369.000000,12065602.000000,,7081921.000000,9357214.000000,1520820.000000,310000.000000,1210820.000000,1520820.000000,6313.000000,2852463.000000,20818731.000000,32884333.000000,550165300.000000
