Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2010,42360086.000000,-31583223.000000,10776863.000000,-5770112.000000,-113866.000000,-5656246.000000,-5770112.000000,5006751.000000,529636.000000,32884.000000,-12044.000000,157263.000000,,351533.000000,529636.000000,5536387.000000,-1186968.000000,4349419.000000,,4349419.000000,4349419.000000,4349419.000000,,,4349419.000000,4349419.000000,4349419.000000,,,4349419.000000
12M 2011,42390161.000000,-34004945.000000,8385216.000000,-3880338.000000,-156513.000000,-3723825.000000,-3880338.000000,4504878.000000,-240116.000000,94746.000000,-688535.000000,-113733.000000,,467406.000000,-240116.000000,4264762.000000,-910042.000000,3354720.000000,-168228.000000,3186492.000000,3354720.000000,3353433.000000,1287.000000,,3354720.000000,3186492.000000,3184867.000000,1625.000000,,3186492.000000
12M 2012,44931691.000000,-34458878.000000,10472813.000000,-5102277.000000,-461197.000000,-4641080.000000,-5102277.000000,5370536.000000,-536001.000000,49428.000000,-705253.000000,,,119824.000000,-536001.000000,4834535.000000,-751873.000000,4082662.000000,505716.000000,4588378.000000,4082662.000000,4082295.000000,367.000000,,4082662.000000,4588378.000000,4588011.000000,367.000000,,4588378.000000
12M 2013,36484328.000000,-25386844.000000,11097484.000000,-5431116.000000,-123935.000000,-5307181.000000,-5431116.000000,5666368.000000,-1401223.000000,17976.000000,-1299010.000000,,,-120189.000000,-1401223.000000,4265145.000000,-827361.000000,3437784.000000,,3437784.000000,3437784.000000,3437524.000000,260.000000,,3437784.000000,3437784.000000,3437524.000000,260.000000,,3437784.000000
12M 2014,30814374.000000,-28380933.000000,2433441.000000,-5465112.000000,-405681.000000,-5059431.000000,-5465112.000000,-3031671.000000,-1622047.000000,17448.000000,-1617426.000000,,,-22069.000000,-1622047.000000,-4653718.000000,-817447.000000,-5471165.000000,-173879.000000,-5645044.000000,-5471165.000000,-5470730.000000,-435.000000,,-5471165.000000,-5645044.000000,-5644609.000000,-435.000000,,-5645044.000000
12M 2015,6753296.000000,-12160076.000000,-5406780.000000,-4699589.000000,-130167.000000,-4569422.000000,-4699589.000000,-10106369.000000,-2724916.000000,11480.000000,-1467798.000000,,,-1268598.000000,-2724916.000000,-12831285.000000,-37113.000000,-12868398.000000,105690.000000,-12762708.000000,-12868398.000000,-12868298.000000,-100.000000,,-12868398.000000,-12762708.000000,-12762608.000000,-100.000000,,-12762708.000000
12M 2016,10469013.000000,-10368252.000000,100761.000000,-4137496.000000,-482672.000000,-3654824.000000,-4137496.000000,-4036735.000000,-3302839.000000,3327.000000,-1445935.000000,,,-1860231.000000,-3302839.000000,-7339574.000000,-9199.000000,-7348773.000000,-6247011.000000,-13595784.000000,-7348773.000000,-7348834.000000,61.000000,,-7348773.000000,-13595784.000000,-13595845.000000,61.000000,,-13595784.000000
12M 2017,10983367.000000,-7885153.000000,3098214.000000,-3296251.000000,-478722.000000,-2817529.000000,-3296251.000000,-198037.000000,-1720833.000000,1096.000000,-1088355.000000,,,-633574.000000,-1720833.000000,-1918870.000000,-191943.000000,-2110813.000000,1655165.000000,-455648.000000,-2110813.000000,-2110807.000000,-6.000000,,-2110813.000000,-455648.000000,-455642.000000,-6.000000,,-455648.000000
12M 2018,12195126.000000,-7467420.000000,4727706.000000,-3160406.000000,-517977.000000,-2642429.000000,-3160406.000000,1567300.000000,-1394792.000000,4201.000000,-1062666.000000,,,-336327.000000,-1394792.000000,172508.000000,-53154.000000,119354.000000,36177.000000,155531.000000,119354.000000,119155.000000,199.000000,,119354.000000,155531.000000,155332.000000,199.000000,,155531.000000
12M 2019,13084288.000000,-8471776.000000,4612512.000000,-3294431.000000,-735590.000000,-2558841.000000,-3294431.000000,1318081.000000,-1047607.000000,8692.000000,-589016.000000,,,-467283.000000,-1047607.000000,270474.000000,-50241.000000,220233.000000,-12872.000000,207361.000000,220233.000000,220027.000000,206.000000,,220233.000000,207361.000000,207155.000000,206.000000,,207361.000000
12M 2020,12237363.000000,-8414810.000000,3822553.000000,-3201705.000000,-665215.000000,-2536490.000000,-3201705.000000,620848.000000,-604108.000000,1544.000000,-374388.000000,,,-231264.000000,-604108.000000,16740.000000,-12752.000000,3988.000000,16356.000000,20344.000000,3988.000000,3812.000000,176.000000,,3988.000000,20344.000000,20168.000000,176.000000,,20344.000000
12M 2021,12604643.000000,-8771325.000000,3833318.000000,-3281192.000000,-730566.000000,-2550626.000000,-3281192.000000,552126.000000,-509870.000000,4963.000000,-335320.000000,,,-179513.000000,-509870.000000,42256.000000,81629.000000,123885.000000,58065.000000,181950.000000,123885.000000,117164.000000,6721.000000,,123885.000000,181950.000000,175229.000000,6721.000000,,181950.000000
