Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.00,1931.26,0.00,1931.26,702 B,100 B,802 B,616 B,550 B
12M 2009,0.00,144.08,0.00,144.08,655 B,394 B,"1,049 B",603 B,919 B
12M 2010,3.73,260.58,3.73,260.58,"1,007 B",169 B,"1,176 B",216 B,"1,501 B"
12M 2011,2.00,294.36,2.00,294.36,"1,243 B",150 B,"1,393 B",87 B,"1,541 B"
12M 2012,2.95,341.95,2.95,341.95,"1,266 B",530 B,"1,796 B",492 B,"2,157 B"
12M 2013,3.45,409.67,3.45,409.67,"1,367 B",813 B,"2,179 B",(218 B),"3,126 B"
12M 2014,8.82,493.39,8.82,493.39,902 B,"1,455 B","2,357 B",(51 B),"3,707 B"
12M 2015,5.21,904.89,5.21,904.66,"1,363 B","1,913 B","3,276 B",251 B,"4,316 B"
12M 2016,2.41,1580.00,2.42,1573.05,"3,146 B","3,048 B","6,194 B","(2,931 B)","8,465 B"
12M 2017,1.43,1847.40,1.47,1796.20,"3,353 B","5,144 B","8,497 B",(886 B),"9,208 B"
12M 2018,0.88,2059.03,0.90,2002.07,"4,430 B","7,903 B","12,334 B","3,686 B","11,012 B"
12M 2019,0.73,2166.88,0.77,2069.60,"6,653 B","9,800 B","16,453 B","7,348 B","11,214 B"
12M 2020,1.09,1713.62,1.35,1382.81,"6,329 B","10,017 B","16,346 B","8,834 B","5,938 B"
12M 2021,0.57,1750.55,0.85,1160.23,"11,001 B","7,747 B","18,747 B","12,144 B","3,586 B"
12M 2022,0.40,1799.03,0.79,908.39,"7,525 B","11,227 B","18,752 B","13,311 B","5,628 B"
12M 2023,0.23,1890.72,0.47,902.07,"7,180 B","10,971 B","18,151 B","13,974 B","3,746 B"
12M 2024,0.17,1955.09,0.35,969.35,"6,120 B","14,206 B","20,325 B","16,140 B","6,520 B"
