Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(240 B),(7 B),(247 B),-1124.15
12M 2009,24 B,(62 B),(38 B),-9.92
12M 2010,67 B,(22 B),45 B,9.33
12M 2011,146 B,(12 B),134 B,27.73
12M 2012,196 B,(105 B),91 B,18.84
12M 2013,651 B,(211 B),440 B,90.77
12M 2014,282 B,(161 B),122 B,25.14
12M 2015,503 B,(277 B),226 B,46.61
12M 2016,987 B,(710 B),276 B,44.58
12M 2017,"1,463 B","(1,535 B)",(72 B),-11.59
12M 2018,716 B,"(1,282 B)",(566 B),-91.30
12M 2019,300 B,"(1,150 B)",(850 B),-137.05
12M 2020,(269 B),"(1,716 B)","(1,985 B)",-320.09
12M 2021,469 B,"(1,442 B)",(974 B),-157.06
12M 2022,268 B,"(1,967 B)","(1,698 B)",-273.90
12M 2023,436 B,"(1,843 B)","(1,407 B)",-226.86
12M 2024,286 B,"(2,105 B)","(1,820 B)",-293.53
