Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.22 B,552.77,0.00,0.00,,4.37%,28.62%,78.55%,
12M 2009,3.80 B,42.92,0.00,0.00,,3.96%,29.79%,41.06%,
12M 2010,4.84 B,41.64,23.37,1.07,,3.70%,15.98%,27.77%,
12M 2011,4.84 B,49.61,11.89,0.46,,3.46%,16.85%,36.87%,3.67
12M 2012,4.84 B,63.95,15.79,0.61,,3.62%,18.70%,32.64%,3.33
12M 2013,4.84 B,86.88,16.25,0.59,,3.39%,21.21%,34.86%,4.02
12M 2014,4.84 B,109.85,39.60,1.70,,3.64%,22.26%,29.88%,3.77
12M 2015,4.84 B,152.88,30.83,1.61,,3.87%,16.90%,24.98%,4.28
12M 2016,6.20 B,165.06,23.08,1.44,,3.28%,10.45%,16.84%,4.82
12M 2017,6.20 B,234.38,11.26,0.76,,3.48%,12.69%,13.86%,3.87
12M 2018,6.20 B,242.26,7.45,0.45,"3,259.01 B",2.86%,11.77%,11.16%,3.46
12M 2019,6.20 B,150.05,10.56,0.40,"3,215.19 B",1.57%,6.92%,9.71%,3.40
12M 2020,6.20 B,20.77,89.79,0.73,"2,109.60 B",0.24%,1.21%,5.87%,1.78
12M 2021,6.20 B,42.90,23.08,0.37,"2,126.10 B",0.48%,2.45%,6.09%,1.15
12M 2022,6.20 B,43.82,16.32,0.23,"2,612.99 B",0.47%,2.44%,7.03%,1.58
12M 2023,6.20 B,77.64,5.51,0.14,"2,258.80 B",0.85%,4.11%,5.43%,1.36
12M 2024,6.20 B,67.04,5.01,0.11,"2,593.31 B",0.73%,3.43%,5.70%,0.96
