Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kepada Komisaris, Direksi Dan Karyawan",Pembayaran Kepada Pemasok Dan Lainnya,Penerimaan Penghasilan Keuangan,Penerimaan Restitusi Pajak Pengliasilan Badan,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penerimaan Hasil Likuidasi Investasi Pada Entitas Anak,Penambahan Properti Investasi,Pencairan Deposito Berjangka,Penempatan Pada Deposito Berjangka,Penambahan Beban Ditangguhkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Hutang Bank,Perolehan Hutang Bank,Pembayaran Bunga Dan Provisi Bank,Setoran Modal Saham Entitas Anak Oleh Kepentingan Nonpengendali,Pelepasan (Perolehan) Saham Treasuri,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pengaruh Divestasi Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,6078685.000000,240616027.000000,-14902813.000000,-219730663.000000,,96134.000000,,6078685.000000,-7922148.000000,-8108912.000000,287473.000000,,,,,-100709.000000,-7922148.000000,-51982.000000,,,-51982.000000,,,,,-51982.000000,-1895445.000000,2626846.000000,,,731401.000000
12M 2012,9577823.000000,232967617.000000,-16110217.000000,-207252262.000000,,13685.000000,-41000.000000,9577823.000000,-2195333.000000,-2104221.000000,34653.000000,,,,,-125765.000000,-2195333.000000,-41481.000000,-6906995.000000,6906995.000000,-41481.000000,,,,,-41481.000000,7341009.000000,731401.000000,,,8072410.000000
12M 2013,6287934.000000,222921287.000000,-15951597.000000,-200657955.000000,,,-23801.000000,6287934.000000,-8121843.000000,-1211806.000000,69965.000000,,,,-6950000.000000,-30002.000000,-8121843.000000,-3649542.000000,-6210000.000000,6210000.000000,-34903.000000,,-3515438.000000,,-99201.000000,-3649542.000000,-5483451.000000,8072410.000000,,,2588959.000000
12M 2014,3747033.000000,123526351.000000,-9491051.000000,-110108783.000000,,,-179484.000000,3747033.000000,-5702980.000000,-1246746.000000,593766.000000,,,,-5050000.000000,,-5702980.000000,-14063.000000,-5800000.000000,5800000.000000,-14083.000000,20.000000,,,,-14063.000000,-1970010.000000,2588959.000000,,,618949.000000
12M 2015,1954869.000000,88752724.000000,-8544469.000000,-78212064.000000,,,-41322.000000,1954869.000000,-1122918.000000,-7896475.000000,273557.000000,,,10900000.000000,-4400000.000000,,-1122918.000000,-13567.000000,-4600000.000000,4600000.000000,-13567.000000,,,,,-13567.000000,818384.000000,618949.000000,,,1437333.000000
12M 2016,8620237.000000,79440449.000000,-9318939.000000,-60789819.000000,,30458.000000,-741912.000000,8620237.000000,-8257316.000000,-5372950.000000,15634.000000,,,1100000.000000,-4000000.000000,,-8257316.000000,-7992.000000,-1500000.000000,1500000.000000,-12600.000000,4608.000000,,,,-7992.000000,354929.000000,1437333.000000,,,1792262.000000
12M 2017,6909149.000000,87736634.000000,-13141228.000000,-66611947.000000,,,-1074310.000000,6909149.000000,-7057326.000000,-12699720.000000,242394.000000,,,5400000.000000,,,-7057326.000000,-12400.000000,-1200000.000000,1200000.000000,-12400.000000,,,,,-12400.000000,-160577.000000,1792262.000000,,,1631685.000000
12M 2018,15459560.000000,291910610.000000,-24507964.000000,-250244628.000000,,,-1698458.000000,15459560.000000,-24750214.000000,-28018605.000000,268391.000000,,,3000000.000000,,,-24750214.000000,16015160.000000,-2800000.000000,12687800.000000,-386672.000000,,6514032.000000,,,16015160.000000,6724506.000000,1631685.000000,,-65076.000000,8291115.000000
12M 2019,575907.000000,400203149.000000,-24973077.000000,-371349247.000000,19654.000000,,-3324572.000000,575907.000000,-23826629.000000,-24351314.000000,524685.000000,,,,,,-23826629.000000,16868592.000000,-5107184.000000,23550594.000000,-1574818.000000,,,,,16868592.000000,-6382130.000000,8291115.000000,,12645.000000,1921630.000000
12M 2020,11645603.000000,159802374.000000,-29108250.000000,-117158341.000000,76665.000000,,-1966845.000000,11645603.000000,-7539607.000000,-8902424.000000,1362817.000000,,,,,,-7539607.000000,1968363.000000,-10558665.000000,6631893.000000,-1764520.000000,,7662881.000000,-3226.000000,,1968363.000000,6074359.000000,1921630.000000,,-59102.000000,7936887.000000
12M 2021,23869326.000000,144124341.000000,-34665436.000000,-84050616.000000,22745.000000,,-1561708.000000,23869326.000000,-22523675.000000,-22264809.000000,80465.000000,,-339331.000000,,,,-22523675.000000,2698694.000000,-20403243.000000,24625460.000000,-1519115.000000,,,-4408.000000,,2698694.000000,4044345.000000,7936887.000000,,-53993.000000,11927239.000000
12M 2022,17659754.000000,159050419.000000,-29374066.000000,-109196539.000000,288528.000000,,-3108588.000000,17659754.000000,-9135488.000000,-5777656.000000,9624.000000,,,-3367456.000000,,,-9135488.000000,-6535829.000000,-17587611.000000,12400000.000000,-1332673.000000,,,-15545.000000,,-6535829.000000,1988437.000000,11927239.000000,,-125303.000000,13790373.000000
12M 2023,29897157.000000,129826917.000000,-26468013.000000,-70315883.000000,398469.000000,,-3544333.000000,29897157.000000,-21017036.000000,-13940164.000000,44210.000000,,,-7121082.000000,,,-21017036.000000,-3257408.000000,-23453149.000000,23555000.000000,-1387301.000000,,,-5651.000000,-1966307.000000,-3257408.000000,5622713.000000,13790373.000000,,-796308.000000,18616778.000000
12M 2024,23212214.000000,121742346.000000,-26681247.000000,-70101689.000000,1017053.000000,,-2764249.000000,23212214.000000,-10204920.000000,-17307841.000000,146791.000000,264851.000000,,10259001.000000,-3567722.000000,,-10204920.000000,-7701430.000000,-30092982.000000,26000000.000000,-1376424.000000,,,,-2232024.000000,-7701430.000000,5305864.000000,18616778.000000,-275056.000000,-736200.000000,22911386.000000
