Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Final,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,453811684000.000000,-226556958000.000000,227254726000.000000,-65065283000.000000,-26110286000.000000,-38954997000.000000,-65065283000.000000,162189443000.000000,-128467126000.000000,-82467058000.000000,,25934121000.000000,-282920000.000000,-91679981000.000000,,20028712000.000000,-128467126000.000000,33722317000.000000,-39572980000.000000,,,-39572980000.000000,-5850663000.000000,-3618734000.000000,-9469397000.000000,,,,,-9469397000.000000,-5850663000.000000,-3618734000.000000,-9469397000.000000,,,,
12M 2009,697388204000.000000,-434072903000.000000,263315301000.000000,-58384562000.000000,-25058868000.000000,-33325694000.000000,-58384562000.000000,204930739000.000000,-1825157000.000000,-103716117000.000000,,21889428000.000000,158547000.000000,79840466000.000000,,2519000.000000,-1825157000.000000,203105582000.000000,-47439183000.000000,,,-47439183000.000000,155666399000.000000,-9044274000.000000,146622125000.000000,,,,,146622125000.000000,155666399000.000000,-9044274000.000000,146622125000.000000,,,,
12M 2010,1228007783000.000000,-663998092000.000000,564009691000.000000,-95138157000.000000,-41518158000.000000,-53619999000.000000,-95138157000.000000,468871534000.000000,-83319342000.000000,-126153730000.000000,,24365749000.000000,469608000.000000,18461475000.000000,,-462444000.000000,-83319342000.000000,385552192000.000000,-67822478000.000000,,,-67822478000.000000,317729714000.000000,-44169186000.000000,273560528000.000000,,,,,273560528000.000000,317729714000.000000,-44169186000.000000,273560528000.000000,,,,
12M 2011,1478104635000.000000,-743405041000.000000,734699594000.000000,-110561581000.000000,-43669236000.000000,-66892345000.000000,-110561581000.000000,624138013000.000000,-154267465000.000000,-171431279000.000000,,24468612000.000000,,-6738451000.000000,640572000.000000,-1206919000.000000,-154267465000.000000,469870548000.000000,-91339101000.000000,,,-91339101000.000000,378531447000.000000,,378531447000.000000,,,,378531447000.000000,378531447000.000000,346859007000.000000,31672440000.000000,378531447000.000000,378531447000.000000,346859007000.000000,31672440000.000000,378531447000.000000
12M 2012,2165396882000.000000,-931477349000.000000,1233919533000.000000,-171595829000.000000,-78512313000.000000,-93083516000.000000,-171595829000.000000,1062323704000.000000,-161218870000.000000,-180300771000.000000,,48811121000.000000,,-34924413000.000000,487879000.000000,4707314000.000000,-161218870000.000000,901104834000.000000,-134608929000.000000,,,-134608929000.000000,766495905000.000000,,766495905000.000000,,,,766495905000.000000,766495905000.000000,747988749000.000000,18507156000.000000,766495905000.000000,766495905000.000000,747988749000.000000,18507156000.000000,766495905000.000000
12M 2013,3029797151000.000000,-1264878581000.000000,1764918570000.000000,-253021383000.000000,-122504680000.000000,-130516703000.000000,-253021383000.000000,1511897187000.000000,-180705471000.000000,-188579651000.000000,,115394472000.000000,,-101724497000.000000,-10184574000.000000,4388779000.000000,-180705471000.000000,1331191716000.000000,-194644175000.000000,,,-194644175000.000000,1136547541000.000000,,1136547541000.000000,-2000.000000,,-2000.000000,1136547539000.000000,1136547541000.000000,1132820105000.000000,3727436000.000000,1136547541000.000000,1136547541000.000000,1132820105000.000000,3727436000.000000,1136547541000.000000
12M 2014,3872272942000.000000,-1714247814000.000000,2158025128000.000000,-268418965000.000000,-118953582000.000000,-149465383000.000000,-268418965000.000000,1889606163000.000000,969699522000.000000,-303230075000.000000,,216353800000.000000,,-40128580000.000000,-5923135000.000000,1102627512000.000000,969699522000.000000,2859305685000.000000,-260164669000.000000,,,-260164669000.000000,2599141016000.000000,,2599141016000.000000,-2062128000.000000,,-2062128000.000000,2597078888000.000000,2599141016000.000000,2515505403000.000000,83635613000.000000,2599141016000.000000,2597078888000.000000,2513443275000.000000,83635613000.000000,2597078888000.000000
12M 2015,4625052737000.000000,-1956524999000.000000,2668527738000.000000,-403964708000.000000,-175155166000.000000,-228809542000.000000,-403964708000.000000,2264563030000.000000,-839421019000.000000,-250648865000.000000,-316182731000.000000,176160651000.000000,,-276832685000.000000,-2915755000.000000,-169001634000.000000,-839421019000.000000,1425142011000.000000,-24587893000.000000,,,-24587893000.000000,1400554118000.000000,,1400554118000.000000,8051399000.000000,8051399000.000000,8051399000.000000,1408605517000.000000,1400554118000.000000,1261887023000.000000,138667095000.000000,1400554118000.000000,1408605517000.000000,1269202668000.000000,139402849000.000000,1408605517000.000000
12M 2016,4841104813000.000000,-2087578959000.000000,2753525854000.000000,-493489327000.000000,-198034816000.000000,-295454511000.000000,-493489327000.000000,2260036527000.000000,-528272847000.000000,-341691911000.000000,-324818195000.000000,112293949000.000000,,57902575000.000000,-8533897000.000000,-23425368000.000000,-528272847000.000000,1731763680000.000000,48491301000.000000,,,48491301000.000000,1780254981000.000000,,1780254981000.000000,-3842979000.000000,-3842979000.000000,-3842979000.000000,1776412002000.000000,1780254981000.000000,1670766935000.000000,109488046000.000000,1780254981000.000000,1776412002000.000000,1667948364000.000000,108463638000.000000,1776412002000.000000
12M 2017,5717537579000.000000,-2353435226000.000000,3364102353000.000000,-569259632000.000000,-222099812000.000000,-347159820000.000000,-569259632000.000000,2794842721000.000000,-723150950000.000000,-336288419000.000000,-334139201000.000000,138585514000.000000,,-24976266000.000000,-12036304000.000000,-154296274000.000000,-723150950000.000000,2071691771000.000000,-47064731000.000000,,,-47064731000.000000,2024627040000.000000,,2024627040000.000000,-22136592000.000000,-22136592000.000000,-22136592000.000000,2002490448000.000000,2024627040000.000000,1872780857000.000000,151846183000.000000,2024627040000.000000,2002490448000.000000,1852536412000.000000,149954036000.000000,2002490448000.000000
