Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Ketiga,Pihak Berelasi,Total Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,14515769697.000000,,,14515769697.000000,33652846984.000000,,,33652846984.000000,4916663333.000000,115240716496.000000,46567911535.000000,214893908045.000000,,31013757608.000000,6220626690.000000,2383135861.000000,115181090953.000000,,,34380396069.000000,189179007181.000000,404072915226.000000,,,181521510381.000000,32900000000.000000,,105670363680.000000,,105670363680.000000,,11988360636.000000,3644561366.000000,15632922002.000000,12445681274.000000,1295049675.000000,,10340495217.000000,1827691381.000000,12168186598.000000,10126.000000,1409297026.000000,181521510381.000000,49451245473.000000,,34372109592.000000,1200875648.000000,13878260233.000000,49451245473.000000,230972755854.000000,,125159000000.000000,,47295250405.000000,,47295250405.000000,47295250405.000000,,645908967.000000,173100159372.000000,404072915226.000000,125159.000000
12M 2012,,,116558536944.000000,,,116558536944.000000,31230975015.000000,,,31230975015.000000,3602096590.000000,163478481425.000000,57860788482.000000,372730878456.000000,,26785950144.000000,6005314274.000000,3269830560.000000,129948339892.000000,,,31341864443.000000,197351299313.000000,570082177769.000000,,,167543883221.000000,12000000000.000000,,129208922025.000000,,129208922025.000000,,,,,10797499647.000000,1680749371.000000,,10757161888.000000,1407229854.000000,12164391742.000000,,1692320436.000000,167543883221.000000,43230718526.000000,,23198281037.000000,2645576135.000000,17386861354.000000,43230718526.000000,210774601747.000000,,156448750000.000000,118457920112.000000,83754996943.000000,,83754996943.000000,83754996943.000000,,645908967.000000,359307576022.000000,570082177769.000000,1564487500.000000
12M 2013,,,66678958778.000000,,,66678958778.000000,37386546136.000000,,,37386546136.000000,1233571939.000000,228677824354.000000,110210156222.000000,444187057429.000000,,17838301868.000000,13718232186.000000,3907906393.000000,174105274838.000000,,4633483283.000000,53688801642.000000,267892000210.000000,712079057639.000000,,,278710588062.000000,42000000000.000000,,208026370948.000000,942773153.000000,208969144101.000000,,,,,5598245695.000000,6354402197.000000,,10423828556.000000,2847540260.000000,13271368816.000000,,2517427253.000000,278710588062.000000,36251840468.000000,,12774452485.000000,1956734747.000000,21520653236.000000,36251840468.000000,314962428530.000000,,156448750000.000000,119103829079.000000,113387788330.000000,500000000.000000,112887788330.000000,113387788330.000000,8176261700.000000,,397116629109.000000,712079057639.000000,1564487500.000000
12M 2014,,,86773187645.000000,,,86773187645.000000,36298132763.000000,,,36298132763.000000,55747354.000000,184377621106.000000,99753917100.000000,407258605968.000000,,12267830692.000000,21775053923.000000,4589487332.000000,270848436848.000000,,4633483283.000000,60243487114.000000,374357779192.000000,781616385160.000000,,,310180486006.000000,53500000000.000000,,218240473169.000000,668302094.000000,218908775263.000000,,,,,5601347231.000000,7656802638.000000,,20663900001.000000,1272042733.000000,21935942734.000000,,2577618140.000000,310180486006.000000,64898538421.000000,,38110552484.000000,265030048.000000,26522955889.000000,64898538421.000000,375079024427.000000,,156448750000.000000,119103829079.000000,128545854488.000000,750000000.000000,127795854488.000000,128545854488.000000,2438927166.000000,,406537360733.000000,781616385160.000000,1564487500.000000
12M 2015,,,87989665056.000000,,,87989665056.000000,38894667594.000000,,,38894667594.000000,9894666509.000000,197926398620.000000,60111408502.000000,394816806281.000000,,8949065584.000000,23142805305.000000,6016285032.000000,240880030037.000000,,,46933975883.000000,325922161841.000000,720738968122.000000,,,295767865919.000000,47000000000.000000,,213195708259.000000,264800614.000000,213460508873.000000,,,,,7077978099.000000,7334087908.000000,,19916108077.000000,45873225.000000,19961981302.000000,,933309737.000000,295767865919.000000,37470060597.000000,,4500000000.000000,,32970060597.000000,37470060597.000000,333237926516.000000,,156448750000.000000,119103829079.000000,110509097847.000000,1000000000.000000,109509097847.000000,110509097847.000000,1439364680.000000,,387501041606.000000,720738968122.000000,1564487500.000000
12M 2016,,,101362158694.000000,,,101362158694.000000,40024185952.000000,,,40024185952.000000,88150328.000000,209003943957.000000,55015287910.000000,405493726841.000000,,9078360448.000000,24873990962.000000,6245639247.000000,228045075806.000000,,,47501184146.000000,315744250609.000000,721237977450.000000,,,254396030475.000000,17000000000.000000,,203251157888.000000,867100624.000000,204118258512.000000,,,,,20473253709.000000,7555484270.000000,,4500000000.000000,,4500000000.000000,,749033984.000000,254396030475.000000,35723981738.000000,,,,35723981738.000000,35723981738.000000,290120012213.000000,,156448750000.000000,119103829079.000000,153329300723.000000,1000000000.000000,152329300723.000000,153329300723.000000,2236439523.000000,-354088.000000,431117965237.000000,721237977450.000000,1564487500.000000
12M 2017,,,166739021798.000000,,,166739021798.000000,42195993927.000000,,,42195993927.000000,309097741.000000,240216092106.000000,33961496137.000000,483421701709.000000,,4598516790.000000,26515929319.000000,7662321390.000000,232973099106.000000,,,48848756547.000000,320598623152.000000,804020324861.000000,,,302213795172.000000,5000000000.000000,,272674400920.000000,777252275.000000,273451653195.000000,,,,,14332382603.000000,9062858750.000000,,,,,,366900624.000000,302213795172.000000,41203822304.000000,,,,41203822304.000000,41203822304.000000,343417617476.000000,,156448750000.000000,119103829079.000000,182263362810.000000,2000000000.000000,180263362810.000000,182263362810.000000,2787299012.000000,-533516.000000,460602707385.000000,804020324861.000000,1564487500.000000
12M 2018,,,246393790857.000000,,,246393790857.000000,40533512101.000000,,,40533512101.000000,583879836.000000,227545412803.000000,29121724391.000000,544178319988.000000,,5685369688.000000,28187148206.000000,8091210957.000000,255260217838.000000,,,62601472761.000000,359825419450.000000,904003739438.000000,,,348666837381.000000,,,319944506481.000000,590131281.000000,320534637762.000000,,,,,12497082826.000000,15470869529.000000,,,,,,164247264.000000,348666837381.000000,51292877616.000000,,,,51292877616.000000,51292877616.000000,399959714997.000000,,156448750000.000000,119103829079.000000,226488211893.000000,3000000000.000000,223488211893.000000,226488211893.000000,2003766985.000000,-533516.000000,504044024441.000000,904003739438.000000,1564487500.000000
12M 2019,,,259300425706.000000,,,259300425706.000000,20504676857.000000,,,20504676857.000000,468272891.000000,273265268760.000000,36073017794.000000,589611662008.000000,,5968655316.000000,28955180375.000000,10632619992.000000,257452233884.000000,,,59875949271.000000,362884638838.000000,952496300846.000000,,,348625244359.000000,,,319709598527.000000,608550288.000000,320318148815.000000,,,,,12473316662.000000,15824832882.000000,,,,,,8946000.000000,348625244359.000000,56067821742.000000,,,,56067821742.000000,56067821742.000000,404693066101.000000,,156448750000.000000,119103829079.000000,268689333957.000000,4000000000.000000,264689333957.000000,268689333957.000000,3562122818.000000,-801109.000000,547803234745.000000,952496300846.000000,1564487500.000000
12M 2020,,,281959945525.000000,,,281959945525.000000,20752815327.000000,,,20752815327.000000,323761574.000000,311357485208.000000,11472669760.000000,625866677394.000000,,5452069663.000000,31511192686.000000,19931044439.000000,329542756308.000000,,,306830703505.000000,693267766601.000000,1319134443995.000000,,,512965592357.000000,,,421427674359.000000,668208490.000000,422095882849.000000,,,,,21872995887.000000,20407585614.000000,,,,,,48589128007.000000,512965592357.000000,261664232698.000000,,,,261664232698.000000,261664232698.000000,774629825055.000000,,156448750000.000000,119103829079.000000,264687083714.000000,6000000000.000000,258687083714.000000,264687083714.000000,4265757256.000000,-801109.000000,544504618940.000000,1319134443995.000000,1564487500.000000
