Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada:,Kontraktor Dan Pemasok,Kontraktor,Karyawan Dan Pihak-Pihak Lainnya,Beban Operasi,Total Pembayaran Kas Kepada:,Pembayaran Kas Lainnya,Penerimaan Operasional Lainnya,Penghasilan Bunga - Bersih,Beban Bunga Dan Keuangan,Pembayaran Pajak Penjualan Final,Lain-Lain,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Tanah Yang Belum Dikembangkan,Hasil Penjualan Aset Keuangan Yang Tersedia Untuk Dijual,Perolehan Aset Keuangan Yang Tersedia Untuk Dijual,Penyertaan Saham Pada Entitas Asosiasi,Perolehan Saham,Penerimaan Uang Muka Pembelian Tanah,Perolehan Aset Tetap,Penerimaan Pembayaran Piutang Pihak Berelasi,Akuisisi Entitas Anak,Aset Keuangan Tersedia Untuk Dijual,Hasil Penjualan Aset Tetap,Penerimaan Dividen Tunai,Penurunan Uang Muka,Piutang Lain-Lain,Utang Pihak Berelasi,Piutang Pihak Berelasi,Uang Muka Pembelian Tanah,Peningkatan Uang Muka Proyek,Penjualan Aset Keuangan,Penerimaan Kas Lainnya Dari Aktivitas Investasi,Penambahan Aset Tidak Lancar Lainnya,Penambahan Uang Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Hutang Pembiayaan Konsumen,Penerimaan Utang Pembiayaan Konsumen,Penerimaan Utang Bank,Utang Pihak Berelasi,Pembayaran Utang Bank,Piutang Lain-Lain,Penurunan Hak Minoritas Pada Anak Perusahaan,Penerimaan Dari Penerbitan Saham,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Biaya Emisi Saham,Pembayaran Dividen Entitas Anak Kepada Kepentingan Non Pengendali,Penerimaan Dividen Dari Entitas Asosiasi,Kepentingan Non-Pengendali,Setoran Modal Entitas Anak Dari Kepentingan Nonpengendali,Aset Keuangan Tersedia Untuk Dijual,Saham Treasury,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Anak Perusahaan Yang Tidak Dikonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-2430139776.000000,20452227457.000000,,-14440848791.000000,,-7718586159.000000,,-22159434950.000000,,,,,,,-722932283.000000,-2430139776.000000,481198000.000000,,,,,,,-18802000.000000,,,,500000000.000000,,,,,,,,,,,,481198000.000000,-819070571.000000,-819070571.000000,,,,,,,,,,,,,,,,-819070571.000000,-2768012347.000000,-11914389608.000000,20631961573.000000,5949559618.000000
12M 2009,251616492.000000,11380746799.000000,,-6244354897.000000,,-4430971133.000000,,-10675326030.000000,,,,,,,-453804277.000000,251616492.000000,10416520000.000000,,9000000000.000000,,,,,-51480000.000000,,,,1300000000.000000,,,,,,,,,,,168000000.000000,10416520000.000000,-818296368.000000,-818296368.000000,,,,,,,,,,,,,,,,-818296368.000000,9849840124.000000,,5949559618.000000,15799399742.000000
12M 2010,3110117235.000000,15658940880.000000,,-6673077814.000000,,-4967679552.000000,,-11640757366.000000,,,,,-908066279.000000,,,3110117235.000000,-62753333.000000,,,,,,,-62753333.000000,,,,,,,,,,,,,,,,-62753333.000000,-24408298.000000,-24408298.000000,,,,,,,,,,,,,,,,-24408298.000000,3022955604.000000,,15799399743.000000,18822355347.000000
12M 2011,659580414.000000,17357785263.000000,,-10546558034.000000,,-7909269910.000000,,-18455827944.000000,,,2505960151.000000,,-748337056.000000,,,659580414.000000,-17304052500.000000,,39581797500.000000,-281250000.000000,-56000000000.000000,,,-781600000.000000,,,,177000000.000000,,,,,,,,,,,,-17304052500.000000,-15819256.000000,-15819256.000000,,,,,,,,,,,,,,,,-15819256.000000,-16660291342.000000,,18822355347.000000,2162064005.000000
12M 2012,2243225151.000000,31775904899.000000,,-18600285465.000000,,-9274058049.000000,,-27874343514.000000,,,291987720.000000,,-1950323954.000000,,,2243225151.000000,16369408000.000000,,16380000000.000000,,,,,-10592000.000000,,,,,,,,,,,,,,,,16369408000.000000,,,,,,,,,,,,,,,,,,,18612633151.000000,,2162064005.000000,20774697156.000000
12M 2013,26784809641.000000,46027572501.000000,,-9667483540.000000,,-9155088254.000000,,-18822571794.000000,,,741314509.000000,,-1161505575.000000,,,26784809641.000000,-956850000.000000,,,,,-956850000.000000,,,,,,,,,,,,,,,,,,-956850000.000000,-36023050.000000,,,,,,,,,,,,,,,,-36023050.000000,-36023050.000000,25791936591.000000,,20774697156.000000,46566633747.000000
12M 2014,330780603.000000,38603940666.000000,,-20742781966.000000,,-17135912458.000000,,-37878694424.000000,,,2068090725.000000,,-2462556364.000000,,,330780603.000000,7551140358.000000,,,,7565300358.000000,,,-14160000.000000,,,,,,,,,,,,,,,,7551140358.000000,-11292704584.000000,,,,,,,,,,,,,-204584.000000,,-11292500000.000000,,-11292704584.000000,-3410783623.000000,,46566633747.000000,43155850124.000000
12M 2015,-765220765.000000,16239460424.000000,,-1476982464.000000,-2490600220.000000,-2643862957.000000,-9566892346.000000,-16178337987.000000,,,2207090991.000000,,-3033434193.000000,,,-765220765.000000,-9645494275.000000,2163828248.000000,11213000000.000000,,,,,-168800000.000000,,,,,,,,,,-22853522523.000000,,,,,,-9645494275.000000,,,,,,,,,,,,,,,,,,,-10410715040.000000,,43155850124.000000,32745135084.000000
12M 2016,3724831739.000000,9635391091.000000,,-163739032.000000,,-2713720219.000000,-3569171936.000000,-6446631187.000000,,,1097999144.000000,,-561927309.000000,,,3724831739.000000,-19281345864.000000,-33389368387.000000,244500000.000000,,,,,,,-8990000000.000000,,,,,,,,22853522523.000000,,,,,,-19281345864.000000,-258953800.000000,-258953800.000000,,,,,,,,,,,,,,,,-258953800.000000,-15815467925.000000,,32946713139.000000,17131245214.000000
12M 2017,15328618391.000000,43385501422.000000,,-15622649110.000000,,-3349434018.000000,-6613121330.000000,-25585204458.000000,,,420807328.000000,-2214553133.000000,-677932768.000000,,,15328618391.000000,-33732279768.000000,-5739779768.000000,6900000.000000,,,,,,,,,,,,,,,-27999400000.000000,,,,,,-33732279768.000000,11108956000.000000,-106884000.000000,57240000.000000,21400000000.000000,,-10241400000.000000,,,,,,,,,,,,11108956000.000000,-7294705377.000000,,17131245214.000000,9836539837.000000
12M 2018,49576999283.000000,181722671473.000000,,-82510879865.000000,,-21153422033.000000,-14779644885.000000,-118443946783.000000,,,1955764430.000000,-14325190538.000000,-1332299299.000000,,,49576999283.000000,-234080958831.000000,-7875000000.000000,-3386320000.000000,240000000.000000,,,-28939731335.000000,-743174163.000000,,-74453400000.000000,,410000000.000000,,,,,,,,,,-119333333333.000000,,-234080958831.000000,357182832305.000000,-157546747.000000,,79953000000.000000,-8653371249.000000,-17158600000.000000,137581295.000000,,316580673200.000000,,-13518904194.000000,,,,,,,357182832305.000000,172678872757.000000,,18792814753.000000,191471687510.000000
12M 2019,-16738695544.000000,99939728748.000000,,-36977199020.000000,,-25303554977.000000,-43935483354.000000,-106216237351.000000,,,1935162461.000000,-11906434181.000000,-490915221.000000,,,-16738695544.000000,-82341222786.000000,-323324370.000000,,1294812000.000000,,,-43969181416.000000,-96529000.000000,,,,53000000.000000,,,,,,,,,,-39300000000.000000,,-82341222786.000000,-43428616310.000000,-435198600.000000,,30830450000.000000,-1270356251.000000,-70880000000.000000,,,,,-297597960.000000,-1500000000.000000,,,100000000.000000,,24086501.000000,-43428616310.000000,-142508534640.000000,,191471687510.000000,48963152870.000000
12M 2020,5734911309.000000,39062601340.000000,,-3081542489.000000,,-14303996855.000000,-6694351371.000000,-24079890715.000000,,,1564132408.000000,-10540422084.000000,-271509640.000000,,,5734911309.000000,-5856078455.000000,-11634457701.000000,5505657010.000000,-3650485000.000000,,,3992824020.000000,-82441300.000000,,,,12824516.000000,,,,,,,,,,,,-5856078455.000000,-4687312506.000000,-371014200.000000,,,,-1725000000.000000,,,,-2730000000.000000,-619298306.000000,,758000000.000000,,,,,-4687312506.000000,-4808479652.000000,,48963152870.000000,44154673218.000000
12M 2021,22027583404.000000,47830277116.000000,,-1348645156.000000,,-10385190176.000000,-10641589002.000000,-22375424334.000000,,,1198016081.000000,-4190598054.000000,-434687405.000000,,,22027583404.000000,-17704258426.000000,-4758594369.000000,,,,,-9327636084.000000,,,,,,,,,,-3618027973.000000,,,,,,,-17704258426.000000,2025145694.000000,-333904306.000000,,50662500000.000000,,-48303450000.000000,,,,,,,,,,,,2025145694.000000,6348470672.000000,,44154673219.000000,50503143891.000000
12M 2022,5453136405.000000,103828282376.000000,,-53530464037.000000,,-25488380860.000000,-14864623339.000000,-93883468236.000000,,,607823668.000000,-4286945245.000000,-812556158.000000,,,5453136405.000000,-9581086464.000000,-4521980430.000000,,,,,-4209106034.000000,,,,,,,,,,-850000000.000000,,,,,,,-9581086464.000000,-26495213200.000000,-325213200.000000,,6100000000.000000,,-32270000000.000000,,,,,,,,,,,,-26495213200.000000,-30623163259.000000,,50503143891.000000,19879980632.000000
12M 2023,31942400374.000000,192978471813.000000,,-81844261601.000000,,-30102448060.000000,-39808436231.000000,-151755145892.000000,,,299979206.000000,-8291553870.000000,-1289350883.000000,,,31942400374.000000,-18840519716.000000,-16568154301.000000,,,,,-2918079927.000000,,,,,,,,,,3194500000.000000,,-2548785488.000000,,,,,-18840519716.000000,1966435770.000000,-70677500.000000,,46630000000.000000,,-44592886730.000000,,,,,,,,,,,,1966435770.000000,15068316428.000000,,19879980632.000000,34948297060.000000
12M 2024,18295074141.000000,208133838060.000000,,-92809074407.000000,,-35549390567.000000,-43636671395.000000,-171995136369.000000,,,496688569.000000,-15969582244.000000,-2370733875.000000,,,18295074141.000000,-2143701001.000000,-45477500.000000,,,,,-475181000.000000,-789240001.000000,,,,,,,,,,,-833802500.000000,,,,,-2143701001.000000,1844435904.000000,,,59058180000.000000,,-57213744096.000000,,,,,,,,,,,,1844435904.000000,17995809044.000000,,34948297060.000000,52944106104.000000
