Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.33 B,123.89,0.57,0.83,,34.21%,37.75%,74.96%,
12M 2009,0.33 B,46.65,1.18,1.52,,12.79%,13.39%,13.82%,
12M 2010,0.33 B,1.43,41.26,1.22,,0.40%,0.43%,1.14%,
12M 2011,0.33 B,-42.73,-1.45,1.29,,-10.27%,-11.13%,1.24%,
12M 2012,0.33 B,5.89,17.83,0.82,,1.26%,1.36%,6.83%,
12M 2013,0.33 B,-42.80,-1.54,1.05,,-8.79%,-10.94%,1.54%,
12M 2014,0.33 B,9.19,6.96,0.42,,1.92%,2.27%,8.73%,7.21
12M 2015,0.33 B,-9.44,-4.77,0.87,,-1.69%,-1.83%,-0.69%,-0.51
12M 2016,0.33 B,-20.55,-3.02,1.13,,-4.01%,-4.15%,-0.07%,
12M 2017,0.33 B,44.43,3.92,0.78,,6.64%,8.24%,7.97%,6.17
12M 2018,2.72 B,0.83,113.25,1.40,15.89 B,0.25%,0.36%,1.10%,0.36
12M 2019,2.72 B,-8.41,-8.09,1.96,(1.54 B),-2.84%,-3.82%,-2.62%,-1.66
12M 2020,2.72 B,-16.39,-3.05,5.38,(26.08 B),-5.87%,-8.03%,-6.05%,-4.19
12M 2021,2.72 B,-8.65,-9.48,5.01,(4.48 B),-3.05%,-4.26%,-3.24%,-2.56
12M 2022,2.72 B,-14.51,-3.45,1.17,(17.09 B),-5.51%,-7.67%,-5.33%,-3.80
12M 2023,2.72 B,-7.52,-6.65,0.76,3.92 B,-2.88%,-4.14%,-2.55%,-1.73
12M 2024,2.72 B,-10.24,-2.83,0.49,(2.95 B),-3.67%,-5.97%,-3.82%,-1.47
