Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2011,16 B,(25 B),(10 B),-15.11
12M 2012,43 B,(86 B),(43 B),-67.04
12M 2013,(85 B),(79 B),(164 B),-254.98
12M 2014,47 B,(109 B),(62 B),-97.07
12M 2015,134 B,(57 B),77 B,119.57
12M 2016,82 B,(41 B),41 B,64.62
12M 2017,213 B,(43 B),169 B,264.05
12M 2018,170 B,(37 B),133 B,206.63
12M 2019,(163 B),(26 B),(188 B),-293.52
12M 2020,(171 B),(11 B),(182 B),-284.11
12M 2021,68 B,(12 B),56 B,87.76
12M 2022,116 B,(19 B),97 B,151.55
12M 2023,88 B,(5 B),83 B,129.73
