Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,184.23,,3.85,,7.82,,2.02,-15.98,-15.98,0.83
12M 2009,0.78,112.78,296.87,-183.31,467.86,1536.33,3.24,3.98,4.72,5.38,1.61,1.94,-2.91,-2.91,0.17
12M 2010,0.92,148.95,1305.28,-1155.41,397.05,696.92,2.45,2.7,1.41,1.53,0.8,0.84,-0.39,-0.39,0.13
12M 2011,1.28,201.69,3171.83,-2968.86,285.32,620.36,1.81,2.34,1.04,1.32,0.47,0.57,-0.15,-0.15,0.07
12M 2012,0.54,73.3,3387.68,-3313.84,670.95,1077.12,4.98,6.41,1.78,2.11,0.64,0.72,-0.1,-0.1,0.02
12M 2013,0.64,125.72,66153.05,-66026.69,568.63,,2.9,9.44,0.16,0.21,0.05,0.05,-0.01,-0.01,0.02
12M 2014,,34.91,173123.23,-173088.32,,,10.45,165.15,0.14,0.2,0.02,0.02,,,0.01
12M 2015,,2.34,241197.15,-241194.81,,,155.71,228.14,0.22,0.28,0.01,,,,0.01
12M 2016,0.33,3.4,501664.45,-501660.72,1103.45,1103.45,107.2,107.2,0.22,0.38,,,,,0.01
12M 2017,10.21,1090.05,61.77,1038.49,35.75,19.89,0.33,0.16,2.67,1.38,0.1,0.05,0.34,0.34,2.45
12M 2018,69.45,604.81,6.24,668.02,5.26,4.11,0.6,0.64,2.44,2.46,0.08,0.08,-0.7,-0.7,0.32
