Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,12.65,11.97,0.08,1.23,0.0,0.0,-0.03,0.07,0.2
12M 2009,14.57,13.67,0.03,1.15,0.0,0.0,0.02,0.02,0.14
12M 2010,73.35,36.06,0.01,1.01,0.0,0.0,0.01,0.01,0.01
12M 2011,5.46,1.96,0.22,1.69,0.0,0.0,0.08,0.13,0.62
12M 2012,6.92,3.45,0.14,1.85,0.0,0.0,-0.22,0.07,0.81
12M 2013,1.87,1.6,0.12,1.7,0.0,0.0,-0.29,0.07,0.64
12M 2014,1.85,1.13,0.08,1.5,0.0,0.0,-0.15,0.05,0.47
12M 2015,3.24,1.75,0.09,1.41,0.0,0.0,0.02,0.07,0.32
12M 2016,3.93,1.87,0.16,1.39,0.0,0.0,0.12,0.12,0.27
12M 2017,5.77,1.83,0.24,1.47,0.0,0.0,0.19,0.16,0.34
12M 2018,4.51,0.67,0.28,1.65,0.0,0.0,0.25,0.17,0.52
12M 2019,3.41,0.29,0.32,1.73,0.0,0.0,0.29,0.18,0.66
12M 2020,2.02,0.12,0.34,1.9,0.0,0.0,0.32,0.18,0.84
12M 2021,3.68,0.28,0.29,1.75,0.0,0.0,0.26,0.17,0.68
12M 2022,3.39,0.22,0.28,1.73,0.0,0.0,0.26,0.16,0.65
12M 2023,5.29,0.32,0.27,1.69,0.0,0.0,0.25,0.16,0.61
12M 2024,4.94,0.31,0.28,1.73,0.0,0.0,0.25,0.16,0.64
