Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,2.72,,0.41,,2.66,,0.03,0.06,0.06,12.65
12M 2009,484.0,1380.72,209.04,1655.68,0.75,0.76,0.26,0.26,0.73,1.51,0.02,0.02,0.04,0.04,14.57
12M 2010,,,,,,,,,,,,,,,73.35
12M 2011,162.96,1162.7,118.97,1206.69,2.24,1.55,0.31,0.16,127.11,82.86,0.1,0.07,0.15,0.15,5.46
12M 2012,216.47,2258.23,155.4,2319.3,1.69,1.71,0.16,0.18,45.61,31.54,0.09,0.09,0.15,0.15,6.92
12M 2013,57.8,522.51,24.02,556.29,6.31,8.78,0.7,0.62,97.13,98.86,0.25,0.24,1.28,1.28,1.87
12M 2014,28.45,321.18,13.59,336.04,12.83,17.05,1.14,1.08,101.8,101.14,0.24,0.23,1.09,1.09,1.85
12M 2015,52.09,599.5,12.17,639.42,7.01,7.25,0.61,0.6,105.65,79.09,0.34,0.35,1.09,1.09,3.24
12M 2016,137.2,985.3,46.7,1075.8,2.66,4.33,0.37,0.36,42.43,44.83,0.15,0.15,0.49,0.49,3.93
12M 2017,90.72,2973.07,83.26,2980.53,4.02,7.65,0.12,0.12,27.11,26.45,0.09,0.08,0.16,0.16,5.77
12M 2018,72.65,4334.73,36.87,4370.51,5.02,5.48,0.08,0.08,25.11,28.1,0.06,0.06,0.17,0.17,4.51
12M 2019,57.8,3332.74,22.55,3367.99,6.32,7.81,0.11,0.11,47.62,61.5,0.08,0.08,0.26,0.26,3.41
12M 2020,52.62,9622.86,51.67,9623.81,6.94,14.05,0.04,0.04,24.16,25.71,0.03,0.03,0.12,0.12,2.02
12M 2021,,1679.81,6.95,1672.86,,,0.22,0.23,123.85,124.92,0.14,0.14,0.46,0.46,3.68
12M 2022,,4198.41,10.66,4187.75,,,0.09,0.09,49.46,52.23,0.05,0.05,0.18,0.18,3.39
12M 2023,,9457.61,11.96,9445.65,,,0.04,0.04,31.4,32.15,0.03,0.03,0.09,0.09,5.29
12M 2024,,10245.01,15.72,10229.29,,,0.04,0.04,28.2,29.15,0.03,0.03,0.08,0.08,4.94
