Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2009,0.00,1950.48,0.00,1950.48,25 B,69 B,94 B,36 B,42 B
12M 2010,5.89,449.89,5.89,449.89,,,,(121 B),120 B
12M 2011,6.16,539.77,6.16,539.77,,33 B,33 B,(15 B),42 B
12M 2012,10.48,658.47,10.50,657.06,6 B,297 B,303 B,265 B,24 B
12M 2013,6.56,155.54,6.58,155.04,,656 B,656 B,555 B,44 B
12M 2014,7.30,189.68,7.35,188.31,48 B,788 B,835 B,673 B,113 B
12M 2015,5.39,234.80,5.42,233.29,,994 B,994 B,479 B,417 B
12M 2016,5.79,276.44,6.06,264.18,,996 B,996 B,385 B,629 B
12M 2017,2.84,448.40,2.91,438.33,619 B,498 B,"1,117 B",(778 B),"1,293 B"
12M 2018,2.61,459.37,2.67,449.44,41 B,706 B,747 B,(547 B),"1,351 B"
12M 2019,2.62,496.11,2.68,484.96,552 B,206 B,758 B,(428 B),767 B
12M 2020,2.61,521.72,2.70,503.82,12 B,496 B,507 B,(503 B),"1,145 B"
12M 2021,2.95,460.58,3.07,443.54,13 B,497 B,510 B,(249 B),799 B
12M 2022,3.05,433.38,3.17,416.05,13 B,498 B,510 B,(117 B),673 B
12M 2023,2.97,386.87,3.11,369.33,112 B,499 B,611 B,73 B,496 B
12M 2024,2.61,372.16,2.73,355.59,112 B,496 B,608 B,177 B,433 B
