Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Lainnya",Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak Penghasilan,Penerimaan Restitusi Pajak Pertambahan Nilai,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Penurunan Deposito Berjangka Dibatasi Penggunaannya,Penurunan Investasi,Penempatan Investasi Tersedia Untuk Dijual,Penambahan Uang Muka Pembelian Aset Tetap,Pencairan (Penempatan) Investasi Tersedia Untuk Dijual,Penurunan (Kenaikan) Piutang Pihak-Pihak Berelasi,Pembayaran Uang Muka Pembelian Aset Tetap,Hasil Penjualan Properti Investasi,Penambahan Piutang Kepada Pihak Hubungan Istimewa,Perolehan Aset Kerja Sama Operasi,Hasil Penjualan Entitas Anak,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Penurunan (Kenaikan) Rekening Bank Yang Dibatasi Penggunaannya,Penurunan Aset Tidak Lancar Lainnya,Kenaikan Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penurunan (Kenaikan) Utang Pihak-Pihak Berelasi,Penurunan (Kenaikan) Aset Keuangan Lancar Lainnya,Penurunan (Kenaikan) Aset Keuangan Tidak Lancar Lainnya,Penurunan Piutang Pihak Berelasi,Penambahan Modal Disetor,Penerimaan Piutang Pihak Berelasi,Hasil Dari Transaksi Penjualan Dan Sewa Guna Usaha Kembali Aktiva Tetap,Penambahan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penambahan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Pembelian Kendaraan,Penurunan (Penambahan) Piutang Pihak Berelasi,Penambahan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Penurunan Utang Pihak Berelasi,Penambahan Utang Pembelian Kendaraan,Pembayarang Hutang Sewa Guna Usaha,Pembayaran Utang Surat Berharga Berharga Jangka Menengah,Penambahan Utang Surat Berharga Berharga Jangka Menengah,Penambahan Hutang Lembaga Keuangan Lain,Pembayaran Utang Pembelian Aktiva Tetap,Pelunasan Utang Obligasi,Penambahan Liabilitas Sewa Pembiayaan,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Utang Dividen,Pembayaran Dividen Tunai,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,6244595308.000000,1136206139438.000000,-1096724829849.000000,-20617890784.000000,-29697008911.000000,,17078185414.000000,6244595308.000000,-26464925322.000000,2716572505.000000,,,,,26286311779.000000,-675533890.000000,,,,-1212101240.000000,,-56498593492.000000,2764401095.000000,,154017921.000000,,,-26464925322.000000,48995640800.000000,705559402.000000,,,,,,,193887796358.000000,-138893459527.000000,11971380500.000000,-905150000.000000,-106228342.000000,,,,,,,,,,,,,-8424257591.000000,,-9240000000.000000,48995640800.000000,,28775310786.000000,52861094550.000000,,,81636405336.000000
12M 2009,73717504421.000000,1097086956820.000000,-995158529328.000000,-26452261023.000000,-15695290615.000000,6179543629.000000,7757084938.000000,73717504421.000000,-17238543597.000000,2667052734.000000,,,,,950251745.000000,-934966936.000000,,,,-1019017431.000000,,-18713948677.000000,4823613646.000000,-7000000000.000000,1988471322.000000,,,-17238543597.000000,-74780583043.000000,323287258.000000,,,,,,,280934773271.000000,-315196092805.000000,,-20692125404.000000,-166540793.000000,,,,,,,,,,,,,-10743884570.000000,,-9240000000.000000,-74780583043.000000,,-18301622219.000000,81636405336.000000,,,63334783117.000000
12M 2010,16887169756.000000,1010161211912.000000,-989097938342.000000,-30141824121.000000,-13242317126.000000,11830375451.000000,27377661982.000000,16887169756.000000,-21188943519.000000,2006879729.000000,4809153025.000000,,-94319861639.000000,,82264741907.000000,289468999.000000,,4687500000.000000,,-6975000.000000,,-14351656265.000000,5060597310.000000,-5050239393.000000,-2953094983.000000,,-3625457209.000000,-21188943519.000000,-10118310272.000000,-114485868.000000,,,,,,,60229241142.000000,-16834230754.000000,98750000000.000000,-31479559450.000000,-1615956679.000000,,,,,,,,,,,-100000000000.000000,,-9813318663.000000,,-9240000000.000000,-10118310272.000000,,-14420084035.000000,63334783117.000000,,,48914699082.000000
12M 2011,15294521176.000000,1123998096081.000000,-1070818462868.000000,-43741604055.000000,-12211426687.000000,3347272013.000000,14720646692.000000,15294521176.000000,-335176402573.000000,4618913040.000000,958922915.000000,,,,14800000000.000000,-6891494500.000000,,,,-1059170000.000000,,-370490343619.000000,67818142941.000000,-22449821480.000000,-19262023209.000000,,-3219528661.000000,-335176402573.000000,342770999679.000000,10065824864.000000,,,,,,,365979313392.000000,-273518755078.000000,307286675662.000000,-112715440004.000000,,,,,,,,,,67511514400.000000,-6918929556.000000,,,-8759204001.000000,,-6160000000.000000,342770999679.000000,,22889118282.000000,48914699082.000000,,,71803817364.000000
12M 2012,-74997381817.000000,1419787950049.000000,-1438222876727.000000,-57051060753.000000,-18618419813.000000,2979727691.000000,16127297736.000000,-74997381817.000000,-6719732877.000000,1703290227.000000,,,,,,8571074833.000000,,,,,,-30200870878.000000,10672565971.000000,-9869589867.000000,13336669813.000000,,-932872976.000000,-6719732877.000000,79515466479.000000,14113991883.000000,,,,,,,1139197233332.000000,-1003480521657.000000,9700000000.000000,-67170288426.000000,,,,,,,,,,,-4026201397.000000,,,-5738747256.000000,,-3080000000.000000,79515466479.000000,,-2201648215.000000,71803817364.000000,,,69602169149.000000
12M 2013,95928756258.000000,1913161256706.000000,-1741717662885.000000,-59423251737.000000,-22939553923.000000,4113266009.000000,2734702088.000000,95928756258.000000,-44133115680.000000,1267457041.000000,,,,,,,,,,,,-14346709804.000000,7494000000.000000,-6695544151.000000,-34256600358.000000,,2404281592.000000,-44133115680.000000,-19644235415.000000,-12879312355.000000,,,5118354506.000000,,,,1418991582374.000000,-1431150854166.000000,46354448318.000000,-74391511920.000000,,,,,,,,,34300000000.000000,,-607001108.000000,,7640723300.000000,-7245664364.000000,,-5775000000.000000,-19644235415.000000,,32151405163.000000,69602169149.000000,3875773647.000000,,105629347959.000000
12M 2014,62741531070.000000,1909527988349.000000,-1744070463591.000000,-79475263171.000000,-29870047716.000000,,6629317199.000000,62741531070.000000,-22627461036.000000,1033100662.000000,,,,,2528291440.000000,,,,,,6853287080.000000,-35792758036.000000,2750617818.000000,,,,,-22627461036.000000,-21579065310.000000,-9952431434.000000,24304762517.000000,-456790578.000000,-19148886855.000000,,,,1873947914333.000000,-1871997007470.000000,95872701153.000000,-101120117150.000000,-408791768.000000,,,,,,,,,,,,1939024000.000000,-8784442058.000000,,-5775000000.000000,-21579065310.000000,,18535004724.000000,105629347961.000000,1763074479.000000,,125927427164.000000
12M 2015,245646321070.000000,1660882954109.000000,-1333172376853.000000,-67962414319.000000,-27686492194.000000,5347368604.000000,8237281723.000000,245646321070.000000,-16147671539.000000,1669571254.000000,,,,,,,,,,,,-25881606300.000000,8064363507.000000,,,,,-16147671539.000000,-228622434665.000000,-1874376932.000000,236398209.000000,2152201467.000000,-606848618.000000,,231412037.000000,,1461223753246.000000,-1447025541707.000000,,-229098187182.000000,-39118500.000000,,,,,,,,,,,,,-6122126685.000000,,-7700000000.000000,-228622434665.000000,,876214866.000000,125927427164.000000,7605889480.000000,,134409531510.000000
12M 2016,159547544780.000000,1347850288332.000000,-1124433704469.000000,-51684695655.000000,-25358178895.000000,,13173835467.000000,159547544780.000000,-18363983834.000000,2930299347.000000,,,,,,,,,,,,-26423868577.000000,5129585396.000000,,,,,-18363983834.000000,-218111062903.000000,,-7749277514.000000,-20399040003.000000,1206599853.000000,,7641860743.000000,,979798286277.000000,-1029352843922.000000,16610300000.000000,-123062482833.000000,-44908148.000000,,,,,,,-35000000000.000000,,,,,,-1984557356.000000,,-5775000000.000000,-218111062903.000000,,-76927501957.000000,134409531510.000000,-371617984.000000,,57110411569.000000
12M 2017,31415476036.000000,1142267280930.000000,-1065533221430.000000,-39689649766.000000,-23784526011.000000,,18155592313.000000,31415476036.000000,-8386938950.000000,2702553497.000000,,,,,,,,,,,,-12293994447.000000,1204502000.000000,,,,,-8386938950.000000,-10336300795.000000,,13749404379.000000,5105583295.000000,,,-258414253.000000,,1127679543231.000000,-1110249088247.000000,45913156686.000000,-86304236417.000000,-74846487.000000,,,,,,,,,,,,,-1277402982.000000,,-4620000000.000000,-10336300795.000000,,12692236291.000000,57110411569.000000,87433480.000000,,69890081340.000000
