Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan / Penerimaan Kas Dari Pendapatan Jasa,Penerimaan Dari Pendapatan Lain-Lain,Uang Muka Dari Pemasok,Pembayaran Pajak,Pembayaran Kas Bersih Untuk :,"Karyawan, Pajak Lainnya Dan Beban Lain-Lain",Pemasok Dan Untuk Beban Langsung Lainnya,Beban Bunga Dan Denda,Total Pembayaran Kas Bersih Untuk :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Laba Pelepasan Aset - Net,Penempatan Deposito Berjangka,Deposit Untuk Sewa Pembiayaan,Asuransi Dibayar Dimuka,Piutang Usaha,Piutang Lain,Piutang Pengemudi,Piutang Pihak Berelasi,Biaya Pra Operasional,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang,Pendanaan Pembiayaan Konsumen,Pembayaran Utang Bank,Pelunasan Utang Sewa Pembiayaan,Pelunasan Utang Pembiayaan,Utang Bank,Utang Dari Pemasok Sewa Pembiayaan,Utang Pembiayaan Konsumen,Penurunan Utang Restrukturisasi,Pembayaran Hutang Wesel,Penerimaan / (Pembayaran) Utang / Piutang Pihak Berelasi,Penerimaan (Pembayaran) Utang Piutang Lainnya,Piutang Lain-Lain Pihak Berelasi,Lainnya,Utang Perolehan Aset Bus,Pembayaran Utang Perolehan Aset,Selisih Take Over,Penerimaan Surat Utang,Uang Muka Dari Pemasok,Pengembalian Uang Muka Kepada Pemasok,Utang Kepada Pihak Ketiga,Pesangon,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,8614273725.000000,49384470112.000000,1316512872.000000,,,,-8489121393.000000,-18039202657.000000,-15558385209.000000,-42086709259.000000,8614273725.000000,34542135575.000000,,-178434425.000000,34720570000.000000,,,,,,,,,,34542135575.000000,-48691250896.000000,,,,-11027135200.000000,-874500000.000000,,,,,-26000000000.000000,-10789615696.000000,,,,,,,,,,,,-48691250896.000000,-5534841596.000000,6673907014.000000,1139065418.000000
12M 2009,14378466790.000000,49603874250.000000,186388200.000000,,,,-6727564820.000000,-14262200132.000000,-14422030708.000000,-35411795660.000000,14378466790.000000,-204773851.000000,-152368850.000000,-52405001.000000,,,,,,,,,,,-204773851.000000,-15036545850.000000,,,,-14264211867.000000,,,,,,,-772333983.000000,,,,,,,,,,,,-15036545850.000000,-862852911.000000,1139065417.000000,276212506.000000
12M 2010,12076362050.000000,43878685415.000000,1154646196.000000,,,,-7300126704.000000,-12245421402.000000,-13411421455.000000,-32956969561.000000,12076362050.000000,20181105312.000000,,-35424125.000000,4739173176.000000,15477356261.000000,,,,,,,,,20181105312.000000,-32020019590.000000,,,-36000000000.000000,-13234569583.000000,17000000000.000000,,,,,,214549993.000000,,,,,,,,,,,,-32020019590.000000,237447772.000000,276212505.000000,513660277.000000
12M 2011,15307188251.000000,38204489834.000000,358249508.000000,,,,-8463606482.000000,-4975573334.000000,-9816371275.000000,-23255551091.000000,15307188251.000000,1846900000.000000,,-3000000.000000,1849900000.000000,,,,,,,,,,1846900000.000000,-17350132091.000000,17500000000.000000,,,-17850132091.000000,-17000000000.000000,,,,,,,,,,,,,,,,,,-17350132091.000000,-196043840.000000,513660277.000000,317616437.000000
12M 2012,6712707015.000000,26876595039.000000,,,,,-9367767048.000000,-3276052074.000000,-7520068902.000000,-20163888024.000000,6712707015.000000,892115500.000000,,,892115500.000000,,,,,,,,,,892115500.000000,-7298158872.000000,29951845552.000000,,-8136455216.000000,-29113549208.000000,,,,,,,,,,,,,,,,,,,-7298158872.000000,306663643.000000,317616437.000000,624280080.000000
12M 2013,2641926907.000000,20609987999.000000,,,,,-7898142819.000000,-3443601162.000000,-6626317111.000000,-17968061092.000000,2641926907.000000,2225100000.000000,,-3000000.000000,2228100000.000000,,,,,,,,,,2225100000.000000,-5237671922.000000,,,-5237671922.000000,,,,,,,,,,,,,,,,,,,,-5237671922.000000,-370645015.000000,624280081.000000,253635066.000000
12M 2014,4861046155.000000,16075335248.000000,16500000.000000,,,,-4103873869.000000,-1102523069.000000,-6024392155.000000,-11230789093.000000,4861046155.000000,-11600000.000000,,-11600000.000000,,,,,,,,,,,-11600000.000000,-5078065161.000000,3179233816.000000,,-8257298977.000000,,,,,,,,,,,,,,,,,,,,-5078065161.000000,-228619006.000000,253635069.000000,25016063.000000
12M 2015,-468111067.000000,8499475000.000000,,,,,-1720512221.000000,-1663999998.000000,-5583073848.000000,-8967586067.000000,-468111067.000000,40000000.000000,,,,40000000.000000,,,,,,,,,40000000.000000,716968642.000000,,,-7855029101.000000,,,,,,,,300000000.000000,,,,,,,8271997743.000000,,,,,716968642.000000,288857575.000000,25016064.000000,313873639.000000
12M 2016,-4312064010.000000,1064300000.000000,,,-800452114.000000,,-897812513.000000,-835183877.000000,-2842915506.000000,-4575911896.000000,-4312064010.000000,-211600000.000000,,-211600000.000000,,,,,,,,,,,-211600000.000000,6040383152.000000,,,3320720101.000000,,,,,161074189.000000,,,2617078964.000000,,-58490102.000000,,,,,,,,,,6040383152.000000,1516719142.000000,313873639.000000,1830592781.000000
12M 2017,-6232505010.000000,,,4500000000.000000,-3272727272.000000,,-788598460.000000,-2047750367.000000,-4623428911.000000,-7459777738.000000,-6232505010.000000,-34805564728.000000,-32727272728.000000,-383292000.000000,,,,-1695000000.000000,,,,,,,-34805564728.000000,39886870036.000000,,,-66565653.000000,,,,36000000000.000000,,,,6328067992.000000,,-48152303.000000,,,,,-2326480000.000000,,,,,39886870036.000000,-1151199702.000000,1830592781.000000,679393079.000000
