Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2011,0.3,0.24,-62.69,-74.86,-0.0,0.0,-60.51,0.84,-75.86
12M 2012,0.28,0.22,10.95,15.13,0.0,0.0,10.66,0.72,14.13
12M 2013,0.36,0.3,1.32,2.84,0.0,0.0,1.21,0.47,1.84
12M 2014,1.43,1.33,0.93,2.44,0.0,0.0,0.73,0.38,1.44
12M 2015,2.08,2.0,0.49,1.62,0.0,0.0,0.32,0.3,0.62
12M 2016,0.91,0.8,0.54,1.71,0.0,0.0,0.49,0.32,0.71
12M 2017,1.23,1.12,0.49,1.65,0.0,0.0,0.43,0.3,0.65
12M 2018,3.52,3.27,0.77,1.91,0.0,0.0,0.7,0.41,0.91
12M 2019,0.51,0.46,1.09,2.28,0.0,0.0,1.07,0.48,1.28
12M 2020,0.45,0.4,1.92,3.46,0.0,0.0,1.88,0.56,2.46
12M 2021,2.59,2.48,0.01,1.29,0.0,0.0,-0.15,0.01,0.13
12M 2022,1.54,1.43,0.2,1.42,0.0,0.0,0.12,0.14,0.32
12M 2023,0.87,0.77,0.26,1.48,0.0,0.0,0.23,0.18,0.38
12M 2024,0.74,0.66,0.26,1.47,0.0,0.0,0.22,0.17,0.38
