Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Others,Total Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,18177084410.000000,379937210183.000000,191193970185.000000,188743239998.000000,379937210183.000000,10611586650.000000,10611586650.000000,,10611586650.000000,441378732943.000000,41094648389.000000,891199262575.000000,,191497823302.000000,10982771404.000000,5837670388.000000,,27264820049.000000,235583085143.000000,1126782347718.000000,,,751464349885.000000,456703382107.000000,,25568847526.000000,250064270053.000000,275633117579.000000,10156106074.000000,402001621.000000,,2789049800.000000,2789049800.000000,1398234402.000000,4382458302.000000,751464349885.000000,15440119014.000000,,9358024233.000000,9358024233.000000,6082094781.000000,15440119014.000000,766904468899.000000,,205583400000.000000,7750980000.000000,7750980000.000000,7750980000.000000,142672214051.000000,8100000000.000000,134572214051.000000,142672214051.000000,3871284768.000000,,359877878819.000000,1126782347718.000000,205583400.000000
12M 2009,,,65581091883.000000,356718615650.000000,197684014913.000000,159034600737.000000,356718615650.000000,23718122471.000000,12718122471.000000,11000000000.000000,23718122471.000000,286040327051.000000,53832102357.000000,785890259412.000000,,195779026980.000000,11942008866.000000,5854430320.000000,,43289312144.000000,256864778310.000000,1042755037722.000000,,,653307978384.000000,356817419328.000000,,39739400272.000000,208524729940.000000,248264130212.000000,2598077419.000000,854134719.000000,,4080413303.000000,4080413303.000000,,40693803403.000000,653307978384.000000,10494864944.000000,,2000000000.000000,2000000000.000000,8494864944.000000,10494864944.000000,663802843328.000000,,205583400000.000000,7750980000.000000,7750980000.000000,7750980000.000000,161739350719.000000,14867502000.000000,146871848719.000000,161739350719.000000,3878463674.000000,,378952194393.000000,1042755037721.000000,205583400.000000
12M 2010,,,101232899220.000000,500731355138.000000,217285657506.000000,283445697632.000000,500731355138.000000,5746734501.000000,5746734501.000000,,5746734501.000000,278343586975.000000,23706713184.000000,909761289018.000000,,188389415417.000000,12695719493.000000,4996392541.000000,,41770229116.000000,247851756567.000000,1157613045585.000000,,,719376688552.000000,414299903032.000000,,44382896815.000000,225828062155.000000,270210958970.000000,3163635575.000000,1143792634.000000,,,,,30558398341.000000,719376688552.000000,9708138323.000000,,,,9708138323.000000,9708138323.000000,729084826875.000000,,205583400000.000000,7750980000.000000,7750980000.000000,7750980000.000000,210167939170.000000,9700000000.000000,200467939170.000000,210167939170.000000,5025899540.000000,,428528218710.000000,1157613045585.000000,205583400.000000
12M 2011,,,289192960770.000000,696838609371.000000,243250056726.000000,453588552645.000000,696838609371.000000,563643725.000000,563643725.000000,,563643725.000000,202116192397.000000,3595713490.000000,1192307119753.000000,,203107841765.000000,12750540243.000000,4487107196.000000,,42967948080.000000,263313437284.000000,1455620557037.000000,,,923584989481.000000,500486519812.000000,,50556186725.000000,317725033530.000000,368281220255.000000,13144966511.000000,2707445877.000000,,,,,38964837026.000000,923584989481.000000,12783373516.000000,,,,12783373516.000000,12783373516.000000,936368362997.000000,,205583400000.000000,7750980000.000000,7750980000.000000,7750980000.000000,301577998173.000000,12700000000.000000,288877998173.000000,301577998173.000000,4339815867.000000,,519252194040.000000,1455620557037.000000,205583400.000000
12M 2012,,,260477920280.000000,717915208307.000000,253311048752.000000,464604159555.000000,717915208307.000000,462296120.000000,462296120.000000,,462296120.000000,215827086051.000000,2520645006.000000,1197203155764.000000,,224805505434.000000,12750540243.000000,3554550787.000000,,48607619132.000000,289718215596.000000,1486921371360.000000,,,818847218588.000000,383646171150.000000,,42068367495.000000,341575454454.000000,383643821949.000000,9999829843.000000,2870032662.000000,,,,,38687362984.000000,818847218588.000000,14029488041.000000,,,,14029488041.000000,14029488041.000000,832876706629.000000,,205583400000.000000,7750980000.000000,7750980000.000000,7750980000.000000,436096910349.000000,17700000000.000000,418396910349.000000,436096910349.000000,4613374382.000000,,654044664731.000000,1486921371360.000000,205583400.000000
12M 2013,,,294288327732.000000,798936744420.000000,281409357670.000000,517527386750.000000,798936744420.000000,589154049.000000,589154049.000000,,589154049.000000,299424993216.000000,61382802824.000000,1454622022241.000000,,254393859170.000000,12750540243.000000,2855885117.000000,,37409993352.000000,307410277882.000000,1762032300123.000000,,,1043362648524.000000,500000000000.000000,,71337697944.000000,428040354569.000000,499378052513.000000,13903653936.000000,5909716203.000000,,,,,24171225872.000000,1043362648524.000000,11058522445.000000,,,,11058522445.000000,11058522445.000000,1054421170969.000000,,205583400000.000000,7750980000.000000,7750980000.000000,7750980000.000000,489339778514.000000,25700000000.000000,463639778514.000000,489339778514.000000,4936970640.000000,,707611129154.000000,1762032300123.000000,205583400.000000
12M 2014,,,116093710278.000000,839963857293.000000,285215480411.000000,554748376882.000000,839963857293.000000,639804895.000000,639804895.000000,,639804895.000000,274129087012.000000,62950262825.000000,1293776722303.000000,,295398107771.000000,12750540243.000000,2932989904.000000,,51148829789.000000,362230467707.000000,1656007190010.000000,,,826026927582.000000,352564199535.000000,,59878914702.000000,371089112292.000000,430968026994.000000,16279234746.000000,2460907355.000000,,,,,23754558952.000000,826026927582.000000,15587742547.000000,,,,15587742547.000000,15587742547.000000,841614670129.000000,,205583400000.000000,7750980000.000000,7750980000.000000,7750980000.000000,595263875034.000000,30700000000.000000,564563875034.000000,595263875034.000000,5794264847.000000,,814392519881.000000,1656007190010.000000,205583400.000000
12M 2015,,,340056100822.000000,712904601474.000000,258073958313.000000,454830643161.000000,712904601474.000000,1036417015.000000,1036417015.000000,,1036417015.000000,293477384474.000000,33442932835.000000,1380917436620.000000,,317988081159.000000,9669540243.000000,4785420787.000000,,59783849823.000000,392226892012.000000,1773144328632.000000,,,819137955839.000000,450000000000.000000,,67049386523.000000,237995256264.000000,305044642787.000000,17349780881.000000,5296671686.000000,,,,,41446860485.000000,819137955839.000000,31653868971.000000,,,,31653868971.000000,31653868971.000000,850791824810.000000,,205583400000.000000,7750980000.000000,7750980000.000000,7750980000.000000,703003187490.000000,36700000000.000000,666303187490.000000,703003187490.000000,6014936332.000000,,922352503822.000000,1773144328632.000000,205583400.000000
12M 2016,,,965366911708.000000,589745189803.000000,213425342795.000000,376319847008.000000,589745189803.000000,1869900567.000000,1869900567.000000,,1869900567.000000,355622092371.000000,106584751172.000000,2019188845621.000000,,322517672904.000000,9669540243.000000,6133299957.000000,,92426132861.000000,430746645965.000000,2449935491586.000000,,,1195158412670.000000,600000000000.000000,,131078521500.000000,413892451657.000000,544970973157.000000,38132324457.000000,3510011465.000000,,,,,8545103591.000000,1195158412670.000000,34356405692.000000,,,,34356405692.000000,34356405692.000000,1229514818362.000000,,205583400000.000000,10069713372.000000,10069713372.000000,10069713372.000000,998651190605.000000,43700000000.000000,954951190605.000000,998651190605.000000,6116369247.000000,,1220420673224.000000,2449935491586.000000,205583400.000000
12M 2017,,,777824888541.000000,780650761560.000000,315274291439.000000,465376470121.000000,780650761560.000000,4138729201.000000,4138729201.000000,,4138729201.000000,482618892149.000000,125779487482.000000,2171012758933.000000,,1687349407527.000000,9669540243.000000,14076246788.000000,,132136636215.000000,1843231830773.000000,4014244589706.000000,,,1246236997513.000000,601666049201.000000,,184841549144.000000,427432010971.000000,612273560115.000000,8605736348.000000,1829982481.000000,,,,,21861669368.000000,1246236997513.000000,39780108199.000000,,,,39780108199.000000,39780108199.000000,1286017105712.000000,,205583400000.000000,17639679641.000000,17639679641.000000,17639679641.000000,1218622779509.000000,53700000000.000000,1164922779509.000000,1218622779509.000000,6530372920.000000,1279851251924.000000,2728227483994.000000,4014244589706.000000,205583400.000000
