Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,1.19,0.6,1.32,3.17,0.0,0.0,1.27,0.42,2.15
12M 2009,1.2,0.77,0.97,2.78,0.0,0.0,0.79,0.35,1.77
12M 2010,1.26,0.88,0.98,2.73,0.0,0.0,0.74,0.36,1.72
12M 2011,1.29,1.07,0.97,2.83,0.0,0.0,0.41,0.34,1.82
12M 2012,1.46,1.2,0.59,2.29,0.0,0.0,0.19,0.26,1.28
12M 2013,1.39,1.11,0.71,2.51,0.0,0.0,0.29,0.28,1.5
12M 2014,1.57,1.23,0.44,2.05,0.0,0.0,0.29,0.21,1.04
12M 2015,1.69,1.33,0.49,1.94,0.0,0.0,0.12,0.25,0.93
12M 2016,1.69,1.39,0.49,2.02,0.0,0.0,-0.3,0.24,1.01
12M 2017,1.74,1.35,0.22,1.47,0.0,0.0,-0.06,0.15,0.47
12M 2018,1.91,1.23,0.15,1.43,0.0,0.0,0.02,0.11,0.43
12M 2019,2.09,1.31,0.19,1.39,0.0,0.0,0.01,0.14,0.4
12M 2020,4.43,3.47,0.0,1.14,0.0,0.0,-0.31,0.0,0.14
12M 2021,6.82,5.26,0.0,1.06,0.0,0.0,-0.21,0.0,0.06
12M 2022,5.43,3.8,0.0,1.08,0.0,0.0,-0.12,0.0,0.08
12M 2023,5.94,4.26,0.0,1.08,0.0,0.0,-0.16,0.0,0.08
12M 2024,7.76,5.5,0.0,1.06,0.0,0.0,-0.15,0.0,0.06
