Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2008,(74 B),(44 B),(118 B),-574.60
12M 2009,185 B,(26 B),158 B,769.23
12M 2010,(30 B),7 B,(23 B),-113.55
12M 2011,134 B,(15 B),119 B,580.84
12M 2012,137 B,(22 B),115 B,561.60
12M 2013,21 B,(49 B),(28 B),-136.09
12M 2014,62 B,(49 B),13 B,63.72
12M 2015,198 B,(34 B),164 B,796.52
12M 2016,523 B,(33 B),490 B,2382.47
12M 2017,(70 B),(67 B),(138 B),-669.32
12M 2018,(133 B),(39 B),(172 B),-838.58
12M 2019,128 B,(46 B),82 B,400.23
12M 2020,"1,206 B",(52 B),"1,154 B",5611.98
12M 2021,47 B,(70 B),(23 B),-114.10
12M 2022,(294 B),(71 B),(364 B),-1771.85
12M 2023,297 B,(56 B),242 B,1176.66
12M 2024,193 B,(103 B),89 B,435.28
