Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2008,0.21 B,51.64,28.08,0.14,,0.94%,2.98%,34.73%,1.68
12M 2009,0.21 B,88.73,14.76,0.18,,1.75%,4.86%,7.36%,0.96
12M 2010,0.21 B,296.57,6.58,0.18,,5.27%,14.40%,23.08%,5.04
12M 2011,0.21 B,532.97,5.86,0.19,,7.53%,21.28%,34.78%,9.52
12M 2012,0.21 B,824.33,4.91,0.24,,11.40%,26.09%,36.03%,11.73
12M 2013,0.21 B,508.98,8.64,0.24,,5.94%,14.89%,23.08%,9.55
12M 2014,0.21 B,665.24,5.94,0.22,,8.26%,16.91%,29.33%,4.32
12M 2015,0.21 B,772.92,4.82,0.22,,8.96%,17.34%,25.21%,5.23
12M 2016,0.21 B,1656.22,4.39,0.40,,13.90%,28.04%,37.11%,13.49
12M 2017,0.21 B,1310.01,6.87,0.42,,6.71%,9.90%,15.74%,12.32
12M 2018,0.21 B,1280.38,6.79,0.35,406.74 B,6.32%,9.03%,12.38%,10.91
12M 2019,0.21 B,1533.33,5.98,0.33,504.88 B,7.16%,9.99%,14.65%,8.14
12M 2020,0.21 B,1157.11,9.07,0.47,342.36 B,6.36%,7.23%,9.01%,14.15
12M 2021,0.21 B,683.37,15.22,0.43,199.98 B,2.99%,3.18%,3.81%,
12M 2022,0.21 B,517.89,16.70,0.33,167.39 B,2.08%,2.24%,2.28%,
12M 2023,0.21 B,1153.91,7.11,0.29,310.39 B,4.45%,4.79%,5.05%,
12M 2024,0.21 B,1431.89,1.52,0.06,411.41 B,5.16%,5.47%,6.63%,
