Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Investasi Jangka Pendek,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Goodwill,Aset Tak Berwujud,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pihak Berelasi,Utang Obligasi,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Sewa Pembiayaan,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,405444854000.000000,589899862000.000000,589899862000.000000,,589899862000.000000,7890759000.000000,5770096000.000000,2120663000.000000,7890759000.000000,180798976000.000000,,28032038000.000000,1212066489000.000000,,,8373033000.000000,394815376000.000000,,523331937000.000000,,,,183715066000.000000,1110235412000.000000,2322301901000.000000,,,380737783000.000000,,,157956126000.000000,527230000.000000,158483356000.000000,,9713517000.000000,485184000.000000,10198701000.000000,127912968000.000000,77791312000.000000,,,,,,,,,6351446000.000000,380737783000.000000,585603666000.000000,,,,,,,,,572341740000.000000,13261926000.000000,585603666000.000000,966341449000.000000,,475204625000.000000,529510172000.000000,327838189000.000000,6000000000.000000,321838189000.000000,327838189000.000000,,23407466000.000000,1355960452000.000000,2322301901000.000000,1900800000.000000
12M 2009,,,483127293000.000000,544096452000.000000,544086717000.000000,9735000.000000,544096452000.000000,10246405000.000000,4096445000.000000,6149960000.000000,10246405000.000000,203735490000.000000,,34400081000.000000,1275605721000.000000,,,14284326000.000000,368629476000.000000,33484219000.000000,482815916000.000000,,,,185016923000.000000,1084230860000.000000,2359836581000.000000,,,370203585000.000000,,,158851509000.000000,126057000.000000,158977566000.000000,,26220625000.000000,685937000.000000,26906562000.000000,127949917000.000000,52566830000.000000,,,,,,,,,3802710000.000000,370203585000.000000,593953598000.000000,,,,,,,,,573108274000.000000,20845324000.000000,593953598000.000000,964157183000.000000,,477744595000.000000,533315772000.000000,365002165000.000000,7000000000.000000,358002165000.000000,365002165000.000000,15000000.000000,19601866000.000000,1395679398000.000000,2359836581000.000000,1910978380.000000
12M 2010,,,712211789000.000000,569271628000.000000,569261893000.000000,9735000.000000,569271628000.000000,5774144000.000000,5774144000.000000,,5774144000.000000,199945610000.000000,,29270032000.000000,1516473203000.000000,,1988319000.000000,13132367000.000000,361172927000.000000,,,444243640000.000000,,1000000000.000000,177556931000.000000,999094184000.000000,2515567387000.000000,,,427559384000.000000,,,171400756000.000000,6339803000.000000,177740559000.000000,,16232201000.000000,,16232201000.000000,157729477000.000000,68236342000.000000,,,,,,,,,7620805000.000000,427559384000.000000,601241740000.000000,,,158697000.000000,,,158697000.000000,,,573801643000.000000,27281400000.000000,601241740000.000000,1028801124000.000000,,480389008000.000000,538128602000.000000,453445617000.000000,8000000000.000000,445445617000.000000,453445617000.000000,14000000.000000,14789036000.000000,1486766263000.000000,2515567387000.000000,1921556030.000000
12M 2011,,,716716772000.000000,601287935000.000000,601287935000.000000,,601287935000.000000,25757350000.000000,25757350000.000000,,25757350000.000000,164426802000.000000,,26062877000.000000,1534251736000.000000,,2576466000.000000,32146618000.000000,328681442000.000000,,,442299895000.000000,,,171265698000.000000,976970119000.000000,2511221855000.000000,,,971756799000.000000,,,121185022000.000000,19368250000.000000,140553272000.000000,,21655895000.000000,,21655895000.000000,175174264000.000000,53026631000.000000,,,574572025000.000000,,,,574572025000.000000,,6774712000.000000,971756799000.000000,35193620000.000000,,,,,,,,,,35193620000.000000,35193620000.000000,1006950419000.000000,,483602416000.000000,544416984000.000000,467143266000.000000,9000000000.000000,458143266000.000000,467143266000.000000,608116000.000000,8500654000.000000,1504271436000.000000,2511221855000.000000,1934409664.000000
12M 2012,,,927422915000.000000,704554748000.000000,704554748000.000000,,704554748000.000000,17343275000.000000,12981229000.000000,4362046000.000000,17343275000.000000,222674098000.000000,,45046113000.000000,1917041149000.000000,,,37032848000.000000,326717279000.000000,,,442299895000.000000,,,170081231000.000000,976131253000.000000,2893172402000.000000,,,416148514000.000000,,,89006308000.000000,70744561000.000000,159750869000.000000,,26708634000.000000,,26708634000.000000,148932358000.000000,69575109000.000000,,,,,,,,,11181544000.000000,416148514000.000000,288584611000.000000,,,250000000000.000000,,,250000000000.000000,,,,38584611000.000000,288584611000.000000,704733125000.000000,,487500000000.000000,563713272000.000000,1136538470000.000000,10000000000.000000,1126538470000.000000,1136538470000.000000,725719000.000000,-38184000.000000,2188439277000.000000,2893172402000.000000,9750000000.000000
12M 2013,,,1043282766000.000000,995301383000.000000,995191383000.000000,110000000.000000,995301383000.000000,19383471000.000000,16190257000.000000,3193214000.000000,19383471000.000000,374638776000.000000,,137560972000.000000,2570167368000.000000,,,59543474000.000000,724969868000.000000,,,445237356000.000000,,,210248310000.000000,1439999008000.000000,4010166376000.000000,,,705699622000.000000,,,192955665000.000000,4685136000.000000,197640801000.000000,,107372619000.000000,40488000.000000,107413107000.000000,235468829000.000000,91904258000.000000,,50000000000.000000,,,1484463000.000000,,51484463000.000000,,21788164000.000000,705699622000.000000,515009516000.000000,,,448323782000.000000,,,448323782000.000000,,667910000.000000,,66017824000.000000,515009516000.000000,1220709138000.000000,,731080062000.000000,281905633000.000000,1724867296000.000000,11000000000.000000,1713867296000.000000,1724867296000.000000,51645048000.000000,-40801000.000000,2789457238000.000000,4010166376000.000000,14621601234.000000
12M 2014,,,1246109484000.000000,1269611447000.000000,1268526437000.000000,1085010000.000000,1269611447000.000000,21762945000.000000,17810171000.000000,3952774000.000000,21762945000.000000,462439039000.000000,,200443009000.000000,3200365924000.000000,,,69496782000.000000,761977973000.000000,,,445237356000.000000,24057099000.000000,,227300537000.000000,1528069747000.000000,4728435671000.000000,,,819157784000.000000,,,222484500000.000000,8321295000.000000,230805795000.000000,,104504059000.000000,7920000.000000,104511979000.000000,246909056000.000000,126580771000.000000,,100000000000.000000,,,1629729000.000000,,101629729000.000000,,8720454000.000000,819157784000.000000,431089859000.000000,,,348395791000.000000,,,348395791000.000000,,1504752000.000000,,81189316000.000000,431089859000.000000,1250247643000.000000,,731080062000.000000,281905633000.000000,2432821214000.000000,12000000000.000000,2420821214000.000000,2432821214000.000000,32421920000.000000,-40801000.000000,3478188028000.000000,4728435671000.000000,14621601234.000000
12M 2015,,,685721894000.000000,1380266486000.000000,1358070660000.000000,22195826000.000000,1380266486000.000000,31605698000.000000,27217750000.000000,4387948000.000000,31605698000.000000,532656198000.000000,,213249262000.000000,2843499538000.000000,,,73324888000.000000,962114344000.000000,,,449889412000.000000,24393513000.000000,,212741881000.000000,1722464038000.000000,4565963576000.000000,,,860469667000.000000,,,138238662000.000000,16829725000.000000,155068387000.000000,,104592551000.000000,124377000.000000,104716928000.000000,271985342000.000000,133887909000.000000,,148237730000.000000,,,1322905000.000000,,149560635000.000000,,45250466000.000000,860469667000.000000,291818197000.000000,,,205764012000.000000,,,205764012000.000000,,928288000.000000,,85125897000.000000,291818197000.000000,1152287864000.000000,,731080062000.000000,278306317000.000000,2100622139000.000000,13000000000.000000,2087622139000.000000,2100622139000.000000,267312655000.000000,36354539000.000000,3413675712000.000000,4565963576000.000000,14621601234.000000
12M 2016,,,454731888000.000000,1484303134000.000000,1466722274000.000000,17580860000.000000,1484303134000.000000,49208578000.000000,39855086000.000000,9353492000.000000,49208578000.000000,689290667000.000000,,274646602000.000000,2952180869000.000000,,,87652859000.000000,966766368000.000000,,,457208041000.000000,26245102000.000000,98623500000.000000,231935202000.000000,1868431072000.000000,4820611941000.000000,,,990467600000.000000,,,237118103000.000000,8796217000.000000,245914320000.000000,,135889840000.000000,3614238000.000000,139504078000.000000,279686239000.000000,95026700000.000000,,206227082000.000000,,,618847000.000000,,206845929000.000000,,23490334000.000000,990467600000.000000,124736185000.000000,,,,,,,,470361000.000000,,124265824000.000000,124736185000.000000,1115203785000.000000,,731080062000.000000,278632812000.000000,2387980793000.000000,14000000000.000000,2373980793000.000000,2387980793000.000000,278855111000.000000,28859378000.000000,3705408156000.000000,4820611941000.000000,14621601234.000000
12M 2017,,,233516750000.000000,1530461177000.000000,1450977684000.000000,79483493000.000000,1530461177000.000000,25900037000.000000,20882763000.000000,5017274000.000000,25900037000.000000,765984810000.000000,,152743659000.000000,2708606433000.000000,,,,1029335550000.000000,,,1271396822000.000000,37249699000.000000,98623500000.000000,240595874000.000000,2677201445000.000000,5385807878000.000000,,,743336338000.000000,,,284782534000.000000,12841242000.000000,297623776000.000000,,128682308000.000000,11021351000.000000,139703659000.000000,164724785000.000000,64290800000.000000,,60327914000.000000,,1768955000.000000,2876517000.000000,,64973386000.000000,,12019932000.000000,743336338000.000000,237078280000.000000,,,,,,,74289698000.000000,2051029000.000000,,160737553000.000000,237078280000.000000,980414618000.000000,,731080062000.000000,278632812000.000000,2871400883000.000000,15000000000.000000,2856400883000.000000,2871400883000.000000,504254196000.000000,20025307000.000000,4405393260000.000000,5385807878000.000000,14621601234.000000
