Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2008,3.18,2.71,0.42,1.71,0.0,0.0,0.12,0.25,0.71
12M 2009,3.45,2.9,0.41,1.69,0.0,0.0,0.06,0.24,0.69
12M 2010,3.55,3.08,0.39,1.69,0.0,0.0,-0.09,0.23,0.69
12M 2011,1.58,1.41,0.38,1.67,0.0,0.0,-0.09,0.23,0.67
12M 2012,4.61,4.07,0.11,1.32,0.0,0.0,-0.31,0.09,0.32
12M 2013,3.64,3.11,0.16,1.46,0.0,0.0,-0.22,0.11,0.45
12M 2014,3.91,3.34,0.1,1.37,0.0,0.0,-0.26,0.07,0.36
12M 2015,3.3,2.69,0.07,1.45,0.0,0.0,-0.15,0.05,0.37
12M 2016,2.98,2.28,0.0,1.41,0.0,0.0,-0.13,0.0,0.33
12M 2017,3.64,2.61,0.0,1.38,0.0,0.0,-0.06,0.0,0.25
12M 2018,4.26,3.09,0.0,1.34,0.0,0.0,-0.18,0.0,0.23
12M 2019,3.6,2.66,0.0,1.37,0.0,0.0,-0.11,0.0,0.25
12M 2020,2.34,1.91,0.4,2.07,0.0,0.0,0.19,0.19,0.88
12M 2021,3.92,3.46,0.09,1.55,0.0,0.0,-0.41,0.06,0.38
12M 2022,3.66,3.14,0.04,1.45,0.0,0.0,-0.27,0.03,0.3
12M 2023,3.26,2.73,0.0,1.48,0.0,0.0,-0.08,0.0,0.34
12M 2024,3.3,2.77,0.0,1.45,0.0,0.0,-0.34,0.0,0.33
