Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,2.69,,4.66,,4.45,,0.73,2.07,2.07,3.18
12M 2009,128.19,90.54,74.75,143.98,2.85,2.92,4.03,3.72,4.23,4.15,0.69,0.68,1.78,1.78,3.45
12M 2010,105.39,94.97,79.22,121.14,3.46,3.23,3.84,3.94,5.28,5.55,0.79,0.78,1.77,1.77,3.55
12M 2011,92.61,93.79,81.93,104.47,3.94,3.4,3.89,4.4,6.69,6.9,0.92,0.88,4.1,4.1,1.58
12M 2012,106.39,102.19,79.28,129.3,3.43,3.11,3.57,3.13,6.84,6.87,0.83,0.81,1.49,1.49,4.61
12M 2013,83.96,84.83,50.75,118.04,4.35,3.62,4.3,3.54,7.03,5.1,1.07,0.91,1.98,1.98,3.64
12M 2014,101.92,103.28,52.86,152.34,3.58,3.07,3.53,3.25,5.46,5.45,0.93,0.89,1.7,1.7,3.91
12M 2015,114.11,118.99,46.14,186.96,3.2,3.1,3.07,2.93,4.92,4.47,0.91,0.89,2.14,2.14,3.3
12M 2016,115.55,125.11,41.06,199.6,3.16,3.01,2.92,2.72,4.69,4.66,0.96,0.89,2.31,2.31,2.98
12M 2017,123.53,144.76,54.07,214.22,2.95,2.81,2.52,2.27,4.46,4.4,0.87,0.81,2.27,2.27,3.64
12M 2018,110.79,144.55,56.39,198.95,3.29,3.16,2.53,2.36,4.81,4.76,0.87,0.81,1.91,1.91,4.26
12M 2019,106.96,119.04,49.48,176.52,3.41,3.18,3.07,3.05,4.33,3.69,0.86,0.8,2.15,2.15,3.6
12M 2020,128.24,116.84,55.61,189.47,2.85,3.05,3.12,3.17,3.42,3.47,0.76,0.75,2.47,2.47,2.34
12M 2021,117.12,91.94,53.35,155.71,3.12,3.22,3.97,3.81,3.92,3.9,0.71,0.7,1.19,1.19,3.92
12M 2022,108.61,77.45,44.03,142.03,3.36,3.17,4.71,4.22,4.44,4.33,0.68,0.64,1.29,1.29,3.66
12M 2023,128.0,97.09,48.78,176.31,2.85,2.9,3.76,3.61,3.73,3.69,0.59,0.6,1.26,1.26,3.26
12M 2024,109.72,95.81,42.66,162.87,3.33,3.42,3.81,3.77,3.82,3.76,0.65,0.65,1.4,1.4,3.3
