Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,6.59,,7.22,,92.35,,2.91,12.44,12.44,1.32
12M 2009,46.82,40.77,43.64,43.95,7.8,6.67,8.95,7.57,110.19,112.12,3.51,3.1,12.66,12.66,1.49
12M 2010,54.73,46.59,37.22,64.1,6.67,6.37,7.83,7.13,100.94,61.8,3.07,2.86,11.29,11.29,1.42
12M 2011,50.92,44.76,35.1,60.58,7.17,6.67,8.15,7.61,123.72,127.74,3.24,3.07,11.97,11.97,1.37
12M 2012,50.03,44.4,40.55,53.88,7.3,6.72,8.22,7.87,153.26,156.46,3.31,3.09,11.96,11.96,1.37
12M 2013,53.32,50.83,45.57,58.58,6.85,6.39,7.18,6.86,168.69,160.89,3.06,2.88,11.82,11.82,1.33
12M 2014,53.78,53.72,43.24,64.26,6.79,6.6,6.79,6.81,147.94,137.16,2.87,2.77,12.3,12.3,1.3
12M 2015,52.09,52.04,40.75,63.38,7.01,6.08,7.01,6.58,158.37,164.9,2.94,2.74,13.09,13.09,1.27
12M 2016,53.22,53.58,44.97,61.83,6.86,6.18,6.81,6.74,152.39,147.41,2.88,2.72,14.53,14.53,1.24
12M 2017,56.37,56.8,53.31,59.86,6.48,5.88,6.43,6.07,125.52,128.52,2.53,2.34,14.84,14.84,1.2
12M 2018,64.1,65.62,62.89,66.83,5.69,4.82,5.56,5.13,124.76,121.54,2.23,2.07,15.04,15.04,1.17
12M 2019,66.0,67.72,62.45,71.27,5.53,5.2,5.39,5.55,121.95,119.41,2.25,2.19,18.91,18.91,1.15
12M 2020,67.37,64.71,62.78,69.3,5.42,5.5,5.64,6.06,113.44,121.36,2.21,2.25,21.04,21.04,1.14
12M 2021,55.98,55.98,54.6,57.36,6.52,5.77,6.52,5.51,142.94,149.41,2.52,2.29,23.4,23.4,1.14
12M 2022,56.23,61.75,54.91,63.07,6.49,5.51,5.91,5.77,162.28,166.82,2.45,2.31,21.94,21.94,1.13
12M 2023,65.4,63.84,60.28,68.96,5.58,4.86,5.72,5.84,69.59,68.36,2.21,2.11,20.94,20.94,1.12
12M 2024,64.84,56.22,54.68,66.38,5.63,5.03,6.49,6.37,49.54,50.51,2.3,2.2,26.05,26.05,1.11
