Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Karyawan,Penerimaan Taksiran Tagihan Pajak Penghasilan,Pendapatan Keuangan,Pembayaran Pajak Penghasilan,Restitusi Pajak Penghasilan,Pembayaran Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penurunan (Penambahan) Aset Tidak Lancar Lainnya,Penambahan Aset Tidak Berwujud,Penambahan Aset Dalam Penyelesaian,Perolehan Penyertaan Saham,Penurunan (Kenaikan) Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Sewa Pembiayaan,Pembayaran Liabilitas Sewa Jangka Panjang,Deviden Kas,Penerimaan Dari Penawaran Umum Terbatas,Pembayaran Biaya Emisi Saham,Penerimaan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Uang Muka,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penempatan Deposito Yang Dibatasi Penggunaanya,Kas Dan Setara Kas Akhir Periode
12M 2008,-23586630712.000000,846602024088.000000,-860027514006.000000,,110589887.000000,-5255263202.000000,,-5016467479.000000,-23586630712.000000,-9833009295.000000,260460000.000000,-1442915182.000000,-29705297.000000,,-8620848816.000000,,,-9833009295.000000,41825236049.000000,32389985590.000000,,,-564749541.000000,,,,,,,10000000000.000000,41825236049.000000,8405596042.000000,28975829001.000000,,21800000.000000,37403225043.000000
12M 2009,-11349739581.000000,1018956841768.000000,-1012203450999.000000,,237235268.000000,-8598588775.000000,,-9741776843.000000,-11349739581.000000,-6222164532.000000,225395000.000000,-1659335532.000000,-33900000.000000,-4754324000.000000,,,,-6222164532.000000,-2817358501.000000,7614711689.000000,,,-432070190.000000,,,,,,,-10000000000.000000,-2817358501.000000,-20389262614.000000,37403225043.000000,,,17013962429.000000
12M 2010,-15018926362.000000,834756167733.000000,-835349659627.000000,,271092210.000000,-4386318759.000000,,-10310207919.000000,-15018926362.000000,-1872550495.000000,278000000.000000,-626885713.000000,-175739420.000000,-1347925362.000000,,,,-1872550495.000000,18556827771.000000,19053268714.000000,,,-496440943.000000,,,,,,,,18556827771.000000,1665350914.000000,17013962429.000000,,,18679313343.000000
12M 2011,-10698952163.000000,951970388610.000000,-949472692134.000000,,282496656.000000,-2383376664.000000,,-11095768631.000000,-10698952163.000000,-1058097245.000000,620175057.000000,-1761966403.000000,83694101.000000,,,,,-1058097245.000000,11400585644.000000,11449951994.000000,,,-49366350.000000,,,,,,,,11400585644.000000,-356463764.000000,18679313343.000000,350042.000000,,18323199621.000000
12M 2012,2194924506.000000,1141302794478.000000,-1128739301289.000000,2494160264.000000,307351673.000000,-3320509652.000000,,-9849570968.000000,2194924506.000000,-149598910.000000,1114039999.000000,-1250138909.000000,-13500000.000000,,,,,-149598910.000000,7125628826.000000,7180462690.000000,,,-54833864.000000,,,,,,,,7125628826.000000,9170954422.000000,18323199621.000000,2669273.000000,,27496823316.000000
12M 2013,-53667192035.000000,1277200267139.000000,-1311783730154.000000,,271026733.000000,-6904176410.000000,,-12450579343.000000,-53667192035.000000,-2361069621.000000,665100000.000000,-3021329621.000000,-4840000.000000,,,,,-2361069621.000000,47199185890.000000,47260092816.000000,,,-60906926.000000,,,,,,,,47199185890.000000,-8829075766.000000,27496823316.000000,10960709.000000,,18678708259.000000
12M 2014,-4726117716.000000,1425668903084.000000,-1402786607754.000000,,348365792.000000,-6654835337.000000,,-21301943501.000000,-4726117716.000000,-4182321600.000000,173745000.000000,-4346066600.000000,-10000000.000000,,,,,-4182321600.000000,53639068861.000000,54132162731.000000,,-437186284.000000,-55907586.000000,,,,,,,,53639068861.000000,44730629545.000000,18678708259.000000,10607786.000000,,63419945590.000000
12M 2015,-68741516504.000000,1652227553094.000000,-1687070781959.000000,,568770858.000000,-7420746220.000000,,-27046312277.000000,-68741516504.000000,-2661348401.000000,360450200.000000,-2699823601.000000,-321975000.000000,,,,,-2661348401.000000,41984419254.000000,42271384104.000000,,-286964850.000000,,,,,,,,,41984419254.000000,-29418445651.000000,63419945590.000000,5548291.000000,,34007048230.000000
12M 2016,-26987182103.000000,1934718661040.000000,-1922991549087.000000,,117910417.000000,-10291705543.000000,2211461507.000000,-30751960437.000000,-26987182103.000000,-8303058253.000000,114800000.000000,-8453048253.000000,35190000.000000,,,,,-8303058253.000000,34844823656.000000,37363826005.000000,,-2184000000.000000,-335002349.000000,,,,,,,,34844823656.000000,-445416700.000000,34007048230.000000,-1437884.000000,,33560193646.000000
12M 2017,-20717530026.000000,2064465223708.000000,-2048073312906.000000,,136951279.000000,-11424370820.000000,1093752970.000000,-26915774257.000000,-20717530026.000000,-60566916144.000000,47850000.000000,-6614766144.000000,,,,-54000000000.000000,,-60566916144.000000,104185617118.000000,48633198026.000000,,-1456000000.000000,-351989972.000000,,,60060000000.000000,-2699590936.000000,,,,104185617118.000000,22901170948.000000,33560193646.000000,436980.000000,,56461801574.000000
12M 2018,-126981520345.000000,2234404169614.000000,-2318970182951.000000,,148652162.000000,-12576212119.000000,4161414329.000000,-34149361380.000000,-126981520345.000000,-5947637637.000000,407000000.000000,-6354637637.000000,,,,,,-5947637637.000000,114150919176.000000,76535516903.000000,,-2548000000.000000,-8282727.000000,,,,,40171685000.000000,,,114150919176.000000,-18778238806.000000,56461801574.000000,1923659.000000,,37685486427.000000
