Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2012,0.62,0.62,1.81,3.04,1.26,0.41,1.58,0.59,2.04
12M 2013,0.77,0.77,1.05,2.14,0.0,0.0,0.91,0.49,1.14
12M 2014,0.55,0.55,0.56,1.58,0.0,0.0,0.44,0.35,0.58
12M 2015,0.61,0.61,0.33,1.37,0.0,0.0,0.3,0.24,0.37
12M 2016,0.41,0.41,1.19,2.5,0.0,0.0,1.09,0.47,1.28
12M 2017,0.4,0.4,2.08,3.74,0.0,0.0,2.0,0.56,2.28
12M 2018,0.35,0.35,1.69,3.23,0.0,0.0,1.62,0.52,1.88
12M 2019,0.88,0.88,1.36,2.86,0.0,0.0,1.13,0.47,1.5
12M 2020,0.95,0.95,1.12,3.01,0.0,0.0,0.89,0.37,1.63
12M 2021,0.93,0.93,1.36,3.06,0.0,0.0,1.13,0.45,1.64
12M 2022,0.97,0.97,1.48,3.1,0.0,0.0,1.25,0.48,1.7
12M 2023,1.14,1.14,1.6,3.14,0.0,0.0,1.41,0.51,1.72
12M 2024,1.11,1.11,1.47,3.19,0.0,0.0,1.2,0.46,1.73
