Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Properti Investasi,Goodwill,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2012,,,410731000000.000000,,260923000000.000000,260923000000.000000,,260923000000.000000,665766000000.000000,312000000.000000,665454000000.000000,665766000000.000000,235540000000.000000,11890000000.000000,1584850000000.000000,,5025000000.000000,101903000000.000000,,,441794000000.000000,17427000000.000000,566149000000.000000,2150999000000.000000,,,837684000000.000000,298797000000.000000,,163161000000.000000,29615000000.000000,192776000000.000000,,48041000000.000000,39441000000.000000,87482000000.000000,,238146000000.000000,238146000000.000000,19440000000.000000,83000000.000000,960000000.000000,837684000000.000000,8664000000.000000,,8664000000.000000,8664000000.000000,846348000000.000000,,1130000000000.000000,,176442000000.000000,,,176442000000.000000,2000000.000000,-1793000000.000000,1304651000000.000000,2150999000000.000000,1130000.000000
12M 2013,,,1348955000000.000000,200000000000.000000,329975000000.000000,329906000000.000000,69000000.000000,329975000000.000000,132000000000.000000,3263000000.000000,128737000000.000000,132000000000.000000,287729000000.000000,68251000000.000000,2366910000000.000000,,2304000000.000000,,,,556376000000.000000,25917000000.000000,584597000000.000000,2951507000000.000000,,,324747000000.000000,,,155422000000.000000,19597000000.000000,175019000000.000000,,3821000000.000000,11320000000.000000,15141000000.000000,,96662000000.000000,96662000000.000000,37827000000.000000,,98000000.000000,324747000000.000000,1304000000.000000,,1304000000.000000,1304000000.000000,326051000000.000000,,1500000000000.000000,692376000000.000000,432085000000.000000,,,432085000000.000000,2000000.000000,993000000.000000,2625456000000.000000,2951507000000.000000,15000000000.000000
12M 2014,,,864791000000.000000,390000000000.000000,322556000000.000000,322514000000.000000,42000000.000000,322556000000.000000,11702000000.000000,7141000000.000000,4561000000.000000,11702000000.000000,230736000000.000000,40653000000.000000,1860438000000.000000,,,,,91366000000.000000,791081000000.000000,78514000000.000000,960961000000.000000,2821399000000.000000,,,181431000000.000000,,,115317000000.000000,21738000000.000000,137055000000.000000,,6055000000.000000,6417000000.000000,12472000000.000000,,12830000000.000000,12830000000.000000,17368000000.000000,,1706000000.000000,181431000000.000000,5309000000.000000,5309000000.000000,,5309000000.000000,186740000000.000000,,1500000000000.000000,692376000000.000000,442278000000.000000,,,442278000000.000000,5000000.000000,,2634659000000.000000,2821399000000.000000,15000000000.000000
12M 2015,,,836975000000.000000,190000000000.000000,335600000000.000000,335495000000.000000,105000000.000000,335600000000.000000,12130000000.000000,5862000000.000000,6268000000.000000,12130000000.000000,264982000000.000000,67752000000.000000,1707439000000.000000,,,,,91366000000.000000,961873000000.000000,35433000000.000000,1088672000000.000000,2796111000000.000000,,,184060000000.000000,,,127573000000.000000,20180000000.000000,147753000000.000000,,7441000000.000000,3091000000.000000,10532000000.000000,,21475000000.000000,21475000000.000000,3297000000.000000,,1003000000.000000,184060000000.000000,13737000000.000000,167000000.000000,13570000000.000000,13737000000.000000,197797000000.000000,,1500000000000.000000,692376000000.000000,510695000000.000000,57849000000.000000,452846000000.000000,510695000000.000000,7000000.000000,-104764000000.000000,2598314000000.000000,2796111000000.000000,15000000000.000000
12M 2016,,,997135000000.000000,5000000000.000000,367204000000.000000,367145000000.000000,59000000.000000,367204000000.000000,20014000000.000000,8020000000.000000,11994000000.000000,20014000000.000000,317082000000.000000,87690000000.000000,1794125000000.000000,,8091000000.000000,,,91366000000.000000,1051227000000.000000,42805000000.000000,1193489000000.000000,2987614000000.000000,,,215686000000.000000,,,153152000000.000000,24712000000.000000,177864000000.000000,,2705000000.000000,2754000000.000000,5459000000.000000,,27709000000.000000,27709000000.000000,2815000000.000000,,1839000000.000000,215686000000.000000,14043000000.000000,,14043000000.000000,14043000000.000000,229729000000.000000,,1500000000000.000000,705751000000.000000,613914000000.000000,127244000000.000000,486670000000.000000,613914000000.000000,7000000.000000,-61787000000.000000,2757885000000.000000,2987614000000.000000,15000000000.000000
12M 2017,,,902852000000.000000,,427322000000.000000,427248000000.000000,74000000.000000,427322000000.000000,4180000000.000000,4026000000.000000,154000000.000000,4180000000.000000,267915000000.000000,26632000000.000000,1628901000000.000000,,45826000000.000000,,,91366000000.000000,1215176000000.000000,176929000000.000000,1529297000000.000000,3158198000000.000000,,,208507000000.000000,,,107636000000.000000,17262000000.000000,124898000000.000000,,7263000000.000000,3830000000.000000,11093000000.000000,33644000000.000000,,33644000000.000000,36730000000.000000,,2142000000.000000,208507000000.000000,53826000000.000000,8804000000.000000,45022000000.000000,53826000000.000000,262333000000.000000,,1500000000000.000000,705984000000.000000,749666000000.000000,220802000000.000000,528864000000.000000,749666000000.000000,7000000.000000,-59792000000.000000,2895865000000.000000,3158198000000.000000,15000000000.000000
12M 2018,,,805833000000.000000,,408993000000.000000,238574000000.000000,170419000000.000000,408993000000.000000,5910000000.000000,5890000000.000000,20000000.000000,5910000000.000000,311193000000.000000,15737000000.000000,1547666000000.000000,,59358000000.000000,,,91366000000.000000,1553362000000.000000,85876000000.000000,1789962000000.000000,3337628000000.000000,,,368380000000.000000,,,159048000000.000000,22609000000.000000,181657000000.000000,,7622000000.000000,,7622000000.000000,80323000000.000000,,80323000000.000000,85830000000.000000,,12948000000.000000,368380000000.000000,66634000000.000000,10582000000.000000,56052000000.000000,66634000000.000000,435014000000.000000,,1500000000000.000000,706434000000.000000,755452000000.000000,322984000000.000000,432468000000.000000,755452000000.000000,7000000.000000,-59279000000.000000,2902614000000.000000,3337628000000.000000,15000000000.000000
12M 2019,,,864824000000.000000,,529405000000.000000,269281000000.000000,260124000000.000000,529405000000.000000,7699000000.000000,7699000000.000000,,7699000000.000000,299244000000.000000,15063000000.000000,1716235000000.000000,,52005000000.000000,,,91366000000.000000,1593059000000.000000,84233000000.000000,1820663000000.000000,3536898000000.000000,,,416211000000.000000,,,141414000000.000000,12724000000.000000,154138000000.000000,,11214000000.000000,107000000.000000,11321000000.000000,105837000000.000000,,105837000000.000000,119179000000.000000,,25736000000.000000,416211000000.000000,55980000000.000000,13177000000.000000,42803000000.000000,55980000000.000000,472191000000.000000,,1500000000000.000000,706434000000.000000,917545000000.000000,322984000000.000000,594561000000.000000,917545000000.000000,7000000.000000,-59279000000.000000,3064707000000.000000,3536898000000.000000,15000000000.000000
12M 2020,,,1031954000000.000000,,663757000000.000000,296885000000.000000,366872000000.000000,663757000000.000000,3890000000.000000,3890000000.000000,,3890000000.000000,309478000000.000000,43002000000.000000,2052081000000.000000,,59920000000.000000,,,91366000000.000000,1568264000000.000000,77885000000.000000,1797435000000.000000,3849516000000.000000,,,560043000000.000000,,,181931000000.000000,21760000000.000000,203691000000.000000,,10142000000.000000,109000000.000000,10251000000.000000,152808000000.000000,,152808000000.000000,150540000000.000000,,42753000000.000000,560043000000.000000,67733000000.000000,8835000000.000000,58898000000.000000,67733000000.000000,627776000000.000000,,1500000000000.000000,707314000000.000000,1073314000000.000000,322984000000.000000,750330000000.000000,1073314000000.000000,7000000.000000,-58895000000.000000,3221740000000.000000,3849516000000.000000,30000000000.000000
12M 2021,,,1082219000000.000000,,664058000000.000000,372981000000.000000,291077000000.000000,664058000000.000000,3032000000.000000,3032000000.000000,,3032000000.000000,454810000000.000000,40588000000.000000,2244707000000.000000,,59600000000.000000,,,91366000000.000000,1588101000000.000000,85196000000.000000,1824263000000.000000,4068970000000.000000,,,543370000000.000000,,,174491000000.000000,14177000000.000000,188668000000.000000,,12363000000.000000,80000000.000000,12443000000.000000,177156000000.000000,,177156000000.000000,136471000000.000000,,28632000000.000000,543370000000.000000,54415000000.000000,14242000000.000000,40173000000.000000,54415000000.000000,597785000000.000000,,1500000000000.000000,648900000000.000000,1323435000000.000000,322984000000.000000,1000451000000.000000,1323435000000.000000,7000000.000000,-1157000000.000000,3471185000000.000000,4068970000000.000000,30000000000.000000
