Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2007,(70 B),(22 B),(92 B),-9.81
12M 2008,(51 B),(32 B),(83 B),-8.84
12M 2009,(7 B),(98 B),(105 B),-11.17
12M 2010,25 B,(259 B),(234 B),-24.94
12M 2011,22 B,(380 B),(357 B),-38.05
12M 2012,(143 B),(314 B),(456 B),-48.60
12M 2013,89 B,(271 B),(182 B),-19.39
12M 2014,(27 B),(73 B),(99 B),-10.57
12M 2015,206 B,(56 B),149 B,159.09
12M 2016,(5 B),(64 B),(69 B),-51.42
12M 2017,(54 B),(166 B),(220 B),-164.46
12M 2018,117 B,(70 B),47 B,34.98
12M 2019,223 B,(76 B),148 B,110.41
12M 2020,126 B,(75 B),51 B,38.27
12M 2021,(39 B),(89 B),(129 B),-96.09
12M 2022,(46 B),(120 B),(166 B),-123.69
12M 2023,140 B,(121 B),19 B,10.13
12M 2024,251 B,(243 B),8 B,4.30
