Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Pihak Ketiga,Pembayaran Kepada Tenaga Kerja,Penerimaan Hasil Restitusi Ppn,Pembayaran Pajak,Penerimaan Restitusi Pajak,Penerimaan Bunga,Pembayaran Bunga,Penerimaan Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Kas Yang Dibatasi Penggunaannya,Akuisisi Entitas Anak,Perolehan Aset Tetap,Goodwill,Penambahan Aset Tidak Berwujud,Penerimaan Dari Klaim Asuransi,Penjualan Aset Tetap,Penerimaan Bunga Deposito,Pembayaran Uang Jaminan,Perolehan Tambahan Modal Disetor / Investasi Saham Ke Entitas Anak,Perolehan Investasi Jangka Panjang,Penerimaan Pencairan Investasi Jangka Panjang,Pelepasan (Perolehan) Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Hutang Bank Jangka Pendek,Penerimaan Hutang Bank Jangka Panjang,Penurunan (Kenaikan) Piutang Dan Hutang Berelasi,Penurunan (Kenaikan) Piutang Dan Hutang Lain-Lain,Terima Tambahan Setoran Modal Saham,Tambahan Setoran Modal Dari Kepentingan Non-Pengendali,Penerimaan (Pembayaran) Pembiayaan Musyarakah Jangka Pendek,Penerimaan (Pembayaran) Pembiayaan Musyarakah Jangka Panjang,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan/(Pembayaran) Pinjaman Lainnya,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Selisih Transaksi Perubahan Kepentingan Nonpengendali,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penyesuaian: Laporan Keuangan Pt Sekar Golden Harvesta Indonesia Tidak Dikonsolidasi Oleh Entitas,Kas Dan Setara Kas Akhir Periode
12M 2013,19468048071.000000,1242906997492.000000,-1116813840452.000000,-88862625232.000000,,-8087760347.000000,,,-9674723390.000000,,19468048071.000000,-41092502123.000000,,,-41479485593.000000,,,,40172727.000000,247610743.000000,99200000.000000,,,,,-41092502123.000000,76655314324.000000,,,,,15177465000.000000,,85770993262.000000,,,,-24293143938.000000,,76655314324.000000,55030860272.000000,36949540816.000000,,,,91980401088.000000
12M 2014,48342031990.000000,1509898205643.000000,-1321800430597.000000,-95439083880.000000,,-33848984710.000000,,,-10467674466.000000,,48342031990.000000,-72696093836.000000,-170269200.000000,,-113489768262.000000,,,,40401552728.000000,1466796215.000000,-904405317.000000,,,,,-72696093836.000000,58043097137.000000,,,,,39322965000.000000,,30710054936.000000,,,,-852842572.000000,-11137080227.000000,58043097137.000000,33689035291.000000,91980401088.000000,,-618592863.000000,,125050843516.000000
12M 2015,62469996482.000000,1377422218992.000000,-1222199560344.000000,-61513326628.000000,4387417748.000000,-24432811781.000000,,3506247780.000000,-14700189285.000000,,62469996482.000000,-148181818111.000000,,,-151521831249.000000,,,3148194956.000000,191818182.000000,,,,,,,-148181818111.000000,63095575794.000000,,,,,7350000000.000000,,68142004157.000000,,,,-1776754116.000000,-10619674247.000000,63095575794.000000,-22616245835.000000,125050843516.000000,,5163838239.000000,,107598435920.000000
12M 2016,-33834235358.000000,1439610469485.000000,-1354204232922.000000,-79088075485.000000,4620380102.000000,-17322736215.000000,,2548201017.000000,-29998241340.000000,,-33834235358.000000,-63731981893.000000,170269200.000000,,-60872948074.000000,,-3706132700.000000,,676829681.000000,,,,,,,-63731981893.000000,85256457879.000000,,,,,,,88010964109.000000,,,,-2754506230.000000,,85256457879.000000,-12309759372.000000,107598435920.000000,,-760776946.000000,,94527899602.000000
12M 2017,-98662799904.000000,1794884031730.000000,-1740421797134.000000,-119332321966.000000,,-13706785039.000000,,11936938600.000000,-32022866095.000000,,-98662799904.000000,-325877025615.000000,,-268000000000.000000,-58070648694.000000,,-46545455.000000,,240168534.000000,,,,,,,-325877025615.000000,608451943359.000000,,,,,554835512489.000000,49178778680.000000,5466244333.000000,,,,-1028592143.000000,,608451943359.000000,183912117840.000000,94527899602.000000,,174697025.000000,,278614714467.000000
12M 2018,-55800390845.000000,1907801904224.000000,-1808875240110.000000,-118718192739.000000,,-10858232331.000000,,7688489551.000000,-32839119440.000000,,-55800390845.000000,-67860421921.000000,,,-46831317830.000000,,-92754091.000000,,128000000.000000,,,,-21064350000.000000,,,-67860421921.000000,110674969291.000000,,,,,,,112390240566.000000,,,,-1715271275.000000,,110674969291.000000,-12985843475.000000,278614714467.000000,,3192057496.000000,,268820928488.000000
12M 2019,-80895531759.000000,2074723163129.000000,-1938751638457.000000,-162581837153.000000,,-11849753949.000000,,6940436799.000000,-49375902128.000000,,-80895531759.000000,-16184175721.000000,,,-27684027584.000000,,-330407273.000000,,36363636.000000,,,,-1500000000.000000,13293895500.000000,,-16184175721.000000,1223766078.000000,,,,,,,,,340783139576.000000,-335853281850.000000,-3706091648.000000,,1223766078.000000,-95855941402.000000,268820928488.000000,,-2332932124.000000,,170632054962.000000
12M 2020,19707485134.000000,3060064092090.000000,-2795002963551.000000,-206595732114.000000,,-11582613128.000000,6676876203.000000,2692943812.000000,-36545118178.000000,,19707485134.000000,-15600296690.000000,,,-16129337599.000000,,,,529040909.000000,,,,,,,-15600296690.000000,5357205746.000000,,,,,,9860000000.000000,,,38903835819.000000,-36140000000.000000,-7266630073.000000,,5357205746.000000,9464394190.000000,170632054962.000000,,909643078.000000,-4359370578.000000,176646721652.000000
12M 2021,-44012427508.000000,3753316054892.000000,-3531226300151.000000,-211018181631.000000,,-14422055329.000000,,1083874523.000000,-41745819812.000000,,-44012427508.000000,-32800032852.000000,,,-29982460125.000000,,,,107727273.000000,,,-2925300000.000000,,,,-32800032852.000000,115968461216.000000,,,,,1193100000.000000,,,,124186257499.000000,,-7334772423.000000,-2076123860.000000,115968461216.000000,39156000856.000000,176646721652.000000,,1104536256.000000,,216907258764.000000
12M 2022,102191880734.000000,3793477325937.000000,-3419241937148.000000,-229257934348.000000,,-7269045487.000000,2277668520.000000,2676832616.000000,-40471029356.000000,,102191880734.000000,-21989261629.000000,,,-24380310605.000000,,,,2391048976.000000,,,,,,,-21989261629.000000,-27116433568.000000,,,,,,,,,-16021260773.000000,,-4278754220.000000,-6816418575.000000,-27116433568.000000,53086185537.000000,216907258764.000000,,12276786728.000000,,282270231029.000000
12M 2023,136863064344.000000,3044446783465.000000,-2628625937161.000000,-214756344235.000000,,-25545051068.000000,3336561462.000000,4399913642.000000,-46392861761.000000,,136863064344.000000,-59128303097.000000,,,-60037233137.000000,,,,908930040.000000,,,,,,,-59128303097.000000,-67475105360.000000,,,,,,520107641.000000,,,-42802879287.000000,,-8367198426.000000,-16825135288.000000,-67475105360.000000,10259655887.000000,282270231029.000000,,-3109262421.000000,,289420624495.000000
12M 2024,29105207997.000000,2198978321638.000000,-1968786159631.000000,-168550046942.000000,,-11288167820.000000,16337920653.000000,4363622618.000000,-41950282519.000000,,29105207997.000000,-31169479080.000000,,,-32031936229.000000,,-60000000.000000,,922457149.000000,,,,,,,-31169479080.000000,-5623831423.000000,,,,,,,,,-1692280934.000000,,-3931550489.000000,,-5623831423.000000,-7688102506.000000,289420624495.000000,,5844472917.000000,,287576994906.000000
