Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,1296618257503.000000,-1150241128644.000000,146377128859.000000,-81992929683.000000,-42387433615.000000,-39605496068.000000,-81992929683.000000,64384199176.000000,13920846738.000000,40172727.000000,278241632.000000,-8942830184.000000,,22545262563.000000,13920846738.000000,78305045914.000000,-20038059647.000000,58266986267.000000,,58266986267.000000,58266986267.000000,58723983897.000000,-456997630.000000,58266986267.000000,58266986267.000000,58723983897.000000,-456997630.000000,58266986267.000000
12M 2014,1480764903724.000000,-1291253009672.000000,189511894052.000000,-106246129981.000000,-46526407172.000000,-59719722809.000000,-106246129981.000000,83265764071.000000,26495367263.000000,30166671781.000000,1466796215.000000,-11364790558.000000,,6226689825.000000,26495367263.000000,109761131334.000000,-20645137227.000000,89115994107.000000,,89115994107.000000,89115994107.000000,75136313293.000000,13979680814.000000,89115994107.000000,89115994107.000000,75136313293.000000,13979680814.000000,89115994107.000000
12M 2015,1362245580664.000000,-1187246973889.000000,174998606775.000000,-117241883500.000000,-51304410474.000000,-65937473026.000000,-117241883500.000000,57756723275.000000,-4126869396.000000,175855618.000000,3506247781.000000,-14405013302.000000,,6596040507.000000,-4126869396.000000,53629853879.000000,-13479285258.000000,40150568621.000000,210179489.000000,40360748110.000000,40150568621.000000,41654139191.000000,-1503570570.000000,40150568621.000000,40360748110.000000,40775631276.000000,-414883166.000000,40360748110.000000
12M 2016,1501115928446.000000,-1315078883021.000000,186037045425.000000,-128067416563.000000,-42793027405.000000,-85274389158.000000,-128067416563.000000,57969628862.000000,-27159678554.000000,283636885.000000,2548201018.000000,-29707153044.000000,,-284363413.000000,-27159678554.000000,30809950308.000000,-8264494258.000000,22545456050.000000,-1401209063.000000,21144246987.000000,22545456050.000000,28498037881.000000,-5952581831.000000,22545456050.000000,21144246987.000000,27607902654.000000,-6463655667.000000,21144246987.000000
12M 2017,1841487199828.000000,-1655321857120.000000,186165342708.000000,-156734802824.000000,-53608400130.000000,-103126402694.000000,-156734802824.000000,29430539884.000000,2330482270.000000,144646715.000000,11936938600.000000,-32022866095.000000,,22271763050.000000,2330482270.000000,31761022154.000000,-5880557363.000000,25880464791.000000,-1826980240.000000,24053484551.000000,25880464791.000000,26579471298.000000,-699006507.000000,25880464791.000000,24053484551.000000,25453244268.000000,-1399759717.000000,24053484551.000000
12M 2018,1953910957160.000000,-1728304112505.000000,225606844655.000000,-180962042684.000000,-73318364644.000000,-107643678040.000000,-180962042684.000000,44644801971.000000,-23757348324.000000,87921880.000000,7688489551.000000,-32839119440.000000,,1305359685.000000,-23757348324.000000,20887453647.000000,-4932821175.000000,15954632472.000000,1527484071.000000,17482116543.000000,15954632472.000000,13832402480.000000,2122229992.000000,15954632472.000000,17482116543.000000,15009385739.000000,2472730804.000000,17482116543.000000
12M 2019,2104704872583.000000,-1837650335553.000000,267054537030.000000,-216794870405.000000,-95900186652.000000,-120894683753.000000,-216794870405.000000,50259666625.000000,-45096464890.000000,34743006.000000,6940436799.000000,-49375902128.000000,,-2695742567.000000,-45096464890.000000,5163201735.000000,-4206032677.000000,957169058.000000,-233519721.000000,723649337.000000,957169058.000000,4187135960.000000,-3229966902.000000,957169058.000000,723649337.000000,4276580314.000000,-3552930977.000000,723649337.000000
12M 2020,3165530224724.000000,-2850011161450.000000,315519063274.000000,-247273679036.000000,-123892703496.000000,-123380975540.000000,-247273679036.000000,68245384238.000000,-54676622197.000000,,2692943812.000000,-36545118178.000000,,-20824447831.000000,-54676622197.000000,13568762041.000000,-8153020233.000000,5415741808.000000,857836668.000000,6273578476.000000,5415741808.000000,10341078215.000000,-4925336407.000000,5415741808.000000,6273578476.000000,11277190721.000000,-5003612245.000000,6273578476.000000
12M 2021,3847887478570.000000,-3316793099791.000000,531094378779.000000,-442020121638.000000,-319963600543.000000,-122056521095.000000,-442020121638.000000,89074257141.000000,-44921716295.000000,,1083874523.000000,-41745819812.000000,,-4259771006.000000,-44921716295.000000,44152540846.000000,-14445119241.000000,29707421605.000000,1679435930.000000,31386857535.000000,29707421605.000000,29560408653.000000,147012952.000000,29707421605.000000,31386857535.000000,31020495494.000000,366362041.000000,31386857535.000000
12M 2022,3802296289773.000000,-3189017199391.000000,613279090382.000000,-479722298164.000000,-327421128726.000000,-152301169438.000000,-479722298164.000000,133556792218.000000,-16369278315.000000,,2676832616.000000,-40471029356.000000,,21424918425.000000,-16369278315.000000,117187513903.000000,-30551909967.000000,86635603936.000000,-235038707.000000,86400565229.000000,86635603936.000000,86221358302.000000,414245634.000000,86635603936.000000,86400565229.000000,86041979731.000000,358585498.000000,86400565229.000000
