Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2012,3.85,3.17,0.03,1.26,0.0,0.0,-0.49,0.02,0.26
12M 2013,10.88,10.2,0.01,1.1,0.0,0.0,-0.76,0.0,0.1
12M 2014,12.99,11.95,0.0,1.08,0.0,0.0,-0.76,0.0,0.08
12M 2015,7.57,6.85,0.0,1.11,0.0,0.0,-0.42,0.0,0.11
12M 2016,2.87,2.27,0.21,1.4,0.0,0.0,0.1,0.15,0.4
12M 2017,1.68,1.38,0.28,1.48,0.0,0.0,0.13,0.19,0.48
12M 2018,2.13,1.68,0.41,1.59,0.0,0.0,0.27,0.26,0.59
12M 2019,2.29,1.56,0.45,1.6,0.0,0.0,0.4,0.28,0.6
12M 2020,1.3,1.0,0.51,1.68,0.0,0.0,0.4,0.3,0.68
12M 2021,2.16,1.61,0.58,1.76,0.0,0.0,0.42,0.33,0.76
12M 2022,1.68,1.3,0.48,1.7,0.0,0.0,0.31,0.28,0.7
12M 2023,1.12,0.78,0.28,1.54,0.0,0.0,0.25,0.18,0.54
12M 2024,1.22,0.93,0.22,1.5,0.0,0.0,0.21,0.15,0.5
