Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2012,325 B,(215 B),110 B,11.20
12M 2013,298 B,(139 B),159 B,16.21
12M 2014,284 B,(32 B),252 B,25.58
12M 2015,523 B,(31 B),492 B,49.97
12M 2016,87 B,(28 B),59 B,6.00
12M 2017,183 B,(36 B),147 B,14.89
12M 2018,64 B,(198 B),(133 B),-13.43
12M 2019,88 B,(184 B),(97 B),-9.72
12M 2020,352 B,(45 B),307 B,30.89
12M 2021,172 B,(28 B),144 B,14.45
12M 2022,411 B,(20 B),391 B,39.38
12M 2023,296 B,(38 B),259 B,26.07
12M 2024,183 B,(17 B),165 B,16.65
