Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2012,1097679986000.000000,-607844710000.000000,489835276000.000000,-122702408000.000000,-11994118000.000000,-111862332000.000000,1154042000.000000,-122702408000.000000,367132868000.000000,28288442000.000000,28349711000.000000,-61269000.000000,28288442000.000000,395421310000.000000,-96908787000.000000,298512523000.000000,,298512523000.000000,298512523000.000000,298512523000.000000,,298512523000.000000,298512523000.000000,298512523000.000000,,298512523000.000000
12M 2013,1168607832000.000000,-706399933000.000000,462207899000.000000,-133029892000.000000,-9504145000.000000,-125389795000.000000,1864048000.000000,-133029892000.000000,329178007000.000000,71223897000.000000,71288267000.000000,-64370000.000000,71223897000.000000,400401904000.000000,-88218068000.000000,312183836000.000000,,312183836000.000000,312183836000.000000,312183836000.000000,,312183836000.000000,312183836000.000000,312183836000.000000,,312183836000.000000
12M 2014,1214914932000.000000,-842453608000.000000,372461324000.000000,-129325643000.000000,-8461236000.000000,-127809487000.000000,6945080000.000000,-129325643000.000000,243135681000.000000,151515856000.000000,151672647000.000000,-156791000.000000,151515856000.000000,394651537000.000000,-66315221000.000000,328336316000.000000,,328336316000.000000,328336316000.000000,328336316000.000000,,328336316000.000000,328336316000.000000,328336316000.000000,,328336316000.000000
12M 2015,1461248284000.000000,-967669232000.000000,493579052000.000000,-170315697000.000000,-13575530000.000000,-149168320000.000000,-7571847000.000000,-170315697000.000000,323263355000.000000,120150897000.000000,120301821000.000000,-150924000.000000,120150897000.000000,443414252000.000000,-89234190000.000000,354180062000.000000,-5835216000.000000,348344846000.000000,354180062000.000000,354180062000.000000,,354180062000.000000,348344846000.000000,348344846000.000000,,348344846000.000000
12M 2016,1522808093000.0,-1011809686000.0,510998407000.0,-182576972000.0,-50804207000.0,-139501962000.0,7729197000.0,-182576972000.0,328421435000.0,20859115000.0,27977718000.0,-7118603000.0,20859115000.0,349280550000.0,-90190025000.0,259090525000.0,14995902000.0,274086427000.0,259090525000.0,259086871000.0,3654000.0,259090525000.0,274086427000.0,274082773000.0,3654000.0,274086427000.0
12M 2017,1551524990000.0,-1078706539000.0,472818451000.0,-280722366000.0,-85403477000.0,-199807120000.0,4488231000.0,-280722366000.0,192096085000.0,16851069000.0,17596642000.0,-745573000.0,16851069000.0,208947154000.0,-62298722000.0,146648432000.0,-11930566000.0,134717866000.0,146648432000.0,146643510000.0,4922000.0,146648432000.0,134717866000.0,134712944000.0,4922000.0,134717866000.0
12M 2018,1995807528000.0,-1289162817000.0,706644711000.0,-459142682000.0,-181053318000.0,-277293746000.0,-795618000.0,-459142682000.0,247502029000.0,-102145320000.0,16502529000.0,-118647849000.0,-102145320000.0,145356709000.0,-69281988000.0,76074721000.0,-2509809000.0,73564912000.0,76074721000.0,76071973000.0,2748000.0,76074721000.0,73564912000.0,73562164000.0,2748000.0,73564912000.0
12M 2019,1999516771000.0,-1124627994000.0,874888777000.0,-640944463000.0,-341702497000.0,-309922401000.0,10680435000.0,-640944463000.0,233944314000.0,-147372049000.0,10236956000.0,-157609005000.0,-147372049000.0,86572265000.0,-56498410000.0,30073855000.0,-2480677000.0,27593178000.0,30073855000.0,30072339000.0,1516000.0,30073855000.0,27593178000.0,27591787000.0,1391000.0,27593178000.0
12M 2020,1721907150000.0,-1001749360000.0,720157790000.0,-504998016000.0,-315425347000.0,-244673134000.0,55100465000.0,-504998016000.0,215159774000.0,-178692172000.0,5087424000.0,-183779596000.0,-178692172000.0,36467602000.0,-25485929000.0,10981673000.0,-9792102000.0,1189571000.0,10981673000.0,10984574000.0,-2901000.0,10981673000.0,1189571000.0,1192270000.0,-2699000.0,1189571000.0
12M 2021,1751585770000.0,-975520058000.0,776065712000.0,-540920044000.0,-331352704000.0,-237082953000.0,27515613000.0,-540920044000.0,235145668000.0,-166238147000.0,14116862000.0,-180355009000.0,-166238147000.0,68907521000.0,-22201630000.0,46705891000.0,6538609000.0,53244500000.0,46705891000.0,46704296000.0,1595000.0,46705891000.0,53244500000.0,53242894000.0,1606000.0,53244500000.0
