Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.72,365.95,1.72,365.95,423 B,"3,753 B","4,177 B","3,283 B",827 B
12M 2009,3.58,432.59,3.58,432.59,175 B,"2,316 B","2,491 B","2,111 B",314 B
12M 2010,2.53,890.34,2.53,890.34,394 B,"1,746 B","2,140 B","1,070 B",897 B
12M 2011,2.21,981.97,2.21,981.97,341 B,"1,212 B","1,553 B",426 B,784 B
12M 2012,2.64,1098.12,2.68,1082.43,135 B,"1,585 B","1,720 B","1,164 B",630 B
12M 2013,1.99,1144.37,2.02,1128.68,"1,497 B","2,222 B","3,719 B","3,343 B","(1,177 B)"
12M 2014,1.91,1142.46,1.94,1126.77,"1,370 B","4,052 B","5,422 B","5,208 B","(1,517 B)"
12M 2015,0.90,1102.70,0.90,1099.65,"1,763 B","4,205 B","5,968 B","5,330 B","(1,376 B)"
12M 2016,0.86,1051.90,0.90,999.46,"3,042 B","5,208 B","8,250 B","7,926 B","(2,871 B)"
12M 2017,0.89,939.19,0.94,886.76,"2,573 B","5,767 B","8,340 B","7,785 B","(2,458 B)"
12M 2018,2.25,837.33,2.37,794.03,"7,124 B","1,202 B","8,326 B","7,989 B","(7,142 B)"
12M 2019,1.29,911.22,1.36,867.92,120 B,"8,546 B","8,666 B","8,279 B",243 B
12M 2020,1.46,987.38,1.53,944.08,"1,101 B","7,521 B","8,622 B","8,096 B",75 B
12M 2021,1.36,1241.67,1.40,1204.88,0 B,"4,646 B","4,646 B","4,355 B","1,339 B"
12M 2022,1.08,1314.95,1.11,1278.16,1 B,"2,951 B","2,952 B","2,658 B",210 B
12M 2023,0.97,1386.42,1.00,1349.63,400 B,"2,372 B","2,772 B","2,433 B",572 B
12M 2024,0.52,1431.82,0.54,1395.03,400 B,"1,570 B","1,970 B","1,820 B",239 B
