Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,8.11,,7.66,,0.91,,0.68,6.45,6.45,1.65
12M 2009,37.85,40.14,32.94,45.05,9.64,9.75,9.09,9.08,1.05,1.08,0.77,0.82,18.94,18.94,1.27
12M 2010,36.61,43.38,37.91,42.08,9.97,10.46,8.41,7.69,0.89,0.9,0.67,0.67,6.64,6.64,1.66
12M 2011,30.14,41.81,38.03,33.92,12.11,12.0,8.73,8.72,0.93,0.92,0.7,0.7,9.59,9.59,1.47
12M 2012,29.59,40.52,39.46,30.65,12.33,11.34,9.01,8.48,1.01,0.98,0.78,0.77,14.31,14.31,1.4
12M 2013,33.31,36.84,45.92,24.23,10.96,10.24,9.91,8.94,0.88,0.8,0.72,0.66,-8.23,-8.23,0.64
12M 2014,34.55,32.3,47.5,19.35,10.56,10.13,11.3,9.71,0.78,0.73,0.66,0.61,-6.94,-6.94,0.6
12M 2015,41.58,33.17,55.24,19.51,8.78,8.72,11.0,12.66,0.64,0.64,0.54,0.52,-6.72,-6.72,0.65
12M 2016,40.72,26.9,53.41,14.21,8.96,9.63,13.57,12.37,0.61,0.56,0.51,0.48,-3.29,-3.29,0.46
12M 2017,43.74,34.93,60.32,18.35,8.34,7.47,10.45,10.01,0.58,0.59,0.48,0.48,-3.82,-3.82,0.54
12M 2018,39.21,38.52,54.51,23.22,9.31,9.27,9.48,9.14,0.66,0.67,0.54,0.55,-1.45,-1.45,0.27
12M 2019,39.32,46.12,60.99,24.45,9.28,7.83,7.91,7.41,0.71,0.72,0.58,0.57,45.44,45.44,1.08
12M 2020,66.77,55.1,89.59,32.28,5.47,4.85,6.62,6.59,0.66,0.66,0.5,0.49,134.87,134.87,1.02
12M 2021,91.39,45.1,111.61,24.88,3.99,3.39,8.09,8.47,0.74,0.75,0.53,0.53,8.38,8.38,1.34
12M 2022,89.4,44.63,140.88,-6.85,4.08,3.92,8.18,7.82,0.81,0.81,0.57,0.57,58.39,58.39,1.04
12M 2023,96.09,46.28,159.42,-17.05,3.8,3.61,7.89,8.07,0.81,0.81,0.57,0.57,21.62,21.62,1.1
12M 2024,97.01,45.76,150.45,-7.68,3.76,4.81,7.98,7.51,0.77,0.77,0.55,0.56,49.42,49.42,1.05
