Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.22,12793.48,0.22,12793.48,601 B,"1,738 B","2,339 B","1,355 B",666 B
12M 2009,0.36,10604.21,0.36,10604.21,640 B,"1,961 B","2,601 B","1,980 B",196 B
12M 2010,0.39,10573.39,0.39,10573.39,636 B,"1,842 B","2,479 B","1,935 B",227 B
12M 2011,0.34,10906.46,0.34,10906.46,758 B,"2,318 B","3,076 B","2,690 B",90 B
12M 2012,0.35,11586.20,0.35,11586.20,851 B,"2,222 B","3,072 B","2,689 B",48 B
12M 2013,0.21,13947.42,0.21,13947.42,936 B,"2,340 B","3,276 B","2,686 B",113 B
12M 2014,0.98,15130.18,0.98,15130.18,970 B,"1,952 B","2,922 B","2,083 B",218 B
12M 2015,0.30,16767.58,0.30,16767.58,"1,110 B","1,610 B","2,719 B","1,881 B",360 B
12M 2016,0.33,17047.55,0.33,17047.55,"1,132 B","1,386 B","2,518 B","1,575 B",189 B
12M 2017,0.44,878.56,0.44,878.56,"1,217 B","1,183 B","2,400 B","1,405 B",330 B
12M 2018,0.33,928.28,0.33,928.28,"1,175 B","1,239 B","2,414 B","1,608 B",278 B
12M 2019,0.34,738.04,0.34,738.04,"1,005 B","1,213 B","2,218 B","1,259 B",657 B
12M 2020,0.39,727.40,0.39,727.40,"1,060 B","1,126 B","2,186 B",717 B,798 B
12M 2021,0.86,1151.61,0.86,1151.61,"1,055 B",992 B,"2,046 B","(1,306 B)","1,896 B"
12M 2022,0.91,2110.98,0.91,2110.98,608 B,"1,684 B","2,292 B","(4,210 B)","5,194 B"
12M 2023,0.70,457.36,0.70,457.36,766 B,"2,642 B","3,407 B","(2,580 B)","5,312 B"
12M 2024,0.53,507.78,0.53,507.78,650 B,"3,306 B","3,956 B","(1,427 B)","6,235 B"
