Period,Arus Kas Dari Aktivitas Operasi,Operasi Yang Dilanjutkan :,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Direksi Dan Karyawan,Pendapatan Keuangan,Pembayaran Biaya Pajak,Pembayaran Pajak Penghasilan,Penerimaan Uang Muka Pelanggan,Total Operasi Yang Dilanjutkan :,Operasi Dalam Penghentian :,Penerimaan Dari Pelanggan,Penerima Lain-Lain,Pembayaran Kepada Pemasok,Pembayaran Kepada Direksi Dan Karyawan,Total Operasi Dalam Penghentian :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Operasi Yang Dilanjutkan :,Penerimaan Pendapatan Bunga,Penerimaan Dividend Dari Entitas Sosial,Akusisi Entitas Anak - Bersih,Pembayaran Uang Muka Aset Tetap,Perolehan Aset Tetap,Penambahan Setara Kas Yang Dibatasi Penggunaannya,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Penambahan Aset Aktivitas Pengupasan Lapisan Tanah,Penerbitan Saham Baru Entitas Anak,Penambahan Piutang Dari Pihak Berelasi,Pembayaran Aset Tidak Lancar Lainnya,Pembayaran Aset Lain-Lain,Penerimaan Dari Pengalihan Usaha Dan Penjualan Aset,Penambahan Properti Pertambangan,Penerimaan Pendapatan Pra-Produksi,Pengeluaran Persediaan Pra-Produksi,Penambahan Aset Eksplorasi Dan Evaluasi,Pengembalian Uang Muka,Penerimaan Deposit,Pembayaran Atas Pembelian Saham Entitas Anak,Hasil Penjualan Aset Tetap,Adjustment,Total Operasi Yang Dilanjutkan :,Operasi Dalam Penghentian :,Penerima Dari Divestasi,Penerimaan Uang Jaminan,Perolehan Aset Tetap,Penambahan Aktiva Lain-Lain,Hasil Penjualan Aset Tetap,Penerimaan Bunga,Total Operasi Dalam Penghentian :,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Operasi Yang Dilanjutkan :,Penerimaan Dari Penawaran Umum Terbatas,Penerimaan Utang Bank,Jangka Panjang,Jangka Pendek,Total Penerimaan Utang Bank,Penerimaan Biaya Emisi Saham,Penerimaan Modal Disetor Entitas Anak,Pembayaran Dividen Oleh Entitas Anak,Penerimaan Pinjaman Dari Bank,Penerimaan Dari Pembiayaan Konsumen Jangka Panjang,Pembayaran Dividen Kas,Pelunasan Utang Bank,Jangka Panjang,Jangka Pendek,Total Pelunasan Utang Bank,Penerimaan Piutang Kepada Pihak Berelasi,Penerbitan Saham Baru,Pemberian Piutang Kepada Pihak Berelasi,Penerimaan Piutang Kepada Pihak Ketiga,Pembayaran Sewa Pembiayaan,Pembayaran Uang Muka Sewa Pembiayaan,Penerimaan Utang Kepada Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Kepada Pihak Berelasi,Penerimaan Utang Kepada Pihak Ketiga,Pembayaran Utang Kepada Pihak Ketiga,Pembayaran Utang Jangka Panjang Lainnya,Pembayaran Biaya Emisi Saham,Pembayaran Uang Jaminan,Transfer Ke Kas Dibatasi Penggunannya,Total Operasi Yang Dilanjutkan :,Operasi Dalam Penghentian :,Penerimaan Utang Kepada Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Hasil Dari Pinjaman Janka Panjang,Pembayaran Pinjaman Jangka Panjang,Kenaikan (Penuruan) Bersih Kas Dan Setara Kas,Total Operasi Dalam Penghentian :,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Bank Dari Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2011,31202967.000000,,,-3976012.000000,,,,,,-3976012.000000,,28787270071.000000,1078187260.000000,-25180712737.000000,-4649565615.000000,35178979.000000,31202967.000000,-730083054.000000,,155157306.000000,,,,,,,,,,,,,,,,,,,,,,155157306.000000,,,95350000.000000,-980590360.000000,,,,-885240360.000000,-730083054.000000,-1299660149.000000,,,,,,,,136000000000.000000,,,,,,,,,,,,,,,,,,,-136000000028.000000,,,,,-28.000000,,800000000.000000,-2099660121.000000,,,,-1299660121.000000,-1299660149.000000,-1998540236.000000,6520517824.000000,21714542.000000,732289845.000000,5275981975.000000
12M 2012,-7039429482.000000,,,-2434876676.000000,-2199763908.000000,,,,,-4634640584.000000,,18655314189.000000,927833853.000000,-18725708936.000000,-3262228004.000000,-2404788898.000000,-7039429482.000000,-103461246036.000000,,2665823895.000000,2813164171.000000,-85303326006.000000,-1633082000.000000,-253636506.000000,,-25095740285.000000,,,,-15000000.000000,,,,,,,,,,,,-106821796731.000000,,3959051500.000000,-3400000.000000,-595100805.000000,,,,3360550695.000000,-103461246036.000000,260221101410.000000,,410000000000.000000,,,,,-5676311911.000000,,-2718634770.000000,,,,,,,,746399817.000000,,-521449300.000000,10763095000.000000,-342436546.000000,-154707450.000000,333693675.000000,,-115552021909.000000,2394279192.000000,-39050804388.000000,,,,,260221101410.000000,,,,,,,,260221101410.000000,149720425892.000000,5275981975.000000,1009749559.000000,,156006157426.000000
12M 2013,-31031317175.000000,,,-23029174976.000000,-5525529178.000000,-2099099091.000000,,-377513930.000000,,-31031317175.000000,,,,,,,-31031317175.000000,-80585308923.000000,,4489495411.000000,5353925309.000000,,-2130985816.000000,-40249031824.000000,,-48048712003.000000,,,,,,,,,,,,,,,,-80585308923.000000,,,,,,,,,-80585308923.000000,104509660064.000000,,,,,,,,,-1123489704.000000,111054341380.000000,,,,,,,,,,7645330000.000000,-420322050.000000,,5067980.000000,,,,-7651267542.000000,,,,-5000000000.000000,104509660064.000000,,,,,,,,104509660064.000000,-7106966034.000000,156006157426.000000,18626388224.000000,,167525579616.000000
12M 2014,-34183229250.000000,,2289128250.000000,-18194541051.000000,-5794583577.000000,-11472382497.000000,,-1010850375.000000,,-34183229250.000000,,,,,,,-34183229250.000000,-104412961559.000000,,5525841521.000000,6615657525.000000,-1200000000.000000,-11040938520.000000,-18490787522.000000,,-85822734563.000000,,,,,,,,,,,,,,,,-104412961559.000000,,,,,,,,,-104412961559.000000,93924093144.000000,,,,,,,,,-1338501218.000000,106788723820.000000,,,-10076371788.000000,,,-10076371788.000000,,,,597533794.000000,-397492866.000000,,11937650.000000,,,,-1042879647.000000,-103580964.000000,,-515275637.000000,,93924093144.000000,,,,,,,,93924093144.000000,-44672097665.000000,167525579616.000000,3642987903.000000,,126496469854.000000
12M 2015,-23463441295.000000,,28545824189.000000,-20924294420.000000,-14153482909.000000,-16931488155.000000,,,,-23463441295.000000,,,,,,,-23463441295.000000,-23156230950.000000,,4503884819.000000,,,6484162210.000000,-921431657.000000,,-23120460608.000000,,39000000.000000,,,-10141385714.000000,,,,,,,,,,,-23156230950.000000,,,,,,,,,-23156230950.000000,20221666104.000000,,,,,,,,,,78868485877.000000,,,-59246601714.000000,,,-59246601714.000000,,,,,-282804470.000000,,,,,,1028663957.000000,,,-146077546.000000,,20221666104.000000,,,,,,,,20221666104.000000,-26398006141.000000,126496469854.000000,7867071708.000000,,107965535421.000000
12M 2016,-27256984967.000000,,58998765739.000000,-44151188647.000000,-16462547418.000000,-25642014641.000000,,,,-27256984967.000000,,,,,,,-27256984967.000000,-7345716709.000000,,639049667.000000,,,730352182.000000,-1717327876.000000,,-6613868953.000000,,,,,-383921729.000000,,,,,,,,,,,-7345716709.000000,,,,,,,,,-7345716709.000000,-55956996648.000000,,,,,,,,,,1325825110.000000,,,-60412781816.000000,,,-60412781816.000000,,,,,-7280968.000000,,,,,3350440000.000000,-50397547.000000,,,-162801427.000000,,-55956996648.000000,,,,,,,,-55956996648.000000,-90559698324.000000,107965535421.000000,-1723874335.000000,,15681962762.000000
12M 2017,-9463298519.000000,,75527720626.000000,-48663847847.000000,-17380106670.000000,-18947064628.000000,,,,-9463298519.000000,,,,,,,-9463298519.000000,7077150426.000000,,553176535.000000,9940133476.000000,,1526823000.000000,-7868227120.000000,,-206175261.000000,,,,3770000000.000000,-638580204.000000,,,,,,,,,,,7077150426.000000,,,,,,,,,7077150426.000000,4111873578.000000,,,,,,,,,,55942985038.000000,,,-45505874999.000000,,,-45505874999.000000,,,,,,,,-3206663273.000000,-3355600000.000000,,,,,237026812.000000,,4111873578.000000,,,,,,,,4111873578.000000,1725725485.000000,15681962762.000000,21970045.000000,,17429658292.000000
12M 2018,53183856754.000000,,203139458131.000000,-109962797780.000000,-18162038074.000000,-21830765523.000000,,,,53183856754.000000,,,,,,,53183856754.000000,-18158033003.000000,,1203883965.000000,34520480140.000000,-14500000000.000000,-370055556.000000,-2653479400.000000,,-36781575009.000000,,,,145000000.000000,277712857.000000,,,,,,,,,,,-18158033003.000000,,,,,,,,,-18158033003.000000,-6550122497.000000,,,,,,,,,-1919110000.000000,84329247826.000000,,,-79205204146.000000,,,-79205204146.000000,,,,,,,,-10059024121.000000,,,,,,446059978.000000,-142092034.000000,-6550122497.000000,,,,,,,,-6550122497.000000,28475701254.000000,17429658292.000000,-280162412.000000,,45625197134.000000
12M 2019,49139143652.000000,,286302517463.000000,-194387505120.000000,-22135459259.000000,-20640409432.000000,,,,49139143652.000000,,,,,,,49139143652.000000,13850905605.000000,,2649476965.000000,73483199716.000000,-500000000.000000,,-2664318726.000000,-539562592.000000,-9857884015.000000,,,,715178600.000000,-35121428571.000000,,-14313755772.000000,,,,,,,,,13850905605.000000,,,,,,,,,13850905605.000000,-32463498185.000000,,,,,,,,,-220000000.000000,110136455701.000000,10007975000.000000,,-135194184988.000000,,,-135194184988.000000,,,,,,,,-17095263688.000000,,,,,,-98480210.000000,,-32463498185.000000,,,,,,,,-32463498185.000000,30526551072.000000,45625197134.000000,-89526389.000000,,76062221817.000000
12M 2020,8676404078.000000,,188452993667.000000,-147122818182.000000,-22047889602.000000,-10605881805.000000,,,,8676404078.000000,,,,,,,8676404078.000000,-16624741062.000000,,2481622264.000000,10030930918.000000,,,-378502300.000000,-998647628.000000,-1983696795.000000,,,,,-15100000000.000000,,-10676447521.000000,,,,,,,,,-16624741062.000000,,,,,,,,,-16624741062.000000,-3118767718.000000,,,,,,,,,,31997104657.000000,,,-30025740515.000000,,,-30025740515.000000,,,,,,,,-5158240435.000000,,,,,,68108575.000000,,-3118767718.000000,,,,,,,,-3118767718.000000,-11067104702.000000,76062221817.000000,89585788.000000,,65084702903.000000
