Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1267062897000.000000,-756300539000.000000,510762358000.000000,-289895603000.000000,-86274921000.000000,-203620682000.000000,,-289895603000.000000,220866755000.000000,-50047584000.000000,,-3098971000.000000,,-76024660000.000000,1603089000.000000,27472958000.000000,-50047584000.000000,170819171000.000000,-75990720000.000000,-64062558000.000000,-11928162000.000000,,-75990720000.000000,94828451000.000000,-687269000.000000,94141182000.000000,,,,,94141182000.000000,94828451000.000000,-687269000.000000,94141182000.000000,,,,
12M 2009,1197692629000.000000,-593272474000.000000,604420155000.000000,-286050182000.000000,-86375919000.000000,-199674263000.000000,,-286050182000.000000,318369973000.000000,-75373777000.000000,,6983848000.000000,,-122590357000.000000,26433794000.000000,13798938000.000000,-75373777000.000000,242996196000.000000,-74793208000.000000,-75272772000.000000,479564000.000000,,-74793208000.000000,168202988000.000000,-860245000.000000,167342743000.000000,,,,,167342743000.000000,168202988000.000000,-860245000.000000,167342743000.000000,,,,
12M 2010,1695443952000.000000,-947778293000.000000,747665659000.000000,-370007130000.000000,-92694015000.000000,-277313115000.000000,,-370007130000.000000,377658529000.000000,-33747402000.000000,44631894000.000000,175141000.000000,,-99885532000.000000,204985000.000000,21126110000.000000,-33747402000.000000,343911127000.000000,-109574488000.000000,-109755890000.000000,181402000.000000,,-109574488000.000000,234336639000.000000,-858743000.000000,233477896000.000000,,,,,233477896000.000000,234336639000.000000,-858743000.000000,233477896000.000000,,,,
12M 2011,2359330713000.000000,-1312185440000.000000,1047145273000.000000,-475404360000.000000,-125728711000.000000,-354283980000.000000,4608331000.000000,-475404360000.000000,571740913000.000000,-40825182000.000000,61442689000.000000,1001695000.000000,,-96204425000.000000,,-7065141000.000000,-40825182000.000000,530915731000.000000,-142209087000.000000,-146156457000.000000,3947370000.000000,,-142209087000.000000,388706644000.000000,,388706644000.000000,,,,388706644000.000000,388706644000.000000,392019495000.000000,-3312851000.000000,388706644000.000000,388706644000.000000,392019495000.000000,-3312851000.000000,388706644000.000000
12M 2012,3463163272000.000000,-1871176367000.000000,1591986905000.000000,-581085479000.000000,-148319541000.000000,-459512859000.000000,26746921000.000000,-581085479000.000000,1010901426000.000000,-24506723000.000000,83777232000.000000,,,-108283955000.000000,,,-24506723000.000000,986394703000.000000,-194308738000.000000,,,,-194308738000.000000,792085965000.000000,,792085965000.000000,,,,792085965000.000000,792085965000.000000,797814126000.000000,-5728161000.000000,792085965000.000000,792085965000.000000,797814126000.000000,-5728161000.000000,792085965000.000000
12M 2013,4093789495000.000000,-1943286608000.000000,2150502887000.000000,-803365167000.000000,-228052350000.000000,-580890266000.000000,5577449000.000000,-803365167000.000000,1347137720000.000000,-27712379000.000000,142821174000.000000,,,-170025785000.000000,-507768000.000000,,-27712379000.000000,1319425341000.000000,-223537093000.000000,,,,-223537093000.000000,1095888248000.000000,,1095888248000.000000,,,,1095888248000.000000,1095888248000.000000,1102176746000.000000,-6288498000.000000,1095888248000.000000,1095888248000.000000,1102176746000.000000,-6288498000.000000,1095888248000.000000
12M 2014,5333593142000.000000,-2545542188000.000000,2788050954000.000000,-929013251000.000000,-241988036000.000000,-705950247000.000000,18925032000.000000,-929013251000.000000,1859037703000.000000,-174938559000.000000,130295840000.000000,,,-304347191000.000000,-887208000.000000,,-174938559000.000000,1684099144000.000000,-296582240000.000000,,,,-296582240000.000000,1387516904000.000000,,1387516904000.000000,,,,1387516904000.000000,1387516904000.000000,1398294417000.000000,-10777513000.000000,1387516904000.000000,1387516904000.000000,1398294417000.000000,-10777513000.000000,1387516904000.000000
12M 2015,5623560624000.000000,-2716755658000.000000,2906804966000.000000,-1115407551000.000000,-258296059000.000000,-880878969000.000000,23767477000.000000,-1115407551000.000000,1791397415000.000000,-409214495000.000000,74279112000.000000,,,-483493607000.000000,,,-409214495000.000000,1382182920000.000000,-318102981000.000000,,-1928934000.000000,-316174047000.000000,-318102981000.000000,1064079939000.000000,,1064079939000.000000,22361342000.000000,22361342000.000000,22361342000.000000,1086441281000.000000,1064079939000.000000,855185525000.000000,208894414000.000000,1064079939000.000000,1086441281000.000000,877546867000.000000,208894414000.000000,1086441281000.000000
12M 2016,5397948907000.000000,-2799538204000.000000,2598410703000.000000,-1188475239000.000000,-348970044000.000000,-840502532000.000000,997337000.000000,-1188475239000.000000,1409935464000.000000,-532430467000.000000,101097479000.000000,,,-633527946000.000000,,,-532430467000.000000,877504997000.000000,-272454139000.000000,,-11088966000.000000,-261365173000.000000,-272454139000.000000,605050858000.000000,,605050858000.000000,-9171644000.000000,-9171644000.000000,-9171644000.000000,595879214000.000000,605050858000.000000,311665815000.000000,293385043000.000000,605050858000.000000,595879214000.000000,302494171000.000000,293385043000.000000,595879214000.000000
12M 2017,5640751809000.000000,-3073588401000.000000,2567163408000.000000,-1226387516000.000000,-338796409000.000000,-889842457000.000000,2251350000.000000,-1226387516000.000000,1340775892000.000000,-541827800000.000000,90613870000.000000,,,-632441670000.000000,,,-541827800000.000000,798948092000.000000,-266510479000.000000,,,,-266510479000.000000,532437613000.000000,,532437613000.000000,-22985672000.000000,-22985672000.000000,-22985672000.000000,509451941000.000000,532437613000.000000,362062815000.000000,170374798000.000000,532437613000.000000,509451941000.000000,339077143000.000000,170374798000.000000,509451941000.000000
12M 2018,5661360114000.000000,-2922477422000.000000,2738882692000.000000,-1191078201000.000000,-343490605000.000000,-855166574000.000000,7578978000.000000,-1191078201000.000000,1547804491000.000000,-597494002000.000000,77668853000.000000,,10327604000.000000,-685280458000.000000,-210001000.000000,,-597494002000.000000,950310489000.000000,-259686859000.000000,,-10456830000.000000,-249230029000.000000,-259686859000.000000,690623630000.000000,,690623630000.000000,17178007000.000000,17178007000.000000,17178007000.000000,707801637000.000000,690623630000.000000,448709527000.000000,241914103000.000000,690623630000.000000,707801637000.000000,465887534000.000000,241914103000.000000,707801637000.000000
12M 2019,5941625762000.000000,-3091570022000.000000,2850055740000.000000,-1261190984000.000000,-354465636000.000000,-915771074000.000000,9045726000.000000,-1261190984000.000000,1588864756000.000000,-665944921000.000000,125331813000.000000,,,-795238012000.000000,3961278000.000000,,-665944921000.000000,922919835000.000000,-309899409000.000000,,-40014289000.000000,-269885120000.000000,-309899409000.000000,613020426000.000000,,613020426000.000000,21204326000.000000,21204326000.000000,21204326000.000000,634224752000.000000,613020426000.000000,514984429000.000000,98035997000.000000,613020426000.000000,634224752000.000000,536188755000.000000,98035997000.000000,634224752000.000000
12M 2020,5029984099000.000000,-2737908335000.000000,2292075764000.000000,-1016213884000.000000,-275477690000.000000,-746612868000.000000,5876674000.000000,-1016213884000.000000,1275861880000.000000,-836094364000.000000,190338767000.000000,,,-1032511501000.000000,6078370000.000000,,-836094364000.000000,439767516000.000000,-193858373000.000000,,2620981000.000000,-196479354000.000000,-193858373000.000000,245909143000.000000,,245909143000.000000,-13498452000.000000,-13498452000.000000,-13498452000.000000,232410691000.000000,245909143000.000000,179835308000.000000,66073835000.000000,245909143000.000000,232410691000.000000,166336856000.000000,66073835000.000000,232410691000.000000
12M 2021,5567912577000.000000,-2973942560000.000000,2593970017000.000000,-1036288889000.000000,-306215716000.000000,-733358752000.000000,3285579000.000000,-1036288889000.000000,1557681128000.000000,-801764447000.000000,192298403000.000000,,,-1002403444000.000000,8340594000.000000,,-801764447000.000000,755916681000.000000,-206220630000.000000,,2734331000.000000,-208954961000.000000,-206220630000.000000,549696051000.000000,,549696051000.000000,-772266000.000000,-772266000.000000,-772266000.000000,548923785000.000000,549696051000.000000,323708801000.000000,225987250000.000000,549696051000.000000,548923785000.000000,322936535000.000000,225987250000.000000,548923785000.000000
12M 2022,5719396239000.000000,-2719633676000.000000,2999762563000.000000,-1291344972000.000000,-321561647000.000000,-952346646000.000000,-17436679000.000000,-1291344972000.000000,1708417591000.000000,-690561304000.000000,157232512000.000000,,,-857100188000.000000,9306372000.000000,,-690561304000.000000,1017856287000.000000,-246112787000.000000,,-2905862000.000000,-243206925000.000000,-246112787000.000000,771743500000.000000,,771743500000.000000,9912214000.000000,9912214000.000000,9912214000.000000,781655714000.000000,771743500000.000000,625377316000.000000,146366184000.000000,771743500000.000000,781655714000.000000,635289530000.000000,146366184000.000000,781655714000.000000
12M 2023,6658782663000.000000,-3299254706000.000000,3359527957000.000000,-1447855561000.000000,-420767084000.000000,-1038706737000.000000,11618260000.000000,-1447855561000.000000,1911672396000.000000,-566267996000.000000,180737086000.000000,,,-756960765000.000000,9955683000.000000,,-566267996000.000000,1345404400000.000000,-287712393000.000000,,-499537000.000000,-287212856000.000000,-287712393000.000000,1057692007000.000000,,1057692007000.000000,-21006030000.000000,-21006030000.000000,-21006030000.000000,1036685977000.000000,1057692007000.000000,765969994000.000000,291722013000.000000,1057692007000.000000,1036685977000.000000,744963964000.000000,291722013000.000000,1036685977000.000000
12M 2024,10623354592000.000000,-5162448504000.000000,5460906088000.000000,-1728533610000.000000,-509457076000.000000,-1175905304000.000000,-43171230000.000000,-1728533610000.000000,3732372478000.000000,-1268969486000.000000,181265040000.000000,,,-1048239617000.000000,12380233000.000000,-414375142000.000000,-1268969486000.000000,2463402992000.000000,-621183522000.000000,,-21819879000.000000,-599363643000.000000,-621183522000.000000,1842219470000.000000,,1842219470000.000000,-3745516000.000000,-3745516000.000000,-3745516000.000000,1838473954000.000000,1842219470000.000000,1373378406000.000000,468841064000.000000,1842219470000.000000,1838473954000.000000,1369632890000.000000,468841064000.000000,1838473954000.000000
