Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari (Pembayaran Kepada) Pemasok,Pengembalian (Uang Muka Untuk) Pembelian Mangan,Pembayaran Kas Untuk Karyawan,Penerimaan (Pembayaran) Beban Operasional Lainnya,Penerimaan Bunga,Pembayaran (Penerimaan) Kas Dari Operasi Lainnya,Pembayaran Pajak Penghasilan,Penerimaan Taksiran Tagihan Pajak,Pembayaran Bunga,Pengembalian Uang Muka Aset,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Dari Hasil Penjualan Aset Tetap,Pengembalian Uang Muka Pembelian Aset Tetap,Penambahan Investasi Jangka Pendek,Penurunan Aset Tidak Lancar Lainnya,Uang Muka Investasi,Pembayaran Akuisisi Entitas Anak,Penerimaan Atas Pelepasan Entitas Anak,Uang Muka Pembelian Batu Mangan,Uang Muka Untuk Perolehan Aset Tetap,Aset Tidak Lancar Lainnya,Piutang Lain-Lain Pihak Ketiga,Kenaikan Uang Muka Jangka Panjang,Penerimaan (Pembayaran) Piutang Lain - Lain,Penambahan Aset Tidak Lancar Lainnya,Penambahan Aset Eksplorasi Dan Evaluasi,Pinjaman Kepada Pihak Berelasi,Uang Jaminan,Pembayaran Uang Muka Investasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Bunga,Penerimaan Piutang Dari Pihak Berelasi,Pembayaran (Penerimaan) Hutang Sewa Pembiayaan,Pembayaran Hutang Pembiayaan Konsumen,Penerimaan Hutang Pembiayaan Konsumen,Penerimaan Dari Ipo,Biaya Emisi Ipo,Setoran Modal Oleh Kepentingan Nonpengendali Pada Entitas Anak,Pembayaran Utang Jangka Pendek,Penerimaan Fasilitas Modal Kerja,Pembayaran (Penerimaan) Utang Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Penerimaan (Pembayaran) Utang Lain - Lain,Hutang Lain-Lain Pihak Berelasi,Pembayaran Biaya Emisi Saham Yang Ditangguhkan,Penerimaan Dari Medium Term Notes,Penambahan Modal Dari Penebusan Waran,Penurunan Hutang Bank Jangka Panjang,Penambahan Moda Disetor Lainnya Dari Penebusan Waran,Kas Yang Dibatasi Penggunaannya,Pembayaran Liabilitas Keuangan Lainnya,Pembayaran Sewa Liabilitas,Kenaikan Neto Hutang Bank Jangka Pendek,Penerimaan Utang Bank,Pembayaran Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,-28638886840.000000,23169690484.000000,-31796381671.000000,,-13282713150.000000,-19223032096.000000,2624497793.000000,9869051800.000000,,,,,-28638886840.000000,-12887720584.000000,-10471605783.000000,,,,,,,,,,,,,,,-2416114801.000000,,,,-12887720584.000000,190861874888.000000,-8668346508.000000,-172034080.000000,-7637285389.000000,-1287660102.000000,,300000000000.000000,-11622799033.000000,10000000.000000,-79760000000.000000,,,,,,,,,,,,,,,,,,190861874888.000000,149335267464.000000,5197699436.000000,,154532966900.000000
12M 2012,-102969740695.000000,53697504043.000000,-28331827038.000000,,-19302109874.000000,-110509718876.000000,1476411050.000000,,,,,,-102969740695.000000,-12548415219.000000,-12126524500.000000,825000000.000000,,,,,,,,,,,-212403214.000000,,,-1034487505.000000,,,,-12548415219.000000,-19569833801.000000,-4323590631.000000,,-11337995490.000000,-3908247680.000000,,,,,,,,,,,,,,,,,,,,,,,-19569833801.000000,-135087989715.000000,154532966900.000000,,19444977185.000000
12M 2013,-3265856117.000000,12215852431.000000,-5187648449.000000,10787500000.000000,-13925157535.000000,-7148902564.000000,,,-7500000.000000,,,,-3265856117.000000,3002755609.000000,-1262495691.000000,3308500000.000000,1230367000.000000,,,,,,,,,,,,,-273615700.000000,,,,3002755609.000000,-17152231538.000000,-2071405990.000000,,-4346689184.000000,-10734136364.000000,,,,,,,,,,,,,,,,,,,,,,,-17152231538.000000,-17415332046.000000,19444977185.000000,,2029645139.000000
12M 2014,12901751.000000,21133822.000000,-9373037.000000,6937975.000000,-6577827.000000,-864023.000000,,,-847.000000,1645688.000000,,,12901751.000000,-91041667.000000,-2236061.000000,239491.000000,,-1631125.000000,,,-86094154.000000,13636125.000000,,,,,,,-78036.000000,-4059.000000,,,-14873848.000000,-91041667.000000,80920157.000000,-2418160.000000,-1244428.000000,-3924037.000000,-266054.000000,,89801390.000000,-294745.000000,,-733809.000000,,,,,,,,,,,,,,,,,,80920157.000000,2780241.000000,166515.000000,-210.000000,2946546.000000
12M 2015,12385987.000000,40773528.000000,-19242533.000000,217042.000000,-8780300.000000,,,-581750.000000,,,,,12385987.000000,-15684443.000000,-4113333.000000,505805.000000,,160215.000000,,-5702411.000000,,,,,,,,739996.000000,128106.000000,-153817.000000,,,-7249004.000000,-15684443.000000,2031897.000000,-2195184.000000,233793.000000,-7075177.000000,,,5876562.000000,,,,,,,,,,,,,-533336.000000,,,,,5725239.000000,,,2031897.000000,-1266559.000000,2946546.000000,,1679987.000000
12M 2016,23262593.000000,44441145.000000,-11257980.000000,,-10541568.000000,-2986344.000000,,,,3607340.000000,,,23262593.000000,-17565999.000000,-11534311.000000,969285.000000,,,,-12403144.000000,,,,,,,,1652696.000000,,-17571.000000,,,3767046.000000,-17565999.000000,-6560721.000000,-5019472.000000,-233793.000000,-12598675.000000,,,,,,,,,-400000.000000,,,,,,,-3574864.000000,,2756063.000000,,,1500000.000000,11010020.000000,,-6560721.000000,-864127.000000,,1679988.000000,815861.000000
12M 2017,17975912.000000,57781453.000000,-25671416.000000,,-12949334.000000,-3768919.000000,,,,2584128.000000,,,17975912.000000,7891228.000000,-8831650.000000,,,,-7719.000000,,,,,,,3219318.000000,,13554369.000000,,-43090.000000,,,,7891228.000000,-23553652.000000,-2008602.000000,,-7671229.000000,,,,,,,,,-2050000.000000,,,,,29487610.000000,,,,,-42811431.000000,,1500000.000000,,,-23553652.000000,2313488.000000,815861.000000,,3129349.000000
12M 2018,360963497170.000000,907031234597.000000,-333494484064.000000,,-212760459604.000000,-77491993987.000000,,,,77679200228.000000,,,360963497170.000000,-62072475761.000000,-117153967674.000000,2790909091.000000,,20291205396.000000,,,,,,,,15822572545.000000,,17147619959.000000,-854859802.000000,-115955276.000000,,,,-62072475761.000000,-248866507362.000000,-69873431392.000000,,-55304309283.000000,,,,,,,,,-30310100000.000000,,27000000000.000000,,,,,-30660987100.000000,,,-114335379587.000000,,24617700000.000000,,,-248866507362.000000,50024514047.000000,42396420252.000000,,92420934299.000000
12M 2019,175451000002.000000,743086187816.000000,-285118787802.000000,,-240154953894.000000,-48969789967.000000,,,,6608343849.000000,,,175451000002.000000,-36370464941.000000,-32476126590.000000,357528364.000000,,,,,,,,,,-2270177077.000000,,727660.000000,-1982417298.000000,,,,,-36370464941.000000,-224962093263.000000,-73805682940.000000,,-110206904490.000000,-248018643.000000,,,,,,,,-17996901000.000000,,-1125000000.000000,,,,,-27467487190.000000,,,-10000000000.000000,,15887901000.000000,,,-224962093263.000000,-85881558202.000000,92420934299.000000,,6539376097.000000
12M 2020,206389712444.000000,522922363690.000000,-183116497248.000000,,-199576449635.000000,7020404019.000000,,,,59139891618.000000,,,206389712444.000000,-30741725060.000000,-29603178618.000000,2215272727.000000,,,,,,,,,,-696305881.000000,,27022525.000000,-2684535813.000000,,,,,-30741725060.000000,-161352853508.000000,-60475095354.000000,,,-21776912.000000,,,,,,,,-4126200000.000000,,-9000000000.000000,,,,,,,,,-91855981242.000000,4126200000.000000,,,-161352853508.000000,14295133876.000000,6539376097.000000,,20834509973.000000
