Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada,Pemasok,Karyawan,Total Pembayaran Kas Kepada,Pembayaran Beban Keuangan,Pembayaran Beban Usaha,Pembayaran Pajak Penghasilan Dan Pajak Pertambahan Nilai,Penerimaan (Pembayaran) Piutang Lain-Lain,Penerimaan (Pembayaran) Utang Lain-Lain,Penerimaan (Pembayaran) Aset Lain-Lain,Pendapatan Bunga,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Properti Investasi,Penambahan Investasi Saham,Penerimaan Atas Penjualan Investasi Saham,Penambahan Investasi Pada Entitas Asosiasi,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Hasil Pengalihan Aset Hak-Guna,Hasil Penjualan Properti Investasi,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Penempatan Jaminan,Penempatan Deposito Berjangka,Penurunan Modal Kepentingan Nonpengendali,Penambahan Aset Tidak Berwujud,Uang Muka Penjualan Investasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Utang Obligasi-Bersih,Pembayaran Dividen Tunai Oleh Perusahaan,Pembayaran Dividen Kas Entitas Anak,Penambahan Modal Untuk Merging Entity,Pembayaran Repatriasi Modal Kepada Kepentingan Non-Pengendali,Penerimaan (Pembayaran) Utang Lain Lain,Penerimaan Utang Bank,Jangka Pendek,Jangka Panjang,Total Penerimaan Utang Bank,Pembayaran Utang Bank,Jangka Pendek,Jangka Panjang,Total Pembayaran Utang Bank,Penerbitan Saham Baru Entitas Anak,Pembayaran Utang Sewa Beli,Pembayaran Liabilitas Sewa,Pembelian Saham Treasuri,Pelunasan Utang Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2007,105956006338.000000,1058160029504.000000,-828787841005.000000,,,-828787841005.000000,-13671366570.000000,-83302674178.000000,-32971480729.000000,1777384983.000000,1307237183.000000,-292380307.000000,549750493.000000,3187346964.000000,105956006338.000000,-114776198621.000000,-108337809676.000000,,,,,-7232638945.000000,794250000.000000,,,,,,,,,-114776198621.000000,10418326646.000000,,-53313410100.000000,,,,,63731736746.000000,,,63731736746.000000,,,,,,,,,,10418326646.000000,1598134363.000000,,7309824676.000000,8907959039.000000
12M 2008,130695243469.000000,1317591417188.000000,-1031065829767.000000,,,-1031065829767.000000,-58900989328.000000,-65199039614.000000,-45756917533.000000,-564942285.000000,4258170129.000000,-498385534.000000,1522771250.000000,9308988963.000000,130695243469.000000,-107069023286.000000,-101277078904.000000,,,,,-5941944382.000000,150000000.000000,,,,,,,,,-107069023286.000000,-18917954308.000000,,-28793377200.000000,,,,,9875422892.000000,,,9875422892.000000,,,,,,,,,,-18917954308.000000,4708265875.000000,,8907959039.000000,13616224914.000000
12M 2009,268070416818.000000,1339704663244.000000,-906189765251.000000,,,-906189765251.000000,-8936914645.000000,-86794512293.000000,-62217527971.000000,265625962.000000,-4825724472.000000,-355162828.000000,1947521486.000000,-4527786414.000000,268070416818.000000,-61087839187.000000,-53275889761.000000,,,,,-8947115826.000000,620700000.000000,,,,,,,,514466400.000000,-61087839187.000000,-211918732297.000000,,-185808607500.000000,,,,,,,,,-26110124797.000000,,,-26110124797.000000,,,,,,-211918732297.000000,-4936154666.000000,,13616224914.000000,8680070248.000000
12M 2010,151302099412.000000,1526454354903.000000,-1243939450172.000000,,,-1243939450172.000000,-18771849811.000000,-84227219126.000000,-33715482026.000000,307873449.000000,,-42607600.000000,1603136072.000000,3633343723.000000,151302099412.000000,-119598816067.000000,-103918339750.000000,,-3872550000.000000,2012304000.000000,,-14732864408.000000,912634091.000000,,,,,,,,,-119598816067.000000,-26078085996.000000,237889285200.000000,-129570197400.000000,-11700000000.000000,,,,,,,,-122697173796.000000,,,-122697173796.000000,,,,,,-26078085996.000000,5625197349.000000,,8680070248.000000,14305267597.000000
12M 2011,229766347392.000000,1757499583355.000000,-1371460279505.000000,,,-1371460279505.000000,-24152785951.000000,-90366552500.000000,-51308701778.000000,97405878.000000,,-282146714.000000,1797431355.000000,7942393252.000000,229766347392.000000,-100427855529.000000,-96280951829.000000,,,,,-6055667337.000000,1908763637.000000,,,,,,,,,-100427855529.000000,-134628465158.000000,,-115173509385.000000,-1950000000.000000,,,,62495044227.000000,,,62495044227.000000,,,,,,,,,-80000000000.000000,-134628465158.000000,-5289973295.000000,7601000411.000000,14305267597.000000,16616294713.000000
12M 2012,353110841978.000000,2128586869634.000000,-1567463308207.000000,,,-1567463308207.000000,-29041503712.000000,-99366245669.000000,-84835909715.000000,-1190419694.000000,,-1079469458.000000,2292877139.000000,5207951660.000000,353110841978.000000,-137916325897.000000,-103490395093.000000,,-28058173089.000000,,,-7834986773.000000,1467229058.000000,,,,,,,,,-137916325897.000000,-173463985870.000000,,-187156951800.000000,-40066321800.000000,,,-6000000000.000000,59759287730.000000,,,59759287730.000000,,,,,,,,,,-173463985870.000000,41730530211.000000,149214329.000000,17501560713.000000,59381305253.000000
12M 2013,449576533100.000000,2523444519552.000000,,-1514521525973.000000,-349824471420.000000,-1864345997393.000000,-31833144753.000000,-127017901743.000000,-92496560233.000000,,,,3218665383.000000,38606952287.000000,449576533100.000000,-206919223180.000000,-96831463590.000000,,-100990999798.000000,,,-55231178433.000000,10359014021.000000,,35796075000.000000,,-20670380.000000,,,,,-206919223180.000000,-212941977430.000000,,-122371853100.000000,-36180000000.000000,,,,,34939730101.000000,70000000000.000000,104939730101.000000,,-16829854431.000000,-62500000000.000000,-79329854431.000000,,,,,-80000000000.000000,-212941977430.000000,29715332490.000000,574388417.000000,63108863601.000000,93398584508.000000
12M 2014,449864000000.000000,2881339000000.000000,,-1758539000000.000000,-387886000000.000000,-2146425000000.000000,-29164000000.000000,-144415000000.000000,-136033000000.000000,,,,4922000000.000000,19640000000.000000,449864000000.000000,-142945000000.000000,-110452000000.000000,,-10499000000.000000,,,-2872000000.000000,4062000000.000000,,,,-684000000.000000,,-22500000000.000000,,,-142945000000.000000,-326146000000.000000,,-223149000000.000000,-36285000000.000000,,,,,283336000000.000000,25000000000.000000,308336000000.000000,,-297348000000.000000,-78750000000.000000,-376098000000.000000,1050000000.000000,,,,,-326146000000.000000,-19227000000.000000,279000000.000000,94808000000.000000,75860000000.000000
12M 2015,536111000000.000000,2955753000000.000000,,-1672029000000.000000,-432109000000.000000,-2104138000000.000000,-27671000000.000000,-163028000000.000000,-150513000000.000000,,,,4280000000.000000,21428000000.000000,536111000000.000000,-263477000000.000000,-100498000000.000000,,-155403000000.000000,,-10956000000.000000,,4307000000.000000,,,,-927000000.000000,,,,,-263477000000.000000,-226931000000.000000,,-179959000000.000000,-30954000000.000000,,,,,213664000000.000000,308323000000.000000,521987000000.000000,,-217013000000.000000,-238912000000.000000,-455925000000.000000,,-2080000000.000000,,,-80000000000.000000,-226931000000.000000,45703000000.000000,1400000000.000000,75860000000.000000,122963000000.000000
12M 2016,582843000000.000000,3042662000000.000000,,-1719384000000.000000,-498439000000.000000,-2217823000000.000000,-15815000000.000000,-89600000000.000000,-135020000000.000000,,,,3402000000.000000,-4963000000.000000,582843000000.000000,-127752000000.000000,-71448000000.000000,,-44000000000.000000,,,-2560000000.000000,5950000000.000000,,,,55000000.000000,,-15749000000.000000,,,-127752000000.000000,-479677000000.000000,,-280734000000.000000,-39466000000.000000,,,,,259471000000.000000,,259471000000.000000,,-232719000000.000000,-185505000000.000000,-418224000000.000000,,-724000000.000000,,,,-479677000000.000000,-24586000000.000000,-1867000000.000000,122963000000.000000,96510000000.000000
