Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.00,9734814.34,0.00,9734814.34,266 B,846 B,"1,113 B","1,081 B",(589 B)
12M 2012,0.00,746.91,0.00,746.55,405 B,"1,177 B","1,582 B","1,543 B",(691 B)
12M 2013,0.00,472.49,0.00,471.95,547 B,"1,670 B","2,217 B","2,181 B",(721 B)
12M 2014,1.58,418.81,1.58,418.61,628 B,"1,505 B","2,133 B","1,880 B",(388 B)
12M 2015,0.87,544.06,0.87,543.38,959 B,"1,657 B","2,616 B","2,466 B",(828 B)
12M 2016,0.59,561.61,0.60,561.05,926 B,"2,246 B","3,172 B","3,122 B",(445 B)
12M 2017,0.39,603.26,0.39,602.71,720 B,"2,630 B","3,351 B","3,307 B",(204 B)
12M 2018,0.20,670.63,0.20,670.05,197 B,"4,405 B","4,602 B","4,507 B",820 B
12M 2019,0.26,660.17,0.26,659.61,314 B,"4,337 B","4,651 B","4,204 B","1,009 B"
12M 2020,0.37,720.62,0.37,720.62,387 B,"3,586 B","3,973 B","3,354 B",928 B
12M 2021,0.26,742.62,0.26,742.62,441 B,"3,125 B","3,566 B","2,968 B",890 B
12M 2022,0.22,825.58,0.22,825.58,617 B,"3,016 B","3,632 B","3,135 B",498 B
12M 2023,0.22,836.07,0.22,836.07,648 B,"2,361 B","3,009 B","2,641 B",225 B
12M 2024,0.18,915.14,0.18,915.14,754 B,"1,944 B","2,698 B","2,515 B",(175 B)
