Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.20,443.57,0.20,443.57,20 B,759 B,779 B,771 B,270 B
12M 2009,0.44,461.62,0.44,461.62,205 B,482 B,687 B,680 B,97 B
12M 2010,0.48,481.48,0.48,481.48,45 B,667 B,711 B,705 B,262 B
12M 2011,0.48,503.64,0.48,503.64,243 B,474 B,717 B,688 B,67 B
12M 2012,0.56,522.43,0.56,522.43,128 B,675 B,803 B,763 B,300 B
12M 2013,0.41,506.37,0.41,506.37,390 B,534 B,924 B,904 B,92 B
12M 2014,0.37,539.26,0.37,539.26,121 B,"1,076 B","1,196 B","1,149 B",496 B
12M 2015,0.20,504.46,0.20,504.46,662 B,590 B,"1,252 B","1,206 B",(53 B)
12M 2016,0.38,510.34,0.38,510.34,172 B,708 B,880 B,733 B,415 B
12M 2017,0.38,554.34,0.38,554.34,651 B,164 B,815 B,695 B,16 B
12M 2018,0.42,593.32,0.42,593.32,144 B,681 B,825 B,585 B,652 B
12M 2019,0.51,651.45,0.51,651.45,462 B,286 B,748 B,540 B,351 B
12M 2020,0.43,724.21,0.43,724.21,242 B,252 B,494 B,382 B,273 B
12M 2021,1.07,650.42,1.07,650.42,329 B,309 B,638 B,440 B,554 B
12M 2022,0.73,680.48,0.73,680.48,218 B,512 B,730 B,430 B,996 B
12M 2023,0.47,735.37,0.47,735.37,374 B,259 B,633 B,321 B,890 B
12M 2024,0.39,756.06,0.39,756.06,355 B,251 B,606 B,329 B,927 B
