Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2011,0.00,408.47,0.00,408.47,964 B,501 B,"1,465 B","1,391 B",(166 B)
12M 2012,0.00,71.18,0.00,71.18,951 B,778 B,"1,729 B","1,660 B",117 B
12M 2013,1.96,124.75,1.96,124.75,"1,552 B",889 B,"2,441 B","2,366 B",110 B
12M 2014,1.05,155.90,1.05,155.90,396 B,"4,781 B","5,176 B","4,161 B","3,255 B"
12M 2015,1.89,205.32,1.89,205.32,529 B,"5,701 B","6,230 B","5,166 B","3,531 B"
12M 2016,0.96,239.27,0.96,239.27,"1,386 B","6,249 B","7,635 B","6,823 B","3,419 B"
12M 2017,1.30,292.90,1.30,292.90,"1,425 B","7,438 B","8,863 B","7,139 B","6,366 B"
12M 2018,0.98,365.52,0.98,365.52,"1,935 B","8,504 B","10,439 B","8,585 B","6,912 B"
12M 2019,0.65,402.83,0.65,402.83,"1,613 B","10,376 B","11,990 B","9,649 B","9,901 B"
12M 2020,0.56,463.74,0.56,463.74,"4,518 B","10,398 B","14,916 B","13,268 B","10,617 B"
12M 2021,-0.52,-278.42,-0.52,-278.42,"19,999 B",258 B,"20,257 B","20,133 B","(14,125 B)"
12M 2022,-0.25,-595.42,-0.25,-595.42,288 B,"15,189 B","15,476 B","15,222 B","2,704 B"
12M 2023,-0.20,-720.78,-0.20,-720.78,366 B,"13,969 B","14,335 B","14,297 B","1,297 B"
