Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2012,0.00 B,7440038.99,0.00,0.00,,14.07%,18.91%,1.39%,0.68
12M 2013,2.71 B,90.64,52.96,3.56,,1.52%,2.36%,1.33%,0.61
12M 2014,2.71 B,295.96,17.40,2.28,,4.91%,7.29%,3.47%,1.85
12M 2015,2.71 B,340.37,11.78,2.54,,5.53%,8.77%,4.25%,1.79
12M 2016,2.71 B,2089.94,1.67,1.50,,22.55%,29.87%,30.64%,21.93
12M 2017,2.71 B,1191.20,3.01,4.23,,12.14%,14.67%,8.11%,5.98
12M 2018,2.71 B,-2283.32,-1.66,-1.69,"(6,241.98 B)",-30.80%,-39.57%,-29.31%,-22.14
12M 2019,2.71 B,2716.96,1.33,1.19,"8,084.93 B",27.65%,32.44%,41.02%,25.51
12M 2020,2.71 B,3253.05,1.05,1.01,"9,005.28 B",25.18%,28.13%,32.68%,40.80
12M 2021,13.56 B,1834.88,1.53,1.46,"25,912.24 B",40.70%,44.45%,58.22%,134.86
12M 2022,13.56 B,340.32,7.43,5.41,"6,107.24 B",7.24%,7.72%,10.23%,33.04
12M 2023,13.56 B,-748.24,-2.19,-2.02,"(11,223.92 B)",-19.92%,-20.84%,-20.01%,-118.03
12M 2024,13.56 B,242.55,8.62,19.18,"1,246.98 B",5.69%,6.36%,2.38%,8.13
